"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Guinea-Bissau",1.22,0.0087,9,0.7118,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0.2948,0,0,0,0,9,0.0791,0,6.5124,1.2458,0.0742,7.5075,0,0.0852,13.3853,41.6966,3.8169,0,0,0,0.043,0,0,5.1252,0,0,0.736,0,0,0,0,3.9837,0.3902,1.2138,0.0186,0.8869,0,0,0,0,0,0.1947,0,2.6237,0,0.0015,0,6.9414,0.0747,0,0,9,9,0,0,0.1524,0,0,9,0,0,0,0,0,0,9,9,0,9,0.0013,0.1597,0,0.0114,0,0,0,0,0,0,0,0,0,9,0,0,4.1675,0,0,0,0,0,0,0,0.0023,0,9,0,0,9,0,0,0,0,0,9,0,0.4163,0,2.2277,9,0,13.4526,13.9689,0,2.481,0,0,0,0,0,2.9127,0,0,0,0.0163,9,9,0.2335,9.373,0,9,0,0,0,0,0
"Equatorial Guinea",0,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,0,0,0,0,0,9,9,0,0,0,0,0,0,0.1518,0.0003,0,0,0.0154,9,2.3409,0.0291,2.7501,2.8314,0.1686,10.092,0,0.0681,1.4744,0.2377,0.9675,0,0,0,0.0274,0,0,3.7757,0,0,1.2074,1.9463,0,0,9,10.5716,0,0.0168,0.4988,0.0025,0,0,0,0,0,0,9,0,9,0.1349,0,0.4727,0,0,0,9,9,0,41.1807,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9.0007,0,0,9,0,0,1.5012,9,0,0,0.135,0,0,0,0,0,0,0.0064,0,0,0,0,0,0,0,0,0,0.6451,0,0.4037,0,0.5192,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Gambia",0,0.1775,0,0,0,0,0,0.0007,0,0,0.0001,0,0,0,0,0.0055,0,0,0,0,0,9,0,0.1285,0,0,0,9,0,0.7491,0,9,0,0,9,29.488,0.5662,9.1801,67.2553,4.0047,16.8001,0,4.195,0.8955,0.5513,16.0604,0,0,0,0.9732,0,0.2451,5.935,0,0,1.0965,0.064,0.0048,9,0.22,7.6974,0.0092,1.2617,1.6187,4.0319,0,0,0,0.1947,0,0,0,6.3939,0,0.0059,0,13.6261,6.2633,0,0,0.0062,0.7605,0,0,0.5282,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,3.4498,0,0,9,0.2,0,0,0,0,0,0,0.2598,0,9,0,0,0,0,0,0,0,34.0876,0,2.2802,0,0.8631,56.8655,0.3397,0,0.9845,0,1.7964,0.0341,9,0,8.594,9,0,0,0.8107,0,0,0.1115,0.1021,0.0021,9,0.0023,0,0,0,9
"Mali",7.6,8.1564,9,0,9,0,0,9,0,0,0,0,0,0,0,0.3729,0,0,9,0,9,0,0,0.0057,0,9,0,0,0.8162,0.3586,9,9,9,0.1133,9,13.0054,4.4735,23.3532,4.804,0.286,135.2662,0,2.0269,7.8446,10.0496,18.4965,0,0,0.5309,1.3547,0,0.2451,9.7532,0,0,0.7424,0.0996,0,0,0,34.3756,0.1612,0.034,0.5669,1.3796,0.0252,0,0,0,9,0,0,61.1799,0.0099,0.172,0.3704,125.1099,0,0.4731,0,0,0.0034,0.8019,0,0.2948,0,0,0,0.0037,0,9,0,9,9,0,0,9,9,0,0,0.0002,0.0345,9,0,0,0,0,0,0.0744,0,0.0052,0,9.4742,0,12.2464,0.0154,9,0,0.109,0,0.0088,0,0,0,0,17.1029,0,9,0,9,9,0,9,9,0,9.7386,0,28.5619,0,10.4293,6.3107,4.2447,0,0.0695,0,0,0.0274,9,0,6.3255,9,0,0,1.4117,9,0,0.002,2.7903,0.7931,0,0.0025,0,0,0,9
"Senegal",81.3487,9.7044,0.8614,0.001,0,0.1909,0,0.8195,0.005,0.192,9,0,9,0,0,0.1606,9,0.2093,0,0,0,0.0209,0.0279,0.0351,0.0508,0,0,0,0.6848,11.256,0.0025,0.1806,0.0757,4.6686,0.1088,12.627,2.173,31.8017,24.7842,1.4758,159.4123,0,1.7511,10.3377,0.4191,33.7983,0,0,4.8707,4.0496,1.2044,2.8746,20.8929,0.0355,0.0168,0.4027,11.0707,1.2749,0.0409,0.2046,6.2221,6.9795,7.1698,1.0864,2.3035,0.0218,0,0,2.6237,0,6.3939,61.1799,0,6.2583,0.016,0.3112,51.2353,4.5143,11.6197,2.1298,0.4381,1.0924,5.4071,46.7344,92.6728,36.662,0.2992,0.2679,5.5517,0.5854,0,0.0123,0,0.0842,0,0,0.0004,0.0224,0.3556,0,0.0003,0.4721,0.2948,0.0001,9,0,0.0002,0.0004,0.0814,0,0.01,0,3.0382,0.0476,7.1191,0.0404,0.0011,13.3824,0.4123,0,0.406,0.018,1.1941,0,0.006,3.9257,0,0,0,0.0071,0.0001,0.0012,0.2102,0.2946,0,15.0655,0,2.3116,0.3878,7.8063,26.4132,84.8249,0,20.8888,0.1176,0.7091,0.0106,9,0,48.4409,0.0569,0,16.6918,0.5633,1.4176,0,14.5213,1.0417,0.0683,0,0.3718,9,0,0,0
"Benin",1.5777,0.387,9,9,9,9,0,0.0005,0,0,9,0,9,0,0,2.1489,9,0,0,9.0023,9.0002,9,0,0.0135,0.0048,0,11.7562,6.0827,0,1.8615,0,0,0.0001,0.0432,9.0011,8.3217,0.043,7.578,0.8777,0.0523,41.207,0,4.5352,1.4566,20.7638,6.1102,0,0,0.0624,0.1338,10.0658,4.6007,7.1985,0,9,0.0357,0.0051,0.0317,0.0333,1.7303,0.4242,0.0019,1.2332,0.1604,0.1244,0.0001,0,0,0,9,0,0.0099,6.2583,0,0.8861,2.0878,3.0511,0.0092,0.8389,0.0255,0,15.6979,6.9291,1.2545,20.4922,0.1534,0.003,9,0.1311,0.0004,9,0.0001,9,0,0,0,9,0,9,9,0,9.0004,9.0535,9,0,0,0,9,0.002,0,0.0097,0,5.4154,0.1425,0.0819,0.0256,9,0,0.091,0,0.2021,9.9372,0.024,0,0.2169,0.0029,0,9,0,9,9,0,0,0,9.1578,8.1792,0,3.8803,0.2548,3.123,8.2279,0.7977,0,2.4634,1.2855,9,0.0678,0,9,21.0686,0,9.0007,0.6608,0.8831,0.4706,9.0314,0,2.0641,0.0022,0,0.0004,0,0,0,9
"Mauritania",0.2112,1.2566,0,0.0051,9.0084,0,0.0155,0,0,0,0,0,0,0,0,0.0439,0,9,0,0.0013,0,0.0084,2.4204,9,0,9,0,0,0,3.846,9.0008,0,0.0168,0.0319,0.0216,20.8355,0.0528,12.3155,36.0249,2.1451,85.9969,0,2.7907,2.3161,3.0975,25.557,0,0,0.2169,0.2098,0.0266,0.4163,80.6929,0.0002,0,0.6813,7.3183,0.0025,0,4.795,55.3746,1.0174,1.4425,0.3873,2.0647,0.0222,0,0,0.0015,0.1349,0.0059,0.172,0.016,0.8861,0,0.025,23.5261,0.008,0.0015,3.155,9,0.0878,3.049,5.7628,0.0009,0.4945,0,9.0027,2.2368,0.0507,0,0,0,0.0081,0,0,0,0,9,0,0.0014,0.0025,0.2044,9,0,0,0,0.0088,0.4893,0,0.005,9,1.8856,19.6268,1.7335,0.0504,0,0,0.0474,0,0.224,0.0249,0.0527,0,0,0.8241,0,0.0125,0,0.0248,0,0,0.1542,0,0,19.2038,0,1.9644,0.0001,0.1171,110.3287,1.1385,0,4.3263,0.3403,9,0.0029,0,9.0033,6.0565,9,9,3.8818,0.3302,0.5874,0,0,0.0537,0.1003,0.0012,0.097,0,0,0,0
"Niger",23.6329,0.8063,9,0,9,0,9,0,0,0,0,0,0,0,0,0.0715,0.008,9,0,9,0,0,0,0.0144,0,0,0,0,0,0.5362,9,9,0,0.008,0,10.3798,0.527,13.7838,5.5967,0.3333,93.3652,0,1.3105,20.8996,0.0505,15.9815,0,0,0,0.0367,0,0.8044,7.9422,0,0,0.217,0.151,0.6856,0,0.0881,0,0.9955,0.7889,0.1364,1.3455,0,0,0,0,0,0,0.3704,0.3112,2.0878,0.025,0,32.9863,0.022,1.6491,0,0,4.9976,1.5157,0.0147,42.9194,0,0.0404,0.4077,0.0073,0,0,0,0,0,0,0.0019,9,0,0,0,0.0001,0.1025,0,0,0,0,9,0,0.0074,0,0,0,0.4444,5.1274,0.1415,2.481,0,0,0.381,0,0.093,0,0,0.0151,0,1.9788,0,0,0,0,0,0,0,9,0,5.9501,0,0.584,0,0.5546,23.1267,0.0883,0,11.2592,0.2387,0,0,0,0,0.9493,9,9,1.2231,1.8225,0,9,0,0.0579,0.1099,0,0.1067,0,0,9,9
"Ivory Coast",123.3371,10.2622,0,0.0184,0,0.0477,0.1503,0,0,0,0,0,0,0,0,1.604,0,0.011,0,9,0,0.0072,1.392,0.0869,19.6464,0,0,0,0.538,20.0832,9,0.0955,0.0477,1.8957,0.0258,83.0193,21.2192,193.2103,82.3939,4.9061,35.0011,0,2.9717,92.2192,33.569,210.2941,0,0,9.6058,14.6556,8.8789,3.0986,255.581,3.498,9,6.1997,76.2267,1.9394,0.5289,2.5417,47.2321,2.8354,4.5416,3.4506,10.5019,0.0294,0,0.0768,6.9414,0.4727,13.6261,125.1099,51.2353,3.0511,23.5261,32.9863,0,59.5893,85.9901,15.5247,0.0018,100.6146,46.4309,3.7464,477.7657,7.3947,0.6567,0.9605,1.0358,32.5085,0,1.9687,0.0051,0.0257,0,0,0.0881,0,0.7379,28.7857,0,6.5463,0.1212,3.8566,0,0,2.9824,1.5206,3.1384,0,24.6964,0,14.0139,3.1226,5.4201,4.6439,0.8727,0.011,3.8232,0,0.095,0.2314,0.0253,0.181,0.5902,5.6655,0,0,0,0,0.3489,0.0037,3.5776,0.0312,9,0.7446,0,14.0525,0.0257,4.1767,8.9148,4.1525,0,23.0989,1.8915,0,0.0239,9,0,15.3417,0,0,0,6.3092,1.1954,0,0.5452,14.9239,0.8541,0,1.1643,9,0,0,9
"Guinea",94.01,6.964,0,9,9,0,0,0.1082,0,0,0,0,9,0,0,0.1122,9,0,0,0,9,0,0,0.1264,2.53,0,0,0,0,5.3405,0.0113,0,0,0.1518,9.0077,1.6793,76.6874,19.5123,27.8138,1.6562,114.9563,0,3.8793,42.9005,1.9155,12.212,0,0,2.2874,1.2961,0,1.7768,10.2406,0,0,14.983,5.1819,0,0,0.11,0,2.7737,2.1958,25.8121,1.2742,0,0,0,0.0747,0,6.2633,0,4.5143,0.0092,0.008,0.022,59.5893,0,0,0,0.0711,0.1608,4.0909,49.516,6.9524,0.0235,9,0,0,0,0,0,0,0,0,0.3319,9,9,0,0,0.0008,0.0272,9,0,0,0,0,0,0.0589,0,0.0122,0,1.2742,0,0.6348,0.0809,0,0,0.116,0,0.1579,9,0,0,0,0.2504,0,0,0,0,0,0,0,0,0,10.4878,0,4.2129,0,0.5501,13.6272,6.6111,0,8.9946,0.1393,0,0.0127,0,0,0,0,0,0,0.0104,0,9,0.1342,0.0484,0.1456,0,0,0,0,9,0
"Burkina Faso",32.4834,7.2483,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0268,0,0,0,0,0,9,0,0,9,9,9,0,0,11.5857,9.0027,0.022,9,0.848,0,8.0045,0.4554,17.9251,8.6641,0.5159,96.2237,0,3.4291,3.123,13.3585,25.1409,0,0,0,1.1907,9,3.0008,5.5266,0,0,0.016,0.5382,0.0022,0,9,0.7236,0.2769,0.3492,0.4039,1.6029,9,0,0,0,0,0,0.4731,11.6197,0.8389,0.0015,1.6491,85.9901,0,0,0,0,3.9061,15.5737,5.1127,11.854,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0.0547,0,0,0,0,0,0,0,9,0.2129,0,0,0.0184,14.2294,0.472,0,9,0.897,9,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,6.9712,0,5.6489,0,0,12.8752,0.1886,0,9,9,9,0,0,0,2.0669,0,0,0,1.5651,0,0,0,2.2532,0.0347,0,0.0553,0,0,0,0
"Liberia",3.86,1.7778,0,0,0,0,0,8.5401,0,0,9,0,9,0,0,7.7814,0.007,0,0,0,9,0,9,0.0104,0,0,9,0,7.5779,10.9131,0.0209,0,0.1586,5.0094,0,7.4008,1.1282,1.4278,333.615,19.865,262.998,0,7.154,181.3781,15.2228,143.8684,0,0,2.1983,0.2821,0,2.8797,106.1439,0.1365,9,236.1308,8.5522,0.3199,9,2.2,0,0.7998,35.1575,671.3617,374.2755,0,0,9,0,0,0,0,2.1298,0.0255,3.155,0,15.5247,0,0,0,0.6921,0.1025,0,0.0331,7.5814,0,0.0013,0,0.0147,0,0,0,0,0,0,0,0,0,0,0,0.0214,0.0005,0,0,9,0,9,0,0,9,0.0037,0,0.2067,0,0.2517,0,9,0,23.163,0,0.0066,0,0,0.0042,1.96,0.0638,0,0,0,0,0,0,9,0,0,36.7509,0,56.9211,9,370.1168,1192.2693,1.837,0,6.2665,0,0,0.0129,0,0,3.945,0,0,0,1.8614,304.7688,0,0.592,0.1447,0.0953,0.0012,0,0,9,0,0
"Sierra Leone",29.2252,3.1812,0.001,9,9,0,0.0031,0.0015,0,9,9,0,0,9,0,0.0047,0,0,9,0,0,0.0032,0,0.4036,0.0041,0,0,0,0,7.6492,9,0,9,0.0015,0,17.5436,0.4039,4.8026,61.5547,3.6653,0.0658,0,0.0232,4.437,0.5417,18.1641,0,0,0.3196,0.9506,0.0569,0.2896,6.7741,0.6541,9,0.2493,0.2129,0.1624,0.0875,0.3913,0.207,0.2636,0.9007,0.9511,2.7422,0.0005,0,0,9,9,0.0062,0,0.4381,0,9,0,0.0018,0.0711,0,0.6921,0,0.0044,0,0.0219,38.4353,0,0,9,0,0,9,0.0005,9,0,0,0,9,0,9,9,0,0.0524,0.4251,0,0,9,0,0,9,0,0,0,0.023,0,0.1134,0,0,0,0.115,9,0.0292,9,0.0381,0,0,0.0591,0,0,0,9,0,9,9,0,0,4.8345,0,1.9656,9,3.0327,7.6078,0.3018,0,0.2015,0,0.1586,0.0155,9,0,1.3735,0,0,9,0.23,0.1726,0,0.0159,0.0188,0.3129,0,0.0602,0,0,0,0
"Ghana",25.85,10.9493,0.0001,5.6651,0,0,58.2771,0.0075,0,0.0188,0.0314,0,0.0159,0,0,0.3619,0,0,0,0,0,0,0,0.1586,0,0,0,0,0.7128,16.489,0.0001,0,0.0261,0.9317,0.011,131.7809,28.9883,8.1959,4.8323,0.2877,5.4399,0,0.7186,18.9562,0.5109,296.3428,0,0,2.7792,2.7508,0,1.2867,35.292,2.0637,0,0.1736,1.161,2.2326,0.3086,2.9824,49.5711,1.4504,9.0707,3.3028,2.3379,0.0271,0,0.0004,9,9,0.7605,0.0034,1.0924,15.6979,0.0878,4.9976,100.6146,0.1608,3.9061,0.1025,0.0044,0,3.0884,0.5414,247.2112,0,9,9,0.022,0.1276,0.0057,0,0.0103,0,0,0.0075,9,0,0.0041,0.0019,0.0045,1.1735,0,0,0,0.0187,0.0036,0.0006,0,9,0.015,0.0017,0,0,9.2234,0.5894,0.006,0,0.677,0,0.1933,10.5709,1.9823,0,0.99,1.0081,0,0,0,0.0081,0,0.0008,0.0851,0.0078,0.0022,14.9986,0,10.6583,0,22.0807,9.5498,5.5252,9,0.6835,1.5575,0,23.2804,0,0,5.5942,9,0,9,0.2909,0.222,0,0.0822,3.5744,31.8363,0,0.0702,0,0,0,0
"Togo",27.211,26.6813,9,0,0,9,0,0,0,0,0,0,0,0,0,8.2071,0.0045,9,0,0,0,9,0,0.0059,0,9,0,0,0,1.707,9,0,0,3.128,1.637,15.6336,0.9221,46.7867,2.52,0.15,146.4489,0,7.733,0.8257,14.6366,27.0863,0,0,2.2578,1.9818,0,0.59,6.1547,1.188,9,3.762,0.1133,1.167,0,0.1,12.595,1.6135,0.2206,7.725,1.567,0,0,0,0,0,0,0.8019,5.4071,6.9291,3.049,1.5157,46.4309,4.0909,15.5737,0,0,3.0884,0,0.3016,12.0209,5.0328,0,0.0088,0.6428,0,0,0,9,9,0,9,0,0,12.75,0,0,0.0049,0,0,0,0,0,0,0.0067,0,0.0387,0,4.406,0,3.339,0,0,0,0.943,0,0.001,9,0,0,0.5,0.098,0,0,0,0,0,0,0,9,0,7.2357,0,0,0.406,3.917,24.4444,16.738,0,3.171,4.97,9,0.0138,0,0,3.2801,9,9,1.519,1.8604,6.514,0,7.5141,0.4888,4.2103,9,0.0402,0,0,0,0
"Cameroon",97.2458,28.8722,0,0.0367,0,0,0,0,9,0,0,0,0,0,0,0.1137,0,0,0,0,0,0,0,0.1432,0.2277,0,0,0,0.2314,8.7216,0.0039,0,0.0331,0.5289,1.1076,30.2981,8.8746,159.9087,26.5208,1.5792,263.3896,0,10.0635,293.4754,36.2522,17.1662,0,0,2.1763,18.7221,1.5682,1.7938,127.5246,0.1139,0,0.1553,3.4634,1.0137,0.9076,0.3342,3.3115,12.9322,7.5596,6.0806,1.581,0.3235,0,0,0,41.1807,0,0,46.7344,1.2545,5.7628,0.0147,3.7464,49.516,5.1127,0.0331,0.0219,0.5414,0.3016,0,5.1645,32.8079,35.8715,5.8722,26.6984,2.0439,0,0.0294,0,0,0.0147,0,0.0184,0.011,0.6802,0.1656,0.0001,1.1913,0.0073,0,0,0,0,0,0.008,0,1.4008,0,16.5255,1.4545,11.4251,0,0,0,1.5647,0,1.174,0,0.0367,0,1.1378,0.1429,0,0,0,0,0,0,0,0,0,30.0585,0,8.1612,0.1653,15.3923,77.8435,2.4927,0,14.261,28.5495,0,0.0161,0,0,7.1864,0,0,2.6959,2.1812,3.2017,0,0.051,0.6904,0.6143,0,0,0,0,0,9
"Nigeria",6021.7802,511.0143,0.0007,0.0053,0,0,0.1126,15.1837,0.0027,0,9.0016,0,9.0022,0.2535,0,0.2016,0,0,0,0,0,0.0049,0.4321,0.0914,0.0354,0.0705,0,0,0.4242,103.2408,0.08,0.0127,258.7644,6.0067,8.432,237.0777,24.7292,380.2636,34.194,2.0361,254.9499,0,61.6479,1513.654,556.7631,614.545,0,0,22.1403,198.5492,36.052,20.6057,190.0917,0.0517,0,15.6844,44.067,0.9436,17.353,7.7037,2.4329,13.0766,10.3556,14.549,18.6011,12.1072,0,0.0013,0.1524,0,0.5282,0.2948,92.6728,20.4922,0.0009,42.9194,477.7657,6.9524,11.854,7.5814,38.4353,247.2112,12.0209,5.1645,0,0.1872,0.0578,26.8708,0.5433,35.9017,0,3.3164,1.951,0.0027,0.0926,0,0.0032,0.0384,0.2393,0,0.0931,0.0624,0.0012,0,0.0783,0,0,0.2291,0,0.0219,0.0057,0,7.8279,0.0114,0.675,0.4516,0.1357,0.0523,0.7529,0.058,1.1649,0.1008,1.3908,0.2494,36.4986,2.2424,0,0,0,0.3319,0,0.0026,0.1836,0.0184,0,120.1177,0,94.6618,1.0706,52.771,242.0584,46.7217,0,0.3912,0.8077,0.0023,1.6773,0,0,4.2881,0.0547,0,0,8.961,3.0366,0,1.0591,10.252,5.1079,0,0.0783,0.005,0,0,0
"Gabon",751.21,5.2823,32.4263,0.0142,0,0,0,0.0002,9,0,0,0,0,0,0,1.7182,0,9,0,0,9,9.2398,0,0.109,0,0,0,0,0,30.5536,0,0,203.4,3.9578,0.9812,31.3623,1.9479,123.6296,8.5508,0.5092,493.6164,0,3.6197,23.9454,16.8013,26.5517,0,0,0,0.8835,0,0.7965,2.167,0.0037,0,5.517,15.6721,0.6134,0.0807,0.55,7.7368,0.4374,0.3242,37.626,0.3412,0.1682,0,0.02,0,0,0,0,36.662,0.1534,0.4945,0,7.3947,0.0235,0,0,0,0,5.0328,32.8079,0.1872,0,0,0,0,0.7021,0,0,9,0,0,0,0,0,0,0.0259,0.0007,0.043,0.362,0,0,0,0.0018,0.1107,0.0015,9,0.0345,0,42.0742,21.873,3.7676,0,9,0,15.481,0,0.003,0,0.3211,0,32.68,0.0041,0,9,0,0,9,0,0,0,0,17.1696,0,1.2221,0.0488,16.7644,69.888,0.2395,0,0.169,0.0493,0,0.0199,0,0,12.0236,9,9,0,0.5311,16.1196,0,0,1.3291,0.0006,9,0.136,9,0,0.0007,9
"Central African Republic",0.66,0.0369,0,0,9,0,0,0,0,0,9,0,9,0,0,0.2959,9,0,9,0,0,0,0,0.0709,0,0,0,9,0,1.155,9,0,0,0.0209,9,2.8217,0.0396,6.1581,65.1789,3.8811,59.2114,0,0.5616,9.3357,0.3619,6.9334,0,0,0,0.4059,0,0,10.7858,0,0,0.1208,1.4877,0.0625,0,0,0.1783,0.0088,0.3541,1.0261,0.3045,0,0,0,0,0,9,0,0.2992,0.003,0,0.0404,0.6567,9,0,0.0013,0,9,0,35.8715,0.0578,0,0,0.5257,0,1.1534,0,0,0,9,0,0,9,0.9416,9,9,0.0019,0,0,0,5.2707,0,0,0,0,0,0.4097,0,183.5643,0,0.6116,0,0.6739,0,0.24,9,0,0,0.2959,0.0651,0,0.0072,0,0,0,0,0,0,0,9,9,0.0205,0,8.3032,0,1.0627,7.8957,4.0991,0,0.0107,0,0,0.0682,0,0,1.3176,0,9,0,0.2882,0,0,0,0.4262,0.008,9,0,0,9,0,9
"Chad",7.5,0.1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1573,0,0,0,0,9,9,0,0,9,0,0,0,0,0.1936,9,0,0,0.0088,9.006,2.3947,0.2253,3.9313,6.5877,0.3923,59.9887,0,0.2571,2.4474,19.329,17.7953,0,0,0,2.4309,0,0,2.9204,0,0,0.4476,0.234,0,9,0,9,1.437,0.0294,0.0897,1.3602,0,0,0,9,9,0,0,0.2679,9,9.0027,0.4077,0.9605,0,0,0,9,9,0.0088,5.8722,26.8708,0,0.5257,0,0,0,0,0,0,9,0,0.0021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0,0.1104,9,0,9,0.022,0,0,0,0,0.3866,0,0,0,0,0,0,0,0,0,4.2014,0,3.3717,0,0.0201,5.827,0.2396,0,0.0764,9,0,0.007,0,0,4.3292,0,0,9,0.1269,0,0,0.0002,0.2828,0.0172,9,0.0244,0,0,0,9
"Congo",406.3348,1.7593,0,0.0419,0,9,0.0148,0,0,0,0,0,0,0,0,0.4874,0,9,0,0,0,0,0,0.0037,0,0,0,0,0,1.5793,0,0,0,3.1697,0.2057,7.9352,1.1055,14.7642,94.8143,5.6457,58.3356,0,1.08,80.3882,41.3293,4.2774,0,0,1.0835,0.0114,0.3673,1.1482,239.8102,0.0073,0,1.1025,5.6222,0.0124,0,0.1543,1.4875,0.3075,0.1328,2.1389,2.5111,0.1249,0,0,0,0,0,0.0037,5.5517,0.1311,2.2368,0.0073,1.0358,0,0,0.0147,0,0.022,0.6428,26.6984,0.5433,0,0,0,0,2.9758,0,0.0037,0,0,0,0,0,0,3.3133,1.5904,0,1.6087,0.0073,2.6261,0,0,0.0037,0.1873,0,9,0.0456,9,1.594,0.0037,0.8918,0,0,0,4.1954,0,0.0147,0,0.0184,0,0.0037,7.403,0,0,0,0,0,9,9,0,9,1.9976,9,1.8511,0.2314,1.5536,22.2324,0.3526,0,4.5658,0.0037,9,0,9,0,1.242,9,9,0,0.1201,0.7493,0,0.6667,0.0735,0.0137,9,0,0,9,0,9
"Democratic Republic of the Congo",239.9494,0.5993,0,9,0,9,0.0017,0,0,0,0,0,0,0,0,0.1419,0.0005,0,0,0,0,0,0,0.0342,0,0,0,9,0.3178,7.9808,0,0.0022,0,2.1729,0.1774,24.5442,11.0302,35.67,542.8936,32.3264,66.3744,0,13.9329,14.5858,10.899,100.5407,0,0,0,7.4561,0,0.0741,71.9962,0,0,3.9576,2.6516,0.4851,0.2606,0.566,0,0.0019,11.1265,3.4025,0.0899,0.0153,0,9,0,0,9,0,0.5854,0.0004,0.0507,0,32.5085,0,9,0,0,0.1276,0,2.0439,35.9017,0.7021,1.1534,0,2.9758,0,0,16.5578,0.2146,0.8395,2.0001,0,0,0,0,0,1.6376,82.4002,1.0773,25.5027,0,0,0,0,0.019,0,0.4558,9,14.4842,0,1.2305,1.251,0,0,6.0117,0,10.495,0,0,0,1.6798,0.0749,0,0,0,0,9,0,0,0.069,9,129.616,0,9.2092,0.0869,2.7543,0.7624,60.7556,0,0.4502,9.2665,9,0.6665,0,0,7.7697,9,0,0,2.6744,0,0,0.0203,0.0224,0.3666,9,0.0236,0,9.0022,0,0
"Uganda",12.9,1.9061,0,0,0,0,0,0.0397,0,0,9,0,0,0,0,0,0,9,9,0,9,9,0,0,0,0,0,9,0,1.1814,9,9,0,0.0209,0,55.9466,0.4423,34.2539,3.4354,0.2046,13.3017,0,3.0405,10.2751,6.5148,35.6357,0,0,0,5.7854,0,1.8381,33.1811,3.017,0,0.9238,0.3716,0.0489,0,0,0,0.9128,2.1541,0.1925,2.5053,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0.0057,0,0,0,0,0,0,0,0,0,209.3795,3.5426,0.7611,2.4071,0.1216,0,0.0011,0,0,0.1224,6.2989,0.0209,0,0,0,0,9,0,0,0.0407,0,0,0,2.2418,0,0.0844,0,1.129,0,3.1982,0,0,1.232,0,1.0362,0,1.0228,0,0,0,0,8.4242,0.0086,0,4.9023,0,3.3169,0,11.122,19.9376,12.5401,0,5.4,1.3083,0,0,0,0,0.3641,0,0,0,0.4412,2.3071,9,0,0.3872,0.6498,0.0012,0.0027,0,0,0,0
