"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"Sweden",108.8,9.5,5.88,0.8,0.05,2.9,3.85,1.38,0.3,0.1,0.1,0.66,1,33.3,0.8,4.8,10.61,1.6,0.4,4,18.5,5.7,99.6,9.2,32.1,3.1596,0.1404,42.8,14.9,2.8,5.7,181.9,3.3,13.29,1.2,0.3,12.2,2.6,0,1.9,13.7,0.4,0.8,13.6,29.7,0,87.9,41.8,0.9,0,0.5,20.4,0.1,0.6,0,0.4,9.9,0.7,5,7.1,1.7,1.9,0.8,0,13.4,0.4,0,3.5,0,0,0,0.3,8.3,19,0.3,1,1.5,9,0.6,0.1,0.2,0,10.4,10.34,2.6,18.36,0.91
"Norway",38.1,52.8,2.46,1.9,0.02,1.6,0.22,0.2,0.1,0,0.2,6.8,0.2,5.7,0.23,1,2.31,0.1,0.3,1,0.1,0.3,65.6,1.8,31.8,18.7664,0.8336,9.4,7.1,3.6,5,109.5,2,0.89,4.8,0.4,11.5,4.3,0.3,0.1,0.1,0.2,1.3,2.5,9.2,87.9,0,5.5,1.8,0,1.2,1.5,1.1,0.3,0,0.1,0,0.4,0.9,4.4,0.2,0.2,0.1,1.1,0.2,0,0,0.3,0,0,0,0.3,1.5,4.5,0.8,0.6,0.4,9,0.4,0,0,0,9.3,4.78,1.4,11.2,1.79
"Denmark",68,3.7,0.46,0.4,0.33,0.1,0.88,0.01,0.1,0.2,0.3,2.56,0,9,0.56,0.4,0.96,0.1,0.1,1.4,15.2,1.9,29.8,2.3,61.8,40.5966,1.8034,14.9,8.1,7.4,2.6,59.6,0.8,9.47,0.8,0.3,8.1,27.3,0,0.8,3.6,0,0.5,0.6,2.6,41.8,5.5,0,4.1,0,0.1,1.6,4.6,1.1,0.1,0.2,0.7,1.8,3.2,2,0.5,0.9,0.2,1.3,0,0,0,1.7,0,0,0,3.4,6.1,6.5,0,1.4,0.3,0,3.1,0.1,0.2,0,0.4,6.37,0.1,1.81,0.49
"Iceland",5.1,0.2,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,9,0,0,0.1,3.5,0.4,3.7,1.149,0.051,0.1,0.5,0.8,3.3,1.7,0.6,0.83,0,0.2,4.8,1.7,0,0,1.2,0,0,1,0,0.9,1.8,4.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.4,0,0,0,0,9,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Liberia",0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Ethiopia",20.1,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.7,0,0.5,1.2447,0.0553,1.1,1.2,0,0,4.2,0,0,0.2,0.1,0.7,2.3,0,0.4,1,0.2,0,0.1,0.1,0.5,1.2,0.1,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.4,0.1,0,0,2.4,1.7,10,0,0,0,0,0,0,4.3,9,0,0,0.1,9,0,9,0,0,0,0,0,0.09,0.11
"South Africa",146,56.9,0.08,0,0,0.9,0.1,0,0,0,0,0,1.4,0.1,0,0.4,4.29,0,0.3,0.1,2.2,0.4,156.9,1.2,9.8,27.9581,1.2419,33.1,7.7,6.7,3.2,6,0,0.89,4,1,5,34,0,0.2,0.5,0,0,13.6,1.3,20.4,1.5,1.6,0,0,0,0,4.1,9.2,9,0.7,31.9,0.1,0.1,5.5,10.2,1.7,0,2.3,31,8.5,0,0,0,0,0,0.1,8.2,0.2,10.1,1.2,17.1,0,0.1,9,0,0,0.5,1.05,1.3,5.38,2.08
"Morocco",28.1,1.3,14.07,0,0.4,0,0,0,0,0,0.1,0,0.1,0.2,0,0.1,1.9,0,0,0,1.9,0,14.6,1.9,2.2,1.8192,0.0808,23.4,1.8,6.3,3,10.7,0.1,1,1.1,0.3,1.6,16.2,0,1,0.2,0.1,0,0.9,1.3,0.1,1.1,4.6,0,0,0,4.1,0,5,0.1,0,0.1,0,0,0.2,0.2,0.2,0,9.2,0,9,0,19.8,0,0,9,0,0.7,2.6,0.2,0,0.3,0,0,0.1,9.1,0,0,0.1,0.7,0.01,0.1
"Tunisia",8,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0.1,0.3,0.1,16.7,0.4,0.2,0.4787,0.0213,63.6,0.2,3.1,0.6,0.3,0,0.4,0.6,0.2,0.3,7.6,0,0.3,1.9,0.5,0,0.1,1.3,0.6,0.3,1.1,0,0,0,9.2,5,0,0.6,0,0.1,0.3,0,0.3,0.4,0.4,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0,0,3.3,0,0,0,0,0,1.9,0,0.9,0,0.33
"Libya",1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10.2,0,2.3,1.0532,0.0468,2.8,0.1,0,0.1,4.8,0,0.3,0.2,0,0,13.9,9,0.5,0.1,0,0,0,0,0,0,0.1,0,0,0,9,0.1,0.6,0,0,0.1,0,0,1.3,0.1,0,0,0,0,0,9,0,0,0,0,0,0.2,0.8,0,0,1.8,0,0,0,0,0,0,0,0,0,0
