"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Chad",0.471,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0.04,9.008,0,0,0.01,9,0,0,0,0.66,0,0.048,0,1.049,0.5419,0.0281,20.857,0.1,0.75,0.41,0,0,9,0.2,0,9,1.087,0.02,0,3.31,0.22,0,9,9,9,0,0,0,0.17,0,9,0,0,2.778,9.004,0,0.002,0.31,0,0,0,9,0,0,2.529,7.466,1.867,0.855,0,2.095,3.268,0,0,0,9,0,0,0.005,0,9,0,0,0,0,0,9,0,0.42,0,0.01,4.2,0.224,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.149,0,1.558,0,0,2.799,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,9,0.018,0,0
"Congo",0.07,0.09,0,0.17,0,0,0,0.145,0,0,9,0,0,9,9,0,0,0,0,0,0,1.848,0,0.04,0,0,0,6.048,0.02,4.111,0.2377,0.0123,28.123,0.656,5.117,1.51,0,0.239,0.685,0.219,0.078,0.118,12.301,0,9,0.107,2.5,0.016,0.001,0.045,0.764,0.07,1.179,1.54,2.172,0.08,0,9,0,0.726,0.025,1.004,0,0.518,0,0,0.002,0,0.043,0,3.681,0,0,0,2.095,0,0.245,0,0,0,0,0,0,0,0.455,0,0,7.281,0,0,0,0,0.004,0.085,0.183,1.467,0,0,0,0,0,0.01,9,0.32,0,0.07,0.1,9,0,0.7,0,0,0,0,9,2.849,9,0,0,0,4.256,3.679,0,0.01,0.23,9,0,9,0,0,9,9,0,0,0.188,0,0,0,0,0.03,0
"Democratic Republic of the Congo",24.8,4.7,0,9,0,9,0,0,0.003,0.1,0,0,0,0,0,0,0.01,0,0,9,0,15.74,0,0,0,3.06,0,12.9,0.09,0.6,423.2244,21.9756,12,10,6.47,3.34,0,0.1,1.2,2.2,0,2.3,84.7,0,0,0.03,2.54,0.069,9,1.9,0,0.26,11,6.98,9.03,0.21,0,9,0.002,0.7,0.01,0.912,0.098,0.28,9,9.32,0.01,0,0.054,0.134,0.279,2.7,0,1.065,3.268,0.245,0,0.324,0.88,85.733,1,1.672,0,0.06,3.9745,18.1,1.066,15,0,0,0,0,0,3.02,0,0.26,0,0,16,0,0,0.04,0,1.11,0,2.08,4.6,0,2.6,0.2,9,0,0,0,9,0,0,0,0,0,24,11.69,0,0.06,9.1,9,0,0,0,0.75,9,0,0,0,0,0,0.3,0,0.3,0.02,0
"Uganda",57.913,1.767,0,0,0,0,0,0.001,0,0,9,9.001,0,0,9,0,0,0,0,9,0,0.021,0,0,0,0,0.135,22.657,0.52,0.349,1.0172,0.0528,10.074,2.501,4.795,2.91,0,0.014,2.112,1.783,2.402,0.168,4.24,0,0,0.389,1.38,0.11,9,2.443,3.477,0.428,4.424,0.637,1.002,0,0,0,0,9,0,0,9,0,0,0,0.007,9,0.009,0,0,0.017,0,0,0,0,0.324,0,49.996,2.166,0.027,0.294,0.649,0.411,0.1753,0,0.002,0.006,0,0,9.025,0,0.01,0.98,0,0,1.4,5.081,0.194,0,0.1,0.233,0,0.536,0.463,0.026,0,9,0.352,0.01,0.011,0,0,0,0,3.928,0,1.196,0.005,0.028,17.788,5.225,0,0.242,1.08,0,0.065,0,0,3.058,0,0,0,0,0.228,6.286,0.1,0,6.534,0.35,0
"Kenya",19.828,5.425,0,0,9,0,0.069,0.031,0.053,1.8,0,0,0,0,0,0,0.01,0.4,0,0,0,0.091,0,9,0.01,0.134,0,49.536,1.634,1.262,1.1693,0.0607,13.17,2.919,2.675,0.04,0,1.465,3.203,0.085,0.763,1.328,10.292,0.04,0,1.928,1.858,0.037,0.01,0.274,0.384,3.312,1.827,2.942,3.483,0.017,0,0,0,0.001,0,0,0.005,0.05,0,0,0.014,0.035,0.839,0,0.037,0.336,0,0,0,0,0.88,49.996,0,26.443,1.4,2.744,4.052,3.196,13.8302,0,0.397,0.019,0,0,0.465,1.146,3.315,0.08,18.09,0,1.2,2.82,39.58,0.008,0.709,0.194,0.028,0.155,2.108,2.095,6.224,1.489,0.558,0.3,0.65,0.21,3.8,1.03,9,3.068,0,2.217,9.129,0.436,49.598,1.622,0,5.976,2.06,0.028,0.561,0,0,1.082,0,0,0,0,3.156,3.76,1.3,2.485,3.857,0.374,0.023
"Tanzania",15.273,2.443,0,0,0,0,0.001,0,0,0,0,9,0,0,0,9,0.01,0,0,9,0,0.01,9,0,0,0.032,0.004,3.501,2.91,7.899,10.2384,0.5316,7.108,3.263,1.625,1.73,0,2.131,4.512,0.696,0.765,0.985,14.266,0.01,0,3.277,0.864,0.101,0.027,0.849,2.624,0.578,2.631,3.218,0.688,0,0,9,9,0.543,0,0,0,0.02,0,0,0,9,0.029,9,0,0.014,9,0,0,0,85.733,2.166,26.443,0,0.341,0.018,0.817,0.108,1.3342,0,0.024,0.006,0,0,0.004,0.521,0.071,0.12,0,0,0,0.323,34.143,0,0.509,0.248,0.06,0.282,0.664,1.318,8.361,9.123,0.589,4.032,0.08,0.05,0,0.12,0,83.547,0,2.044,0.424,0.413,23.639,30.965,0,0.999,2.57,0.035,0.137,0,0,0.061,0,0,9,0,0.084,16.722,0,29.527,3.011,2.552,0.022
"Burundi",14.6,0.5,0,0,0,0,0,9,9.001,0,9,9,0,0,9,0,0,0,9,0,0,0,0,9,0,0.09,9,1.5,0,0,6.1792,0.3208,2.8,0.3,1.23,0,0,1,0,0,0,0.5,2.3,0,9,0,0.6,0,0,0.6,1.5,0,0.2,0.08,0.17,0,0,0,0,0,0,9,0,0.01,0,0,0,0,0,9,0,0,0,9,9,0,1,0.027,1.4,0.341,0,0.25,0,0,0.0022,0,0.016,0,9,0,0,9,0,9,0,0,0,0,1.9,0,0,0.5,0,0,9.1,0,0,0,0,9,0,9,0,0,9,0.6,0,0,0,0,0.1,0.1,0,0.36,0,0,0,0,9,0,0,0,0,0,0.1,0,0,9,0.1,0,0
"Rwanda",11.173,0.034,0,9,9,0,9,0,0,9,0,0,9,0,0,9,9.002,0,0,9,9,0.003,0,0,9,0.018,0,0.564,0.19,0.535,0.3707,0.0193,1.435,0.267,0.09,0,0,0.629,0.082,0.031,0.02,0.074,0.935,0,9,0.009,0.025,0,9,0.406,0.241,0.026,0.088,0.033,0.218,0,9,0,0,0.005,0,0,0.002,0.009,0,0,0,0,0,0,0,0,0,0,0,0,1.672,0.294,2.744,0.018,0.25,0,0,0.173,0.31,0,0.219,9,9,0,0,0.02,0,0,0,0,0,0,2.202,0,0,0,9,9.013,0,0.135,0.215,0,0.149,0,9,9,0,0,9,0.226,0,0,0.062,0,2.34,0.12,0,0.063,0,0,0,9,0,0.089,0,9,0,0,0.131,0,0,9,0.059,0,0
"Somalia",2.576,0.119,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0.09,0,0,0,0.02,9,4.869,0,1.3,0.2852,0.0148,3.5,1.4,0.86,0,0,0.001,0,0.5,0.009,0.175,21.06,0,0,0.06,0.96,0.017,0.003,0,8.678,0.02,0.2,25.22,0.32,0,0,0,0,0.023,0,0,0,0.01,0,0,0,0,0.003,9,0,0,0,0,0,0,0,0.649,4.052,0.817,0,0,0,1.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692,0.486,0,0.11,0.381,0,0.36,0.45,9,29.872,0.002,0.816,5.8,0.48,0.57,1,0.45,0,20.098,0,0.029,9.156,0,3.841,0.812,0,1.16,0.04,0,0,0,9,0.003,0,0.004,0.011,0,0,1.202,0.4,0,0,0,0
"Ethiopia",65.788,0.108,0,0,9,9,0,0,0,0.029,0.09,9.001,0,0,0.004,0.51,0,0.088,0,0,0,1.439,0,0,0,0.01,9,11.258,0.453,3.315,1.2929,0.0671,2.406,2.753,4.081,0,0,2.308,0.116,0.14,0.825,2.351,8.15,0.032,0.048,7.296,2.782,0.143,0.509,0.063,0.72,2.843,1.423,0.506,0.032,0.369,0,0.001,9.004,0.001,0.012,0,0.023,0.01,9.004,9.01,0.007,9,0.148,0,0.001,0.039,0,0,0.005,0,0.06,0.411,3.196,0.108,0,0.173,1.929,0,0.285,0,0.557,9,0,9.025,0,0.007,1.237,0.015,0.054,0.08,0.099,0.986,13.394,0.039,0.198,1.276,0.351,0.665,0.854,0.014,14.469,4.611,0.997,2.16,0,0,0.086,0,0,2.958,0.018,0.642,0,0.776,5.742,2.548,0,0.673,9.45,0.037,1.129,0,9,1.111,9.001,0,9,0,0.002,1.847,0.09,0.004,0.342,0.088,0.003
"Zambia",40.8236,5.7055,0.0064,0,0,0,0.0455,0.0036,0,0.0018,0,0,0,0,0,0.001,0.0091,0,0,0,0,64.4849,0,9,0.002,0.0109,0,82.0945,2.0973,8.6727,0.6179,0.0321,106.4373,2.6773,14.0327,1.7064,0,0.0805,0.249,6.0164,0.1891,1.2995,93.1736,0.0155,0,21.1491,11.3991,0.1592,9.0009,1.0473,0.6982,0.4,7.2418,1.9864,2.0618,0.001,0,0,0,0.0009,0,0,0,0.1273,0,0,0.004,0.2995,0.0346,9,0,0.0205,0.1673,9.077,0,0.455,3.9745,0.1753,13.8302,1.3342,0.0022,0.31,0,0.285,0,11.5006,2.2493,59.587,0,4.0383,2.6809,0,0.0632,0.0109,0,0.01,0,0.157,26.5709,0.0027,0.3791,1.1423,0,0.0883,0,4.3257,0.812,0,0,0.5,0,0,0,0,0.0009,6.0258,0,0.7005,9.0036,0.0382,244.7636,39.2236,0,0.0555,0.5209,0,0.1009,0,9,6.6961,0,0,0,0,1.3845,1.6964,0.0836,0.04,6.8666,0.6164,0.012
"Zimbabwe",27,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0.001,0,0,0,0,0,0,9,9,0,0,0.033,1.8,0.01,0.2,0.0951,0.0049,0.5,4.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.003,0,0,0,0,0,0,0.04,0,0,0,0,0,9,0,0.009,0,0,9,0,0,0,9,0,0,0,0,9,0,18.1,0,0,0,0,0,0,0,11.5006,0,14.098,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.006
"Malawi",6.762,1.694,0,0,0,9,0.006,0.002,0.014,9,0,0,0,0,9,0,9,0.1,0.001,9,0,0.009,0,0,0,0.011,9.026,7.066,4.557,0.365,0.5419,0.0281,1.481,0.011,0.463,0.741,0,9,0.001,0.622,9.02,9.448,1.623,0.011,0,0.057,0.663,0.003,0,9.022,0,0.277,0.509,0.742,0.217,0.001,0,0.303,0,0.021,9.035,0.046,0.024,0.002,9,0,0.567,1.717,0.001,0.061,0.204,0.002,0.372,0.033,0,0,1.066,0.002,0.397,0.024,0.016,0.219,0,0.557,2.2493,14.098,0,21.232,9.021,0.008,0.087,0.082,0.01,0.004,0.032,0.099,0,0.001,5.789,0,0.401,0.3,0,9,9.107,0.107,0.071,9,9,0.012,0.03,0,0,9,0,0,0,0.483,9.007,0.041,6.056,2.163,0,1.113,0.804,0,0.066,0,0,0.007,0,0,9.109,0,0.255,0.576,0.004,0.04,0.544,0.696,0.041
"South Africa",346,35,0.02,0,0.003,9,0,0,0,20.8,0.082,0.051,0.023,0.037,0.165,0.07,0.78,0,0,1.76,0.32,13.833,0,0.091,3.93,6.21,1.434,64.1,0.35,66.1,101.6232,5.2767,22.4,88.7,48.42,6.22,0,0,0,3,0,0,52.7,0.1,0,0,21.01,0.005,0,0,0,5.72,47.9,11.68,4.43,0.374,0,9,0,0,9,9,9.008,0,0,0,0,0,0.112,0,0.005,0,0,0.571,0,7.281,15,0.006,0.019,0.006,0,9,0,9,59.587,0,21.232,0,0,0,0,0,11.334,0,0,9,9,0,39.2,0.33,9,0,9,2.29,0,20.39,79.4,9.003,0,0,10.67,0.14,12.2,0.64,0.009,0,0,0,0,2.6,73.7,0,0,0.03,9,0,13.213,0,0,6.46,0,0.001,9.004,0,8.42,0,5.3,0,91.39,2.63,0.254
"Lesotho",11,0,0,0,0,0,0,0,0,0,9,0,0,0,9.086,0,9,0,0,0,0,0,9,0,0,0,0,0.2,9,9.4,0.0951,0.0049,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.06,9.06,0,0,0,0,0,0,0,0,0,0,0,0.002,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9.021,0,0,0,0,0,9,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0.46,0,9.82,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0
"Botswana",2,0,0,0,0,9,0,0,0,0,0,0,0,0,0.023,0,9,0,0,0,9,9,9,0,0,0,0,28.4,0,9,9,9,0,1.8,0.05,0.06,0,0,0,9,0,0,10.8,0,0,2.96,0,9,0,0,0,9.28,9.1,9,0.23,0,0,0,0,9.305,0,0,0,0,0,0,9.033,9,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.025,4.0383,0,0.008,0,0,0,0,9,0.101,0,0,0,9.5,0,0,9,10.1,0,0,0,9,0,0.2,0,0,0,9.01,9,9,0,0,0,0,0,0,0,0,0.08,0,0.02,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0
"Swaziland",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.02,0,31.6,0.02,0.8,0,0,1,0,0.27,9.13,0,0,0,9,0,0,10.3,9,0,0,9,0.001,0,0,0,0.04,0.4,0,0.69,0.002,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9.025,0.465,0.004,0,0,0,0,2.6809,0,0.087,0,0,0,0,9,9.001,0,0,0,0,0,0,9,9.2,0,0,0,0,0,0,9,0,1.1,0,9,9,0,0,0,0,0,0,0,26.5,1.36,0,0.17,0.26,0,0,0,0,0,0,9.013,0,0,0,0,0.5,0,0,0.01,0
"Madagascar",27.331,0.4,0,9,0.014,9,0,0,0,9,0.012,0.002,0,0,0.007,9,0.01,0.1,0,9,0.01,0.022,9,0,0,0.01,0.003,1.417,0.01,1.326,2.177,0.113,17.417,0.498,0.952,0.67,0,0,0,0.1,0.058,0,0.37,0.06,0,0.232,1.7,0.004,0,0,0,0.2,0.363,0.03,0.31,0.001,9,9,0.002,0.429,0.016,0,0.905,3.433,0,0,0.001,9,0.009,0,0.338,0.1,0.197,0.001,9,0,0,0,1.146,0.521,9,0.02,0,0.007,0,0,0.082,0,0,9,9,0,0.442,1.123,0.47,0.074,0.1,0,0.586,0.01,0,0,0,0.1,0,0.07,3.3,9,0,0.1,0.02,0,0,0,0,0,0,0,0,0,4.624,0.079,0,0.27,0.04,0,0,0,9,0.77,9,9,0.002,0,0.216,10.19,0,0,0,0.39,0.017
"Mauritius",13.13,31.668,0.007,9,0,0.002,0.003,0,0,0.005,0,0,0,0,0,0,0,0.007,0.002,0,0,0.048,0,0,0,0.006,0,31.384,0.336,1.936,4.7722,0.2478,6.994,0.48,0.141,0.186,0,0.127,0.022,2.741,0.173,0.16,1.844,0.002,9,0.004,0.004,1.442,0.086,0.054,3.717,0.164,0.38,0.032,1.256,0,0,0,0,0.001,0,0,0,0.005,0,0.001,0.202,0,0,0,0,0.001,0.02,0,0,0.004,0,0.01,3.315,0.071,0,0,0,1.237,0.0632,0,0.01,11.334,9,0.101,9.001,0.442,0,0.348,0.01,0,0,0,7.734,0.003,3.496,0.019,0,0,0,0.147,0,0.257,1.096,0.969,0.001,0,0,0,0,4.322,0,2.999,0.001,0.195,11.054,5.613,0,9.213,0,3.459,0.066,9,0,0.217,0,9.049,2.974,0,4.397,2.792,0.033,5.586,8.994,1.538,0.002
"Morocco",106.58,1.42,0,8.02,0.002,16.85,0,0,0,4.73,0.01,0.02,0.639,0.275,2.515,0.005,1.51,0.1,0.04,1.27,0,19.196,0.04,0.42,3.17,10.63,0.133,18.06,8.23,4.45,17.9386,0.9314,10.97,2.25,1.01,2.04,0,2.51,9.06,0.3,2.26,0.85,15.27,0.05,0.85,20.19,4.22,0.051,0.33,4.21,16.6,2.19,14.64,4.71,2.18,0.051,0,0,0.045,1.986,0.098,0.29,0.071,13.45,0.71,0.086,0.376,0.035,2.226,0.077,0.25,2.3,3.305,0.06,0.42,0.085,3.02,0.98,0.08,0.12,9,0,0,0.015,0.0109,0,0.004,0,0,0,0,1.123,0.348,0,7.18,0.76,0.5,0,3.73,1.27,1.86,0.42,0.24,1.2,0.2,9,0.4,9,0,0.16,0.01,0,0,0,0,11.69,0,4.2,9,0.18,4.47,7.16,0,2.22,0.8,0.16,0.37,0,0,0.15,0,9.012,0.23,0,3.22,2.95,1.83,1.56,0.49,0.26,0.06
"Algeria",10.56,46.45,0,0.06,0.02,6.19,0,0,0,2.64,1.53,0,1.88,0.015,0.116,0,1.39,4.08,0,0,1.41,28.479,0,5.047,0,18.47,0,23.99,0.33,50.04,92.8299,4.8201,250.42,3.51,31.67,0.27,0,29.57,0.98,6.93,1.32,1.89,42.58,0,0,7.72,1.25,3.182,3.31,4.77,8.01,6.24,7.5,12.07,0.24,0.17,0.09,0,0.067,0.386,0.126,0,0.617,22.97,0.54,0.049,0,0,0.195,0,2.743,0.1,0.096,0.051,0,0.183,0,0,18.09,0,0,0,0,0.054,0,0,0.032,0,0,0,0,0.47,0.01,7.18,0,13,0.2,0.64,0.63,7.48,0.01,0.67,2.07,7.45,0,0,0.75,0,0,0.01,0,0,0,0.07,0,16.28,0,0,0.16,0,27.04,1.79,0,0.73,0.43,0,0,0,0,0.1,0,0.005,0,0,1.8,2.24,2.38,2.45,0.18,0.84,0
"Tunisia",28.8,12.53,0,0.05,0,9,0,0,0,0.05,0,0,0,0,0,0,0.44,0,0,0,0.01,5.688,0,0.77,0.45,2.83,1.627,13.6,0.52,12.3,9.2782,0.4818,125.2,3.58,9.44,0.16,0,0.56,3.03,4.1,0.57,0.88,17.8,0.4,0,5.43,1.84,0.3,0.98,0.88,0.12,1.57,7.35,0.57,2.29,0.526,0,0,0.008,0.091,0.14,0,0.072,0.52,0,0.056,0,0,0.069,0.069,0.003,0,0.64,0.308,0.01,1.467,0.26,0,0,0,0,0,0,0.08,0.01,0,0.099,9,0,0,0,0.074,0,0.76,13,0,19.6,0.64,0.02,7.23,10.43,0.97,0.09,0.44,0,0,11.82,0.01,0,0.04,0,0,0,0,0,1.01,0,0.01,0,0,6.06,2.25,0,0.8,0.08,1.85,1.06,0,0,0.4,0.01,0,0,0,0.78,0.4,0.65,1.16,2.06,0.32,0
"Libya",221.3,35.7,26.28,9,0,0,0,14,0,0,0,0.1,0,0,1.5,0.2,0.61,0.3,0,2.4,0,67.073,0,0,0,1.85,0,280,1.89,28,100.8628,5.2372,44.9,54.5,37.43,0.99,0,0.9,15.2,5.3,8.9,8.7,350.2,2.12,9.5,31.76,43.26,3.988,16.2,15.87,33.4,4.6,17.6,4.72,2.34,0,0,0,0.028,0.123,0.485,0,0.201,0.09,0,0.046,1.8,0,0.001,1.089,0.1,0,0,0,4.2,0,0,1.4,1.2,0,0,0,0,0.099,0,0,0,9,9,9.5,0,0.1,0,0.5,0.2,19.6,0,2.874,0.8,10,0,15.58,5.88,64.92,0,0,0.1,0,0,0.7,0,0,0,0,0.1,35.4,0,12.2,0,0,79.8,6.6,0,2.02,0.1,0,4.1,0,0,0.03,0,0,0,0,0.1,1.2,0.1,0,2.5,0,0
"Sudan",23.219,1.554,0,0,0,9,0,0,0,0.1,0,0,0,0,0.022,0,0.01,0.5,0,0,2.17,32.498,0,0,0.342,0.007,0.003,58.284,0.14,5.61,3.5934,0.1866,17.442,3.021,7.961,5,0,1.502,0.537,2.267,0.374,2.719,34.037,0,0,3.203,2.869,0.098,0.643,5.601,25.999,2.495,0.178,0.241,0.256,0.024,0,0,9,0.886,9.003,0,0,0.03,0,0,9.002,0,0,0,0.047,0.02,9,0.017,0.224,0,0,5.081,2.82,0.323,0,0,0.692,0.986,0.157,0,0.001,0,9,0,0,0,0,0,0.64,0.64,2.874,0,0.1,0.03,0,6.599,1.685,2.266,0.494,0,12.483,1.262,1.548,8.395,0,0,0.468,0.6,0,35.932,0,7.791,0.055,0,25.774,15.15,0,4.117,2.77,0,0,0,0,5.502,0,0,0,0,0.81,2.503,0,0,0.592,0.031,0
"Iran",42,119.9,1.36,9,0,9,0,12.4,0.003,0.5,0.127,0.029,0,0,0.011,0.097,0.69,0.8,0,0.59,0.34,12.319,0,0,3,9.92,2,247.2,22.59,464.9,66.2595,3.4405,149.2,36.6,95.34,4.47,0,9.5,12.9,10.9,5.89,29.2,330.4,0,9.1,105.82,25.62,0.279,16.7,14.58,188.9,35.84,13.6,108.55,82.23,0.042,0,9.1,0.094,0.032,0.777,0,0.931,0.04,0,9,0.002,0,0.493,0.23,1.733,0.5,0.1,0.048,9,0,16,0.194,39.58,34.143,1.9,2.202,0.486,13.394,26.5709,9,5.789,39.2,0,0,0,0.586,7.734,3.73,0.63,0.02,0.8,0.1,0,0.78,0.3,0.04,1.09,3.82,0.1,23.06,4,0.057,0,9.8,3.52,3.31,14.6,0.42,2.848,30.1,9,12.6,9,0.1,1446,189.29,0,4.47,9.89,0.007,7.6,0,9.1,1.03,9,0,9,0,6.63,116.46,15.5,0.2,9.28,9.8,2.201
"Turkey",37.15,15.98,0,0.03,0.01,0,0,0,0.009,2.46,0.007,0.005,0,0.002,0.001,0.029,0,0.5,0,0.03,9.1,11.337,0.01,0.003,0,0.03,0.102,136.64,2.65,56.85,42.8548,2.2252,41.4,91.21,9.93,25.97,0,2.8,1.8,3.11,5.3,0.25,5.25,0.44,0,2.06,13.44,3.977,0.4,3.14,75.48,1.15,1.3,2.44,22.22,0.051,0,9,0,0.049,0.005,0,0,0.17,0,0.01,0.008,0.012,1.583,0,0.03,5.2,0,0.002,0,0,0,0,0.008,0,0,0,0,0.039,0.0027,0,0,0.33,9,9,9,0.01,0.003,1.27,7.48,7.23,10,0.03,0.78,0,14.16,16.71,12.17,48.87,0.35,12.29,83.71,0.001,0,2.22,6.11,0.01,0,0,0.01,26.46,0,0.58,0,2.8,30.51,3.45,0,5.07,0.96,0,0.05,9,0,0.4,0,0,0,0,2.16,7.14,0.78,0.01,6.57,0.13,0.002
"Iraq",31.3,20.5,0.02,9,9,12.2,0,0,0.004,1.2,9,9,0,0,0,0,0.04,9,9,9.1,0.1,174.675,0,9,0,5.47,8.433,3.7,0.2,5.2,10.6472,0.5528,413.4,6.5,40.45,37.98,0,30.3,16.7,66.3,9.96,59,483.9,0,9,18.92,22.1,4.033,19.7,3.19,88.6,0.68,11.5,1.6,5.89,0.019,0,0.013,0,6.899,0.044,0,0.001,11.69,9,9,0,9.007,0.745,0.048,0.001,0,0,0,9,0,0,0.1,0.709,0.509,0,0,0.11,0.198,0.3791,9,0.401,9,0,10.1,9.2,0,3.496,1.86,0.01,10.43,0,0,0.3,14.16,0,1.65,21.25,31.6,3.37,0,2.8,2.611,0.3,12,1.47,0.21,1.2,0.32,0.2,45.3,0,9,9.3,0.1,57.5,11.08,0,8.33,9.07,0.798,11.1,0,0,2.68,0,9.011,9,0,21,13.7,0.6,5.5,34.04,0.08,0.277
"Egypt",87.36,0.25,0.02,3.86,0,0,0,0,0.038,0.17,0.001,0.001,0,0,0,0.013,0.17,1.9,0.211,0.03,0,3.855,0,0,0,0.38,3.15,24.3,0.15,12.06,2.5762,0.1338,44.82,3.26,5.26,2.13,0,0.81,18.49,2.95,2.44,35.98,11.17,0.05,0.18,4.6,8.58,1.187,1.55,17.3,303.97,2.14,8.48,3.19,0.62,0.048,0,0,0.027,0.546,0.902,0,0.005,4.06,0.34,0.152,0.036,3.648,0.579,0.005,0.558,1.43,0,0.037,0,0.01,0.04,0.233,0.194,0.248,0.5,0,0.381,1.276,1.1423,0,0.3,0,0,0,0,0,0.019,0.42,0.67,0.97,15.58,6.599,0.04,16.71,1.65,0,4.59,9,7.38,0,9.63,4.556,0.38,2.29,0.05,0.18,0.2,0,0.011,6.78,0,0.05,2.67,0.89,34.23,7.31,0,2.96,2.71,0.03,6.98,0,0,0.05,0,0,0,0,0.21,1.14,0.01,0.02,46.37,0.24,0.005
"Syria",15.59,2.32,0,15.08,0,9,0,0,0.041,9,0,0,0,0.001,1.389,0,0,0,0,0.01,0,16.738,0,9,0,1.08,9,24.96,1.86,4.75,19.5356,1.0144,24.62,11.49,5.47,0.81,0,8.39,4.49,14.18,0.43,1.91,28.03,0.03,0,1.68,45.49,0.561,1.02,6.97,9.95,3.42,4.98,0.63,2.16,0.003,0,0,0,9.013,9.002,0,0,0.3,9,0,0.002,9,0.002,9,0.001,0.1,0,0,0,9,0,0,0.028,0.06,0,9,0,0.351,0,0,0,9,0,0,0,0,0,0.24,2.07,0.09,5.88,1.685,1.09,12.17,21.25,4.59,0,15.76,15.89,9,54.34,0.012,0.12,3.61,0.2,0.85,0.4,0,9.057,4.56,0,0,0,0,18.04,3.35,0,0.18,3.4,9,3.93,0,0,0,0,9,9,0,0.04,0.34,0,0,0,0.63,0
"Lebanon",111.79,15.51,0,0.27,0,0,0,0,0,0.28,0,0.159,0,0.002,0.046,0.014,0.11,0.1,0,0.03,0.44,16.401,0,9.02,1.36,5.79,0.086,81.22,0.16,23.26,26.6844,1.3856,66.21,50.39,15.59,3.42,0,3.46,5.89,15.56,6,20.75,87.41,0.11,0,3.86,15.81,2.989,7.03,20.9,11.78,11.31,13.09,1.84,3.81,0.609,0,0,0.333,1.164,0.005,0.01,0.022,1.15,1.27,0.12,1.365,0.574,0.549,1.197,0.494,6.19,2.588,0.034,0,0.32,1.11,0.536,0.155,0.282,0,9.013,0.36,0.665,0.0883,0,9,2.29,0,0,0,0.1,0,1.2,7.45,0.44,64.92,2.266,3.82,48.87,31.6,9,15.76,0,11.19,0,207.56,0.255,0.73,33.5,5.42,10.78,10.43,0.66,0.142,14.29,0,2.94,9.67,1.02,44.95,4.46,0,0.87,0.24,0.042,3.58,0,0,0.78,0,9.003,0,0,0.57,1.27,0.14,0.02,5.29,0.29,0.001
