"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","North Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Australia","New Zealand"
"Costa Rica",32.900002,0.80000001,0.050000001,0.000064,0.0096000005,0.60000002,0,0.1,0.30000001,0.1,0,0.1,0.1,0,0.1,0.2,0,0,0.000028,0.40000001,0.1,0.1,1.9,0,0.12,0,0,0.13,0.40000001,0.1,0,0,0,0.039999999,0.2,0,0.0064280001,0,0,0,0,0,0.30000001,0.1,0.02,0,0,0,0,0,0,0,0,0.000050999999,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0
"Panama",52.580002,0.99000001,0.33000001,0,0,0.99000001,0.11,0.11,0.33000001,0.99000001,0.22,0,0.44,0,0.55000001,0.11,0,0,0,0.55000001,0.44,0,1.76,0,0.11,0,0,0.33000001,0.44,0.11,0,0,0,0,0.33000001,0,0,0,0,0,0,0,0.66000003,0.059999999,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.66000003,0,0.33000001
"Colombia",235,6.4000001,0.20999999,0,0.0000099999997,1,0,0,0,0,1.3,1.2,0,1.7,3.5999999,9.6000004,4.9000001,0,0.30000001,1,6.3000002,0.5,18.9,0,2.6400001,0,0,4.9699998,7.5,0.30000001,0.69999999,0,0,0.41999999,4.9000001,0,0,0,0,0,0,0,8.3000002,0.33000001,0.63999999,0,0,0,0,0,0,0,0,0.000018000001,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0
"Venezuela",598.40002,18.200001,8.6999998,0.0099999998,0.0020339999,6.4000001,0.30000001,0.2,1,0.80000001,0.1,0.2,2.9000001,0,1.7,0.2,7.6999998,0,0.0099999998,0.89999998,11.3,1.8,59.200001,0.1,5.1300001,0,0,7.4899998,9.8000002,1.7,2.3,0.0099999998,0.1,1.75,15.1,0,0.0034459999,0.1,0,0,0.1,0.60000002,5,0.37,2.51,0,0,0,0,0.1,0.1,0,0.001611,0.02,0,0,0,0,0,0,0.2,0,0,0.30000001,0,0,0.1,0,0.69999999,1.4,0,0.1
"Ecuador",37.619999,1.65,0,0,0,0.33000001,0,0,0.44,0,0,0.1,0.33000001,0.2,0,0.76999998,0.66000003,0,0,0.99000001,0.22,0.33000001,5.2800002,0,0.11,0,0,0,0.55000001,0.11,0,0,0,0,0.88,0,0,0,0,0,0,0,0.76999998,0.0053949999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33000001,0,0,0,0,0,0,0,0
"Peru",90.800003,3.0999999,0.25,0.000038999999,0.000016,0.30000001,0,0,0,0.89999998,0.1,0.1,0.2,0.1,2.4000001,0,1.1,0.1,0.000061999999,5.3000002,29.5,0.1,11.5,0,0.18000001,0,0,0.76999998,3.5999999,0.1,0.2,0.000014,0,0.64999998,2.2,0,0.000117,0.0000090000003,0,0,0,0.1,2.2,0.58999997,0.15000001,0,0,0,0,0,0,0,0.000055,0.00030799999,0,0,0,0,0,0,0.1,0,0,6.5,0,0,0.40000001,0,0,0.5,0,0
"Brazil",646.58002,20.24,0.0099999998,0,0,0.88,0,0,0,0,0,0.11,0.11,12.21,0.11,0.55000001,0,0.11,0.11,11.99,88.879997,10.56,125.73,0.55000001,9.79,0,0,27.389999,23.870001,5.7199998,17.16,3.1600001,0.11,8.7200003,23.870001,0,0.33000001,0.85000002,0,0,0,5.7199998,27.719999,8.3100004,2.1400001,0.11,0,0,1.4299999,0,0.55000001,0,1.4299999,0.001143,0,0,0,0,0,0,0.11,0,0,13.42,0,0,0.22,0,0,0,2.4200001,0
"Bolivia",37.07,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,7.6999998,2.2,0,0,4.0700002,12.21,0,4.5100002,0,0.11,0,0,0,0.99000001,0.11,0,0,0,0,0.55000001,0,0,0,0,0,0,0,1.21,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33000001,0,0,0,0,0,0,0,0
"Paraguay",6.23,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000048999998,0.059999999,0,0,1.16,0,0.33000001,15.76,0,0,0,0,0,0.14,0.0028570001,0.00073700002,0,0,0,0,0,0,0,0,0,0,0,0.55000001,0.002231,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76999998,0,0,0,0,0,0,0,0
"Chile",114.3,3.5999999,1,0.000002,2.7,0.89999998,0.1,0,0,0,0.2,0.1,0.2,0.40000001,1.7,35.5,11,0.2,0.0035860001,0,25.799999,0,17.799999,0,0.69999999,0,0,2.4000001,3.2,4.8000002,0.1,0,0,0.029999999,4.5999999,0,0.0000060000002,0.0000070000001,0,0,0.1,0,7.0999999,0.19,0.2,0,0,0,0.1,0,0,0,0.000208,0.000002,0,0,0,0,0,0,0,0,0,4.1999998,0,0,0.2,0,0,0.1,0.1,0
