"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Colombia",0,0,9,0,0,0,0,0,0.0009,0,0,0.3,0.12,0,0,0,9,0,0,0,0,0.21,0,0,2.1,0,0,0,0,9,9,0,0,0,9,0,0.1,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",9.01,0,0.0278,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,2.09,0.16,0.02,0,1.26,0,2.24,0,0.23,0,0,0,0,0.39,9,0,0,0,0,0,0,0,9,0,0,0,0.62,0,9,0,0,0,0,0,0,0.0007,0,0,0,0
"Ecuador",0.48,0,0,0,0,0,0,0,0,0,0.12,0,0,0.06,0,0,0,0.24,0,0,1.58,0.37,0.01,0,0.03,0,0.41,0,2.23,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",14.95,0.0328,0.1291,0,0,0,0,0,0.02,9.29,0,0,0.06,0,0,1.41,0,6.66,2.81,0,12.71,0.59,0.41,0,1.96,0,1.32,0,2.33,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0479,0,9,0,0,0,0,0,0,1.36,0,0,1.58,0
"Brazil",21.62,1.92,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.0193,0.73,8.57,18.18,30.05,6.55,2.2,0,15.4799,1.25,0.99,2.17,2.71,0.0068,0.1815,0,2.68,7.89,9,0.2299,0.3878,0,0,12.18,0,0,0,1.63,4.72,0.87,5.2738,0,0,2.68,0,0,0,0,0,0.72,0,0,0,0
"Bolivia",1.33,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.23,0,0,2.37,0.3,0,4.38,0.0026,0,0,0.738,0,0.3288,0,0.86,0,0,0,0,0.2098,0,0,9.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.04,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0193,0,0,0.0001,0.37,0.45,1.33,0.0289,0.02,0,0.14,0,0.251,0,0.39,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Chile",8.57,0,1.5306,0,0,0,9.02,0,0,0,0,0,0.24,6.66,0.73,2.37,0.0001,0,0.65,0,15.61,5.98,15.91,0,11.3768,0,2.18,0,11.85,0,0.02,0,1.91,2.2,0,0,0.001,0,0,0,0,0,0,0,0,2.6835,5.5715,0,0,0,0,0,0,0,0,2.1959,0,0,0.39,0
"Argentina",97,0,1.05,19.48,0,0,0,0,0,0,0,0,0,2.81,8.57,0.3,0.37,0.65,0,2.46,115.36,29.32,38.53,0,28.8743,3.85,19.45,3.99,16.27,0.0054,0.1193,0,8.94,16.24,0,0.05,0.0076,0,0,0,0.05,0,0,0.02,5.09,3.31,9.2836,0,0,0.21,0,0,0,0,0,3.33,0,0,0,0
"Uruguay",25.15,0,0.11,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0.45,0,2.46,0,0.49,0.47,1.4,0,3.7959,0,2.94,0.08,3.78,0,0.0014,0,0,0.72,0,0,0.0006,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
"United Kingdom",826.98,128.88,7.91,0.69,2.24,0.49,1.07,0.55,0.69,0.79,0,2.09,1.58,12.71,30.05,4.38,1.33,15.61,115.36,0.49,0,43.3367,34.1,0,31.0544,40.91,28.49,23.62,7.56,65.06,4.12,1.09,8.84,34.38,0.21,2.89,0.53,3.84,8.6,20.98,60.44,5.39,1.54,10.66,32.35,16.44,74.974,0,0.8,120.54,0,12.79,0,95.52,0,55.2,0,15.24,58.1,72.78
"Netherlands",88.2118,8.51,0.29,4.14,0.13,0.02,0.01,0.0289,0.06,0,0.21,0.16,0.37,0.59,6.55,0.0026,0.0289,5.98,29.32,0.47,43.3367,0,5.68,0,10.5185,7.97,0.08,0.39,124.9761,1.14,5.71,0.07,6.26,1.35,0,0.95,0.58,0.3031,3.8,0.11,0,24.96,0.31,2.03,1.24,7.2,11.3858,0.06,0.0014,0.71,0,0.53,1.9549,0.53,0,4.62,0,0.41,0.45,0.04
"Belgium",104.45,11.91,0,1.9,0.019,0,0,0,9.0052,9.001,0,0.02,0.01,0.41,2.2,0,0.02,15.91,38.53,1.4,34.1,5.68,0,5.45,31.11,5.5,2.15,2.6,23.41,0,0.14,0,1.68,2.17,0,0,2.24,0.27,4.32,1.81,0,55.99,0,3.87,2.37,3.44,3.42,0,0,2.4,0,5.66,0,6.91,0,3.72,0,0.38,12.45,1.77
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",68.0405,2.11,5.2089,18.05,0.53,0.2297,0.35,0.55,0.08,0.29,2.1,1.26,0.03,1.96,15.4799,0.738,0.14,11.3768,28.8743,3.7959,31.0544,10.5185,31.11,0,0,29.2352,9.1165,3.0361,43.7826,2.84,1.48,0.43,7.88,9.3789,0,2.88,5.27,1.47,13.28,1.04,1.07,2.77,0.0096,4.18,2.5512,0.6472,7.6429,9,9,1.26,0,17.8617,0,15.6646,0,2.6706,0,0.68,30.94,0.82
"Switzerland",25.5,29.46,0,3.4636,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,3.85,0,40.91,7.97,5.5,0,29.2352,0,0.59,10.27,42.62,0.5,3.27,0.01,11.8,21.75,0,7.15,0.3,0.03,1.01,0.48,0,1.11,0,0,0.83,1.29,7.7662,0,0,2.2751,0,0,0,3.05,0,2.74,0,0,6.21,0
"Spain",85.51,0,9.29,9.09,0.135,0.065,0.08,0.03,0.04,9.1,0,2.24,0.41,1.32,0.99,0.3288,0.251,2.18,19.45,2.94,28.49,0.08,2.15,0,9.1165,0.59,0,4.19,31.43,0,0.38,0,0.6,0,0,0.05,0.36,0,1.24,0,0,0,0,0.84,1.18,2.46,0.75,0,0.0034,0,0,0,0,0,0,0.03,0,0,0,0
"Portugal",14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,3.99,0.08,23.62,0.39,2.6,0,3.0361,10.27,4.19,0,4.95,0,0.02,0,0,0.08,0,0.0093,0.21,0,0,9.0026,0,0,0,0,0.73,1.63,0.57,0,0,0,0,0.1286,0,0,0,0.14,0,0,0,0
