"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Kenya",4.452,1.877,0,9,0,0.071,0.039,0.038,0,0,0,0,0,0,0,0,0,0,0.01,0,0.039,0,9,0,0.067,0,68.872,2.53,4.466,7.3351,0.3549,17.142,0.571,3.176,0,0,0.517,1.835,0.013,0.66,2.733,12.265,0.04,0,0.953,0.373,0.002,0,0.54,0.551,1.525,2.39,2.29,2.051,0.001,0,0,0,0.001,0,0,0,0,0,0,0.035,0.015,0.187,0.001,0.021,0.273,0,0,0,0,0.423,20.783,0,26.696,0.9,1.798,3.594,2.036,9.2993,0,0.569,0,0,0,0.195,0.406,2.374,0.31,0,0,1.6,1.73,37.597,0.265,0.986,0.254,0.301,0.383,0.34,2.286,8.913,0.314,1.277,0.8,0.265,0.05,2.1,0.37,9,1.131,0,1.366,9.002,0.897,40.039,5.954,0,3.975,1,0,0.064,0,0,0.214,0,0,0,0,4.388,0.208,0.3,0.015,7.961,0.142,0.026
"Tanzania",2.442,1.199,0,0,0,0.066,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0.012,9,0,0,0,0,8.651,2.711,2.667,8.556,0.414,7.496,0.826,3.653,0.54,0,0.889,3.861,0.075,0.189,0.346,23.31,0,0,2.148,0.049,0.153,0,0.429,0.732,0.21,3.735,0.951,0.806,0,0,9,9,0.442,0,0,0,0,0,0,0,9,0.01,9,0,0.015,9,0,0,0,1.029,1.198,26.696,0,0.899,0.77,0.221,0.312,2.3588,0,0.922,0,0,0,0.455,0.435,0.005,0,0,0,0,0.096,23.006,0,0.275,0.19,0.133,0.064,0.234,1.06,4.691,9.028,1.45,2.998,0.012,0.25,0,0,0,52.153,0,0.533,0,0.438,11.032,23.567,0,0.263,1.7,0.01,0.057,0,0,0.292,0,0,9,0,0.098,12.638,0,31.176,1.925,2.451,0.003
"Burundi",16.4,0.3,0,0,0,0,9,9,0,9,9,0,0,9,0,0,0,9,0,0,0,0,9,0,0.01,9,0.2,0,0.9,6.1046,0.2954,1.9,0.2,0.29,0.21,0,1,0,0,0,0.1,0.3,0,9,0.14,0.2,0,0,0.3,0,0,0.2,0.03,0.11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,9,0,1,0.1,0.9,0.899,0,0.3,0,0,0.0008,0,0,0,9,0,0,9,0,9,0,0,0,0,1.6,0,0,0,0,0,9,0,0,0,0,9,0,9,0,0,9,0.4,0,0,0.1,0,1.7,0.3,0,0.01,0,0,0,0,9,0.4,0,0,0,0,0.2,0,0,9,0.1,0,0
"Rwanda",10.6,0,9,9,0,9,0,0,9,0,0,9,0,0,9,9,0,0,9,9,0,0,0,9,0,0,0.7,0.01,0.2,0.5723,0.0277,0.8,0.2,0,0,0,0,0,0,0,0,0.5,0,9,0,0.39,0,9,0,0,0,0.3,0,0.16,0,9,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.199,1.798,0.77,0.3,0,0,0.086,0,0,0,9,9,0,0,0,0,0,0,0,0,0,1.9,0,0,0,9,9,0,0.01,0,0,0,9,9,9,0,0,9,0,0,0,0,0,3,0.02,0,0.01,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0.01,0
"Somalia",4.834,0.119,9,0,0,0.001,0,0,0,0.015,0,0,0,0,9,0,0,0,9,9,1.641,0,0,0,0,9,4.35,0.01,0.694,0.5628,0.0272,0.419,0.306,0.108,0.002,0,0.933,0.139,0.303,0.027,0.247,9.114,0,0,0.045,0.964,0,0.079,0.31,4.668,0.004,0.074,0.01,0.103,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,9,0,0.054,0,0,0.002,0,0,0.226,3.594,0.221,0,0,0,1.142,0.008,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0.009,0.752,0,0.254,0.383,0.001,0.034,0.17,9,32.11,0.002,0.849,4.26,0.183,0.35,0.6,0.19,0.003,3.93,0,0.016,9.023,0,3.986,0.69,0,0.741,0.079,0,0.92,0,9,2.881,0,0,0.01,0,0.446,2.47,0.001,0.002,0.033,0.01,0
"Ethiopia",44.657,0.151,0.006,9,9,0.001,0,0,0.317,0.068,9.002,0,0,0,0.004,0,0.036,0,0,0,0.594,0,0,0,0,9,12.282,0.028,0.985,0.1049,0.0051,0.445,2.027,3.008,0.009,0,0.004,0.728,0.794,0.726,4.055,20.167,0.12,0.004,1.661,2.054,0.153,0.044,0.098,1.114,1.778,2.741,0.061,0.958,0.018,0,0,9,0.001,0,0,0,0.001,9.001,9,0.007,9,0.013,0,0.002,0.014,0,0.005,0,0,0.152,0.65,2.036,0.312,0,0.086,1.142,0,0.3282,0,1.471,9,0,9,0,0.005,0.409,0.019,0.26,0.035,0.1,0.99,11.086,0.085,0.303,0.095,0.023,0.32,0.434,1.127,7.331,0.504,1.384,0.069,9,0,0,0,0,2.003,0,0.706,0,0.468,14.34,2.79,0,0.61,9,0.005,2.232,0,9,0.913,9,0,9.008,0,0.011,1.531,0.013,0.017,0.577,0.016,0
"Zambia",46.0545,2.2954,0,0,0,0.0236,0.0127,0,0,0,0,0,0,0,0,0,0,0,0,0,53.783,0,9.0073,0.038,0.0218,0.0164,16.7018,1.15,4.3109,2.6326,0.1274,63.3909,1.5336,16.3745,0.6482,0,0.0235,0.3904,4.9782,0.2482,0.2721,54.74,0.0318,0,23.9645,7.5166,0.2455,9.0882,3.5282,1.5891,0.7855,9.13,1.2282,3.15,0.0018,0,0,0,0.009,0,0,0,0.0227,0,0,0,0.0027,0.003,9,0.0018,0.0025,0.0027,9,0,0,1.0909,0.2106,9.2993,2.3588,0.0008,0,0.008,0.3282,0,14.2039,1.7331,68.973,0.01,2.8431,2.7273,0.0027,0.1754,0,0,0,0,0.0012,17.4785,0.0154,0.1736,0.4233,0,0.0018,0,3.7818,0.6085,0.0018,0,0.2873,0,0.0018,0,0,0.0018,3.8014,0,1.2767,9.0164,0.0545,113.7664,20.8809,0,0.235,0.2227,0.0063,0.0882,0,9,0.9211,0.014,0,0,0,0.9436,2.51,0.0352,0.0464,11.7907,0.7336,0.002
"Zimbabwe",12,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0.015,1.5,0,0.3,0,0,20.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0.025,0,0,0,9,0,17.2,0,0,0,0,0,0,0,14.2039,0,15.33,0,0,0,0,0,0,0,0.01,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,1.43,0,0
"Malawi",1.58,0.236,0,0,9.005,0.013,0,0.005,9,0,0,0,0,9,0,9,0.006,0,9,0,0.02,0,0,0,0.006,9,5.636,3.867,0.361,0,0,0.194,0.161,1.295,0.718,0,9,0.001,1.298,9.02,9.479,1.178,0.027,0,0.034,0.232,0.055,0,9.011,0,0.289,0.344,0.487,0.044,0,0,0.221,0,0.017,9,0,0,0.001,9,0,0.521,1.532,0.004,0.069,0.324,0.005,0.14,0,0,0,1.024,0.004,0.569,0.922,0,0,0,1.471,1.7331,15.33,0,11.961,9,0.171,0.031,0.038,0.007,0.001,0.008,0.001,0,0.004,6.006,0.001,0.446,0.23,0,9.001,9,0.019,0.223,9,9,0.202,0.014,0,0,9,0,0,0,0.407,9,0.03,8.791,2.617,0,0.852,0.14,0,0.03,0,0,0.035,0,0,9,0,0.283,0.372,0,0.003,2.201,0.216,0
"South Africa",259,21.5,0,0,9,0.09,0,0,2.4,0.062,0.005,0.148,0.026,0.078,0.397,0.36,0,0,0,0.46,20.418,0.254,0.066,3.85,2.24,0.508,31.7,2.94,40.1,75.0679,3.6321,55.7,73.8,45.22,2.83,0,0,0,1.3,0,0,26.6,0.09,0,0,18.65,0,0,0,0,4.5,31.9,6.17,7.83,0.422,0,9,0,0,9,9,9,0,0,0,0.003,0,0.001,0.015,0,0,0,0.432,0,0,11.7,0,0,0,0,9,0,9,68.973,0,11.961,0,0,0,0,0,6.025,0,0,9,9,0,0,0.4,9,0,9,1.07,0,2.77,41.2,9,0,9,0,22.03,10.6,0,9,0,0,0,0,1.5,35.3,0.28,0,0,9,0,11.868,0,0,0.12,0,0.001,0,0,0.04,0,1.9,0,65.08,0.14,0.095
"Lesotho",11,0,0,0,0,0,0,0,0,9,0,0,0,9.093,0,9,0,0,0,0,0,9,0,0,0,0,0.3,9,9.3,0.9538,0.0462,0,0,0,9,0,0,0,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0,9,9,9.17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0.01,0,9,0,0,0,0,0,9,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0.58,0,9.15,0,0,0,0,0,0,0,9.001,0,0,0,0,0,0,0,9,0
"Botswana",2,0,0,0,9,0,0,0,0.1,0,0,0,0,0.009,0,9,0,0,0,9.14,9,9,0,0,0,0,7.3,0,9,9.2862,9.0138,0,1.6,0.23,0,0,0,0,9,0,0,9.2,0,0,2.51,0,9,0,0,0,9,11.2,9.03,0.02,0,0,0,0,9.248,0,0,0,0,0,0,9.008,9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.8431,0,0.171,0,0,0,0,9,0.016,0,0.15,0,9,0,0,9,10.2,0,0,0,9,0,0.4,0,0,0,0,9,9,0,0,0,0,0,0,0,0.1,0.27,0,0.06,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0
"Swaziland",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.07,0,23.9,0.19,0.3,0,0,0.3,0,0.08,9.05,0,0,0,9,0,0,9.9,9,0,0.02,9,0,0,0,0,0,0.1,0.05,0.46,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9.051,0.195,0.455,0,0,0,0,2.7273,0,0.031,0,0,0,0,9,9.004,0,0,0,0,0,0,9,9,0,0,0,0,0,0.5,9,0,10.3,0,9,9,0,0,0,0,0,0,0,30.3,4.11,0,0.17,9,0,0,0,0,0,0,9.005,0,0,0,0,0,0,0,0,0
"Madagascar",31.092,0.1,9,0.007,9,0.002,0,0,9,0.005,0.002,0,0,0.004,9,0,0,0,9,0.04,0.009,9.013,0,0,0,0.003,0.501,0,2.088,1.5166,0.0734,44.902,1.388,0.682,0.27,0,0,0,0,0.076,0,3.928,0.01,0,0.148,1.24,0,0,0,0,0.13,0.053,0.04,0.04,0,9,9,0.004,0.285,0.006,0,0.566,2.557,0,0.004,0.003,9,0,0,0.021,0.1,0.145,0,9,0,0,0.005,0.406,0.435,9,0,0,0.005,0.0027,0,0.038,0,0,9,9,0,1.075,0.714,1.555,0.086,0.1,0,1.871,0,0,0,0,0.24,0,0.05,1.4,9,0,0.3,0,9.35,0,0,0,0,0,0,0,0,2.801,0.063,0,0.29,0,0,0,0,9,1.91,9,9,0.002,0,0.195,9.03,0,0,0,0.42,0.011
"Mauritius",6.848,19.734,9,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0,0.09,0.019,0,0.001,0.001,0.002,0,43.044,0.131,2.39,0.6295,0.0305,6.581,0.708,0.121,0.113,0,0.069,1.364,1.301,0.113,0.124,1.587,0.003,9,0.01,0.063,0.007,0.016,0.051,3.172,0.146,0.51,0.06,0.428,0,0,0,0,0.002,0,0,0,0.031,0,0,0,0,0.002,0,0,0.02,0.007,0.002,0,0,0.004,0.001,2.374,0.005,0,0,0.002,0.409,0.1754,0,0.007,6.025,9,0.016,9.004,1.075,0,0.207,0.007,0,0,0,6.039,0.064,0.002,0.006,0,0.005,0,0.345,0,0,0.003,0.145,0.496,0,0,0,0,2.647,0,0.952,0.001,0.092,8.316,3.156,0,1.017,1.396,6.495,0.049,9,0,0.54,0,9.007,0.009,0,0.665,2.337,0.029,0.07,8.442,1.015,0
"Morocco",45.87,6.14,8.73,0.093,3.33,0.063,0.42,0.001,2.13,2.488,0.021,1.145,0.261,0.967,0.01,0.9,0.05,0.38,1.12,0,14.103,0.074,0.02,0,1.08,0.002,5.55,4.75,2.41,15.872,0.768,6.9,7.38,12.61,0.61,0,1.42,4.59,1.81,1.53,1.58,16.07,0.17,0.78,13.62,3.69,0.083,0.98,1.79,6.2,1.63,14.24,2.14,2.6,0.005,0,0.03,0.079,1.365,0.003,0.42,0.102,10.85,0,0.061,0.333,0.414,0.992,0.097,0.564,1.5,1.059,0.071,0,0.352,1.11,0,0.31,0,9,0,0,0.019,0,0,0.001,0,0,0,0,0.714,0.207,0,0.28,0.05,0.5,0,0.02,0.86,0.06,1.03,0.28,0.92,0.06,9,0.1,9,0,0.26,0,0,0,0,0,0.83,0,0.06,9,0.01,6.18,3.97,0,1.23,0.53,0.63,0.99,0,0.36,0.37,0,9.01,1.951,0,3.65,0.78,0.85,0.57,3.13,0.31,0.073
"Algeria",8.05,25.72,0.2,0,1.59,0.006,0,0,2.39,0,0,0,0.497,0.07,0.006,0.44,0,0,0.01,1.98,43.096,0,3.213,0,7.53,0.002,20.19,2.85,19.54,5.9043,0.2857,104.86,1.67,51.67,0,0,3.99,1.43,5.7,0.52,3.71,61.68,0.02,0,0.69,3.11,0.01,11.89,17.76,12.96,8.21,0.24,0.78,10.07,0.004,0.02,0,1.141,3.376,0.074,0.09,0.879,2.51,0.12,0.038,0.137,0.01,0.511,0.05,1.425,0.13,0.929,0.181,0,0.488,0.58,0,0,0,0,0,0,0.26,0,0.01,0.008,0,0,0.15,0,1.555,0.007,0.28,0,7.95,0.2,0.14,0.26,8.38,2.4,4.9,0.06,4.2,0,0,0,0,0,0,0,0.11,0,0.09,0,1.52,0.14,0.01,0.54,0,18.25,0.79,0,0.3,0.08,0,0.07,0,0,0.32,0.08,0.08,0,0,1.21,0.54,0.8,0.29,4.38,0.51,0
"Tunisia",46.05,8.94,0,0,9,0,0,0,0,0.172,0,0,0,0,0,0.06,0,0,0,0,7.877,0,0.293,0,0.31,1.911,9.52,0.16,7.8,6.4957,0.3143,96.05,0.97,1.72,13.9,0,0.38,2.24,6.47,1.12,0.41,54.43,0.03,0,2.95,2.59,0,2.06,0.05,3.26,1.92,1.93,0.24,1.68,0.255,0,0,0,0.471,0.105,0,0,0.35,0,0.101,0.001,0,2.685,0.056,0.377,0.1,0.496,0.185,0,0.648,1.5,0,0,0,0,0,0.001,0.035,0,0,0.001,9,0,0,0,0.086,0,0.05,7.95,0,15.77,0,4.59,5.27,0.73,0.87,0.11,0.07,0,0,10.03,0,0,0.1,0,0,0,0,0,0.49,0,0,0,0,3.64,4.2,0,0.26,0.22,0,0.81,0,0,0.17,0,0.001,0.007,0,0,0.48,0,0,0,0.09,0
"Libya",140.2,44,9.2,0,0,0.001,72.3,0,0.4,0.1,0.2,0,0,0.4,0.1,1.8,1.1,0,1.3,0,21.459,0,0,0,1.06,0.302,269.1,1.08,64.5,11.8277,0.5723,179.4,25.9,72.21,0,0,0.9,6.5,7.1,5.5,8,215.3,2.01,9.2,20.84,15.96,3.395,1.9,13.79,29.3,1.44,9.5,1.76,1.69,0,0,0,0.111,0.1,0.997,0,0.578,0,0,0,0.001,0,0.026,0.609,0.4,0.3,0,0,1.6,0,0,0.288,1.6,0,0,0,0,0.1,0,0,0,9,9,9,0,0.1,0,0.5,0.2,15.77,0,0.25,0.5,5.9,0,11.91,2.62,32.24,0,0,0.1,0,0,0,0,0,0,0,9,25.6,0,5.2,0,0,55.7,4.1,0,1.2,0.03,0,13.2,0,0,0.03,0,0,9.002,0,0.04,1.09,0,0,2.6,0,0
"Sudan",0.801,2.51,0,0,9,0.005,0,0,0,0,0,0,0,0.014,0,0,0,0,0.01,0.06,5.465,0,0,0.169,0,0.58,48.519,0.01,3.378,0.5723,0.0277,1.014,2.165,5.688,9.46,0,1.226,1.316,0.135,0.092,2.417,29.762,0.003,0,0.722,0.191,0.008,0.069,3.264,13.953,1.375,0.611,0.207,0.991,0.026,0,0,9,0.721,9,0,0,0,0,0,9,0,0.003,0,0.053,0,9,0.001,0.089,0,0,2.749,1.73,0.096,0,0,0.009,0.99,0.0012,0,0.004,0,9,0,0,0,0,0,0.14,0,0.25,0,0.905,0.01,0,7.092,0.7,1.108,0.93,0,7.533,0.73,1.077,1.816,0,0,0,0,0,10.53,0,0,0,0,15.763,7.9,0,32.491,4.7,0,0.62,0,0,5.86,0,0,0.037,0,0.07,1.002,0,0,7.265,0.044,0
"Iran",277.5,55.6,0,0,9,0.01,2.6,0.001,0.6,0.01,0.051,0,0,0.007,0.001,0.87,0,0,0.1,1.46,3.359,0.095,0,7.47,2.91,0.334,20.5,10.3,249.1,67.7232,3.2768,68.2,62,48.37,7.54,0,0,0,4.1,1.1,0,229.8,0.03,0,16.86,2.53,0.141,0,7.82,0,44.32,16.1,44.81,26.1,0.024,0,0,0.079,0.026,0.357,0,0.388,0,0,9,1.171,0,0.004,0.251,0.222,0.4,0,0,9,0,13.7,0.14,37.597,23.006,1.6,1.9,0.752,11.086,17.4785,0,6.006,0,0,0,0,1.871,6.039,0.02,0.26,4.59,0.5,0.905,0,2.58,9,0.67,1.66,1.7,0.1,42.36,0.9,0.214,0,20.4,0,2.03,13.9,0.98,9.777,0,0,0,0,5,1186.8,128.33,0,5.49,9.32,0.423,0,0,0,0.59,0,0,0.226,0,1.41,91.22,26.1,0,11.14,8.61,5.39
"Turkey",61.88,11.19,0,0,0,0.01,0,0.007,0.1,0.005,0,0,0,0.138,0.158,0.01,0.05,0,0,0,7.94,0,0.004,0.34,0.41,0.571,124.21,1.22,16.41,8.6991,0.4209,35.53,51.89,8.63,16.35,0,0.23,1.99,6.82,1.56,1.38,89.01,0.08,0,2.21,7.24,1.441,1.06,5.88,78.41,2.03,0.92,10.1,15.1,0.028,0,9,0,0.04,0.005,0,0,0,0,0,0.019,0.014,0.289,0.001,0.025,4.3,0,0,0,0,0.02,0.002,0.265,0,0,0,0,0.085,0.0154,0,0.001,0.4,9,9,9,0,0.064,0.86,8.38,5.27,5.9,0.01,2.58,0,23.75,4,5.29,12.85,0.42,10.84,51.84,0.001,0,4.4,0.87,3.44,0,0,0,18.05,0,0.37,0,2.11,11.56,3.36,0,1.72,0.54,0.001,0.27,9,0,0.21,0,0,0,0,0.4,4.83,4.54,0.05,8.43,0.16,0.001
"Iraq",18.1,11.4,16.6,9,10.5,0.007,0,0.001,13.9,9,9,0,0,0,0,0,9,9,9.1,0,93.809,0,9,0,0.49,3.074,16.3,0.5,9.1,10.1108,0.4892,277.4,10.5,27.63,38.26,0,33.1,18.5,16.5,1.44,58.6,226.4,0,9,11.83,27.59,5.243,20.9,4.26,60.8,1.95,5,1.71,0.23,0.019,0,0.2,0.002,5.611,0,0,0.001,0,9,9,0.001,9.003,0,0.005,0,0.3,0,0,9,0,0,0.01,0.986,0.275,0,0,0.254,0.303,0.1736,9,0.446,9,0,10.2,9,0,0.002,0.06,2.4,0.73,0,0,9,23.75,0,0.87,17.87,20.84,0.41,0,1,0.897,0,7.7,9,0.08,0.7,0.4,9.5,28.9,0,9,10.8,0.1,26.6,11.86,0,6.77,12.7,1.3,15,0,0,1.63,0,9,0.001,0,14.96,6.75,7.8,3.9,24.68,0.17,0.084
"Egypt",60.05,1.77,0.53,0.002,0,0.007,0,0.038,0.26,0,0.002,0,0.002,0.001,0,0,0.97,0.156,0,0,1.523,0,0,0,0.01,1.71,3.9,0.21,13.06,2.8234,0.1366,41.57,12.35,13.78,1.91,0,2.4,28.42,2.95,4.82,18.55,15.08,0.01,0.04,1.69,3.42,0.118,6.17,0.97,177.79,4.87,5.91,0.91,2.45,0.016,0,0,1.245,0.448,0.228,0,0,0,0.28,0.064,0.169,1.203,1.083,0.238,0.42,2.77,0,0.052,0,0.17,0.15,0.342,0.254,0.19,0,0,0.383,0.095,0.4233,0,0.23,0,0,0,0,0,0.006,1.03,4.9,0.87,11.91,7.092,0.67,4,0.87,0,4.13,16.14,4.5,0,4.8,3.843,0.42,0.34,0.01,0.18,0.8,0,0.01,0.51,0,0,0.08,0.06,22.75,10.85,0,5.71,2.41,0,8.1,0,0,0.63,0,0,0,0,0.48,1.52,1.12,0.76,80.9,0.11,0
"Syria",21.2,6.16,21.7,0.002,9,0,0,0,9,0,0.006,0,0,0,0.063,0,0,0,0,0,9.58,0,9,0,0.49,9,24.9,0.32,10.68,11.017,0.5331,19.42,8.03,3.27,0.07,0,0.77,1.68,11.24,1.06,11.69,10.35,0.52,0,2.65,29.36,0.145,2.51,6.17,17.52,1.72,5.04,0.28,1.89,0.001,0,0,0,9.011,9,0,0,0,9,0,0,9,0,9,0.006,0,0,0,0,9,0,0.076,0.301,0.133,0,9,0.001,0.023,0,0,0,9,0,0,0,0,0,0.28,0.06,0.11,2.62,0.7,1.66,5.29,17.87,4.13,0,9.08,6.46,9,22.47,0.001,0.08,4.08,0.08,0.56,0.1,0,9,0.1,0,0,0,0,27.43,4.1,0,0.01,1.33,9,5.47,0,0,0,0,9.008,0.134,0,0.04,0.6,0,0,0,0.73,0
"Lebanon",84.48,9.44,5.34,0,0,0.04,0,0.002,0.14,0.151,0,0,0.006,0.003,0.013,0.02,0.02,0,0.26,0.48,3.375,0.05,9.061,0.29,0.04,0.15,51.47,1.18,6.37,5.3225,0.2575,61.24,15.6,12.43,2.8,0,2.01,3.38,7.22,3.88,13.23,66.46,0.02,0,0.87,6.74,2.746,5.4,6.04,12.9,5.54,8.37,0.82,3.48,0.006,0,0,0.148,3.113,0.589,0.04,0.1,0.59,0.1,0,0.999,0.367,0.061,0.224,0.301,5.56,0.957,0.097,0,0.4,0.43,0.002,0.383,0.064,0,9,0.034,0.32,0.0018,0,9.001,1.07,0,0,0,0.24,0.005,0.92,4.2,0.07,32.24,1.108,1.7,12.85,20.84,16.14,9.08,0,8.6,0,125.87,0.317,0,39.69,0,9.39,10.1,0.34,0.51,12.06,0,2.64,9.05,0.56,37.56,3.23,0,0.65,0.49,0.091,3.52,0,0,0.31,0,9,9,0,0.47,1,0.42,0.01,4.63,0.25,0.002
"Jordan",47.29,0.47,0,0,0,0,0,9,0,0.101,0,0,0.002,0,0,0,0,0,1.14,0.01,4.42,0,0,0,1.58,0.395,22.51,0.03,6.64,3.1382,0.1518,6.38,1.84,2.29,0.45,0,2.15,1.58,1.87,1.17,1.81,7.3,0,0,0.03,1,0.304,1.11,5.28,12.13,0.37,2.25,0.14,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.34,0.234,9,0,0.17,0.434,0,0,9,0,0,9,0,0,0,0.06,0,0,0,0.93,0.1,0.42,0.41,4.5,6.46,8.6,0,0,2.64,0.276,0,6.24,0.05,0.61,0.1,0,0,5.59,0,0,0,0,9.97,2.87,0,2.26,0.08,0,0.52,0,0,4.87,0,0,0,0,0.8,0.27,0,0,0,0.21,0
"Israel",136.34,8.81,0,0,0.07,0.096,0.02,0.055,0.28,0.011,0.106,0.14,0.124,0.302,0.057,0.47,1.94,0,0.13,1.11,9.604,0.434,0.01,0.44,12.89,2.917,222.26,3.8,51.93,74.5432,3.6068,33.86,46.91,4,3.62,0,0.03,0,0.92,2.62,0.57,104.49,1.53,0,11.35,8.18,5.274,1.61,15.82,0.01,10.12,19.1,1.21,1.99,0.051,0,9,0.016,0.15,0.045,0,0.055,0.85,0.05,0.04,3.095,0.118,1.376,0.037,0.005,7.08,1.985,5.594,0.01,0.64,1.34,2.229,2.286,1.06,0,0.01,9,1.127,3.7818,0,0.019,2.77,0,0,0,0.05,0.345,9,0,0,0,0,42.36,10.84,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0.07,0,3.8,0,3.68,12.31,0.63,0,0,0,0.006,0.02,0,0,1.75,0.01,0.009,0.168,0,5.62,6.27,0.21,0.13,2.08,0.11,0.106
"Saudi Arabia",14.3,58.8,1.3,9,0,0.003,86.82,0.1,0.1,0.094,0,0,0,0,3.847,0,0,0,0.2,0.01,241.392,0,0,34.89,1.75,0.034,376.5,9.48,574.5,247.7144,11.9856,516.6,11,335.84,29.16,0,1.3,2.2,7.8,0.6,9.9,533.8,0.2,0,3.3,37.16,7.113,0.2,4.5,3.8,5.12,1.2,17.8,61.94,0,0,0.1,0.026,0.001,0.001,0,0.076,0.1,0,0,9.445,0,0,0,0.002,0.1,0,0.001,0,0.1,5.7,0,8.913,4.691,0,0,32.11,7.331,0.6085,0,0.223,41.2,0,0.4,0.5,1.4,0,0.1,0,10.03,0.1,7.533,0.9,51.84,1,4.8,22.47,125.87,2.64,0,0,3.188,1.4,30,101.3,1.91,17.8,1.5,0.1,0.5,0.1,40.9,0.5,85.9,752.6,30.5,0,14.09,0.07,0,9.6,9,0,42.32,0.4,0,0.159,0,26.02,79.21,67.7,0.1,5.65,6.34,2.033
"Yemen Arab Republic",1.055,0,9.072,9,0,0,9,0,9.1,0,9,9,9,9,0,9,9,0,0,0,0,9,0,9,0,9,3.986,0.214,2.094,0.5055,0.0245,6.116,0.035,0.086,0.01,0,0.22,9.185,0.016,9.001,1.308,1.442,0.14,9,0.023,0.17,0,9,0,2.769,0,0.061,0.16,0.008,0,0,9,9,9,9,0,0,9,9,0,9,9,9,0.118,0,9,9,9,0,9,0,9.009,0.314,9.028,0,0,0.002,0.504,0.0018,9,9,9,0,0,9,9,0,9,0,0,0,0.73,0.214,0.001,0.897,3.843,0.001,0.317,0.276,0,3.188,0,7.79,0.004,0.026,0.01,0.071,0,9,1.534,0,0.004,9,0.044,6.696,1.23,0,0.939,0.003,0,1.835,0,0,0.283,9,9,0,0,0.005,2.021,0,0,8.861,1.16,0.108
