"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"South Africa",84.17,9.66,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0.01,0,1.52,0,143.41,9.12,3.58,5.5,0,14.05,2.26,0,0,8.5,0.75,1.91,0,3.37,1.43,0,0.18,0.04,0,0,0,0.0436,0.09,0.12,0,8.54,2.01,0.16,0,0,0,0,0,0.02,0,0,0,1.11,0,6.84,0,1.17,0.82,0.4
"Iran",1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.79,0,1.07,0.6,0,2.54,0,0,0,1.51,0.07,0.8,0,0.93,6.25,0,0.0043,0.0026,0,0,2.52,0,0,0,0,0.39,3.3587,0,0,0,0,0.03,0.0711,10.01,0,0,0.03,0.13,0,1.51,0,0,4.614,0
"Turkey",1.52,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,1.19,0,0.19,2.9,0,4.19,1.09,0.148,0,1.11,1.69,0.79,0.33,2.44,0.32,0,0.18,1.97,0.06,0.54,0.01,0,0,0,0.24,0.19,0.38,0,0,0,0.03,0,0.0006,0.69,0,0,0,0,0,0.13,0,0,0,0
"Iraq",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0.2,0.0022,0,47.1494,0,0,0,1.0657,0,0.0223,0,0.003,0.0055,0,0,0,0,0,9.0015,0,0,0,0,9.0014,0.0013,0,0,0,0.0711,0.0006,0,0.6265,0.0031,0,0,0.0002,0,2.55,0,0,0.0007,0
"Egypt",3.12,0.42,0.0926,0,0,0.13,0.0003,0,0,9,0.0001,0,0.0031,0.01,0,0.0014,0.8574,0,0,6.71,0.23,0.0076,21.71,0.2,1.24,7.35,0,16.63,4.29,0.16,0.81,1.61,1.7,3.28,2.04,3.7,4.15,0.0051,0.62,4.17,0.95,1.67,2.32,0.56,0.04,0.01,2.05,1.04,1.42,0.36,0,0.02,10.01,0.69,0.6265,0,0.57,0,0,0.33,0,13.49,0,0.0034,0.22,0.05
"Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.0048,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0.57,0,0,0,0,0,0,0,0,0,0
"Yemen Arab Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084,0,0,0.0073,0,0,0,0.09,0.0098,0,0,9.31,0,0,0,9,0,0,0,0,0,0,0,0,0.0017,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",48.22,0.54,0.0813,9.02,9.02,0.09,0,0,9.0004,0,0,9.88,0,0,9.01,0,9.12,0,9,9.0078,0.03,0.02,1.36,0,4.41,6.06,0,10.86,1.72,0,0,5.59,0.21,1.46,0.47,1.24,0.05,9,0.01,0.0099,0,0,7.82,0.01,0.07,0,0.09,2.75,1,0.89,0,1.11,0.13,0,0.0002,0.33,0,0,0,0,0,4.12,0,1.34,0.12,0.24
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",161.67,24.33,0.56,0.2,1.24,0.11,0.01,0.8689,0.0077,0.04,0.95,3.07,0,0.06,0.09,0,12.81,1.0585,1.12,0.8,4.23,3.22,28.36,2.54,3.06,7.01,0,7.72,1.26,0.7,0.02,40.22,1.13,6.32,0.3,0.88,0.42,0,0.0985,0.12,0.02,0.1969,6.69,0,0.0442,9.03,0.96,8.69,2.86,0.32,0,6.84,1.51,0.13,2.55,13.49,0,0,0,4.12,0,0,0,6.04,16.35,5.92
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",2,0.0255,4.28,0,9.08,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,4.93,0,0.37,0.06,0,0.15,0.97,0,0,1.91,0.0053,0,0,0.22,0.02,0,0.0001,0,0,0,0,0,0,0,0,0,0.05,0.34,0,1.17,0,0,0,0.0034,0,0,0,1.34,0,6.04,0,0,0.49,0
"Australia",43.13,27.37,0,0.0897,0.04,1.25,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0,0.24,0,92.11,0.0402,1.2,27.58,0,54.43,1.76,0,0,11.32,7.1,5.86,0.15,2.74,20.91,0.0001,0.24,4.39,0,0,5.87,0.04,0.19,0.07,0.17,6.11,1.3,0.02,0,0.82,4.614,0,0.0007,0.22,0,0,0,0.12,0,16.35,0,0.49,0,72.11
"New Zealand",8.53,10.37,0.42,0,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,103.69,0,0.63,0.61,0,6.9726,0.7061,0,0,0.18,1.59,0.23,0,0.39,0.65,0,0.0935,0.1,0,0,9.16,0.0275,0.02,0.02,0,1.09,0.15,0.02,0,0.4,0,0,0,0.05,0,0,0,0.24,0,5.92,0,0,72.11,0
