"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"North Korea",9,0.3,0,0,0,0.26,0,9.07,9,0,9,9,0,0,0,0,0.109,0,0.31,0,0.122,0,9,1.02,1.09,0,9,4.3,6.57,0,1.2,0.3,8.1,2.4906,0.1094,5.2,13.1,3.15,0,0,0,0,1.2,0.72,0,11.6,9.01,0,6.43,0.04,0,0,7.17,0,0.25,1.1,0.13,0.6,0.005,0,0,9,0,0,0.759,0,9,0,9,0,0,0,10.916,0,0.006,0,0.021,0,0.247,0,0,0.011,0,0,9.109,0.172,0.027,0.307,9.279,0,3.155,0,0,9.07,0,9,0,0,0,0,0,0,0,9,9,0,0.01,0,0,10,0,10.4,2.86,0,0,0,0,304,9,0,0,9.56,9,0,9,0,7.1,0,0,0,0,76.7,6.4,0,0.17,6.38,0.034,1.067,0,0,2.65,0,0,0,0.83,28.02,2.32,46.1,9.28,9,9,0,0.028,0
"South Korea",1043.5,146.1,0.7,0,0.823,2.19,1.32,0.63,0.273,0,0.066,16.5,1.188,2.055,6.504,1.218,2.917,18.278,0.65,11.9,0.146,0.913,6.5,17.54,24.835,1.9,0.389,21.4,17.4,0.192,197.2,14.85,185.9,23.5648,1.0353,230.1,36.9,26.76,0.33,0,0,27.83,5.8,0.1,1,61.7,0.25,0,0.04,6.21,3.127,0.8,6.6,5.3,75.93,46,10.69,44.62,2.438,0,9,0,0,0.1,0,1.9,0.4,3.8,13.899,1.8,0.1,0.736,41.1,3.1,2.119,0.9,1.286,45.5,3.01,0.093,0.1,0.112,0.7,3.029,2.718,0.262,0,0.01,0.207,2,8.949,0,1.6,0.0991,0,0.3,10.7,0,0,5.2,0.1,0,4.34,0.1,1.39,0,5.09,25.9,30.2,92.5,33,0.8,26.23,6,5.6,15.2,1.54,955.7,18.815,0.9,612.2,34.9,4.57,70.1,7.85,5.4,0,0,140,0,0,3352.5,7.7,0,47.81,16.9,8.473,6.224,0.3,10.4,36.61,0,0.2,0.5,170.29,86.49,8.65,309.7,303.31,2.7,57.97,0.2,1.91,0.5
"Japan",11541.8,1020.6,16.93,106.5,19.066,64.29,19.516,104.07,10.635,0,1.439,250.9,49.302,46.53,57.257,21.02,145.552,43.519,186.17,1067.9,12.612,4.614,217.02,198.6,679.4,89.871,7.588,143.8,198.13,0.064,1074.8001,149.07,877.2,462.5779,20.3221,884.8,308.9,268.31,135.85,0,38.4,294.34,216.8,67.85,19.1,16.6,17.12,2,94.23,982.9,29.736,37.5,227.94,1075.9,126.56,415.1,476.61,110.53,6.959,0,1.5,0.291,0,1.603,0.789,2.626,8.412,12.9,7.941,112.1,0.4,2.644,154.11,22.7,59.124,10.61,30.183,1364.5,16.763,0.967,11,1.979,75.6,19.463,159.221,113.354,6.996,14.083,3.917,15.6,58.371,30.3,12.3,141.5591,0,32.078,71.2,0,0.1,21.4,3.053,0.1,27.675,3.4,18.83,741.52,19.3,326.2,7.393,2499.1001,66.46,98.2,254.73,117.4,62,89.45,50.92,5365.2,123.744,46.5,1604.1,167.25,329.19,1653.3,761.87,100.501,1060.3,0,1851.2999,76.7,3352.5,0,195.97,0,160.31,160.17,132.437,19.293,1.1,26.1,796.0301,0.6,0.5,166.9,539.38,1630.95,347.32,3267.1,2358.2202,108.1,185.14,6.3,54.147,9.244
"India",151.17,187.58,0.06,0.1,0.116,0.55,0.306,2.95,0.257,0,0.065,13.81,0.142,0.013,1.16,0.645,0.073,0.47,0.04,14.79,1.337,0.42,0.37,2.6,75.094,0.27,0.01,0.55,21.23,0.734,18.85,21.02,19.31,82.5245,3.6255,51.8,0.68,5.57,9.06,0,2.44,9.36,5.09,3.81,7.84,45.52,0.8,9,61.85,7.88,3.515,1.51,3.93,92.05,8.54,34.46,10.16,23.71,3.561,0,9,0.09,0.02,0.404,0.036,1.84,30.082,1.43,0.03,0.93,0.3,0.279,1.665,2.72,1.508,0.612,1.596,66.08,0.03,0.011,0,1.339,17.24,8.079,36.15,17.064,0.078,0.7,4.531,0,8.441,0.11,0,44.1464,0,4.956,0,0.05,0.39,3.09,0.058,0.3,20.827,0.11,17,2.41,3.11,43.6,16.822,465.74,8.83,585.9,89.17,13.7,8.8,5.76,22.21,9.46,40.881,3.6,33.47,13.08,12.72,49.29,41.06,9.975,22.3,9,7.75,6.4,7.7,195.97,0,0,8.9,40.17,13.14,79.105,1.23,54.9,14.33,0,9.13,57.5,215.04,16.96,9.81,87.83,31.67,0.36,14.01,0.01,5.45,0.111
"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",401.74,67.05,2.01,0,0.088,0.01,0.115,0.06,0.007,0,9,3.89,0.077,0.04,0.034,0.001,0.017,1.613,0.05,0.5,0.018,0.01,0.02,0.01,49.582,0.01,0,0.03,0.27,0.271,109.09,2.6,114.38,12.6828,0.5572,64.38,9.82,8.93,0.25,0,2.04,14.55,0.63,1.18,3.68,47.97,1.09,0.04,14.31,3.17,0.787,0.81,4.77,27.78,0.06,16.52,12.06,5.94,0.053,0,0,0,9,0.007,2.947,21.053,0.015,0.09,1.748,3.88,0,10.507,4.59,0.22,2.522,0.125,4.53,3.9,0.119,0.008,9,0.043,0.09,0.193,26.838,1.756,0.246,0.285,3.642,3.16,0.18,0,0,0.4536,0,0.135,0,10.11,0.62,0.05,9.46,0,2.225,0.71,0.04,1.55,0.01,9.77,15.72,9.61,5.48,11.85,2.85,4.2,0.84,4.16,0.53,206.57,2.374,2.36,161.21,7.44,29.21,78.97,2.68,16.641,40.36,0.02,0.49,0.17,47.81,160.31,8.9,0,0,31.93,8.048,33.569,1.94,0.84,0.65,0.02,0.22,1.42,63.52,29.73,3.34,5.01,48.82,0,3.91,0,0.344,0.431
"Bangladesh",96.81,80.97,0,9,0,0.62,0.088,0,0,0,9,1.13,0,0,9,9,9,0,0.2,0,1.329,0,9,0.03,1.99,0.01,0.1,2.62,4.7,1.03,7.97,0.31,40.79,5.7762,0.2538,1.67,12.82,2.36,3.2,0,4.24,13.78,0.44,2.84,10.06,22.8,0,0.03,10.6,2.14,0.435,6.36,4.49,4.24,0.3,13.27,6.3,15.92,0.083,0,0,0,0,0.01,0.579,0.04,0,0.02,0,0.44,0.06,9,10.53,9.47,1.89,0.19,1.28,8.1,0,1.04,9.04,0.1,9.09,7.15,2.584,4.071,0.086,0.054,0,9,9.03,9.01,26.59,0.4982,0,0.13,9,9,9,0.79,0.08,9,0.002,0.11,1.92,0.11,0.3,0,3.98,44.1,7.49,6,18.06,10.51,10.06,0.29,0,16.47,0.33,0.2,11.42,0,0.43,60.2,0,1.15,20.12,9,4.64,6.38,16.9,160.17,40.17,0,31.93,0,1.628,2.986,0,0.29,15.76,0,0.01,0,12.73,33.72,3.9,0.54,3.8,0.08,1.9,9,0.005,0
"Myanmar",39.337,3.267,0,9,0,0,0,0,0.009,0,0,0,9,0,0,0,0.025,0,0,7.269,0,0.004,0,0.012,0.025,0,9,0,0,9,33.639,0.02,6.351,3.5634,0.1566,2.656,0.996,1.477,0.008,0,0.01,0.188,1.169,0.142,3.812,3.063,0,0,12.206,0.13,0.222,0.076,0.14,1.024,0.162,2.811,1.86,2.737,1.293,0,0,0,0,0,9,0,9,0,0,0,0,9,0,0,0,9,0.017,0.08,0,0,0,9,9,0,0.021,0.132,0.182,0,0,0,0,0,0,0.117,0,0,0,0,0,0,6.394,10,4.507,0,3.154,0,0,0,0,0.001,0.012,0,0.445,9,0.193,0,0.017,0.7,0.01,9,4.1,0.93,9,0.181,0.07,0,15.999,9,0.004,0.034,8.473,132.437,13.14,0,8.048,1.628,0,31.852,0,0,2.351,9,9,0,13.291,9.668,0.109,50.828,4.229,0,1.118,0,0.085,0
"Sri Lanka",9.194,1.06,0.001,0.015,0,0,0.125,0.05,0.348,0,0,5.631,0.201,0.035,0.204,0.121,0.029,0.053,0.224,0.009,0.035,0,0.397,0.817,2.906,0.791,0,2.871,7.84,0.251,14.648,3.166,9.066,10.7191,0.4709,19.553,0.953,5.892,1.724,0,0.38,9.865,1.621,0.382,0.934,2.367,0.14,0,2.084,1.819,0.34,0.137,3.134,2.598,0.027,9.21,0.263,0.459,0.029,0,0,0,0,0,0.011,0,0,0,0,0.002,0,0,0.008,0.09,0.031,0,0.005,0.391,0,0,0.003,0.001,0,0.009,0.385,0.593,0.262,0.039,0.78,0.037,0.258,0,0.077,0.0125,0.001,0.018,6.471,0,0,0,0,0,0.231,0.002,0.81,0.027,4.467,22.5,1.008,35.993,2.414,19.386,39.795,38.33,1.708,7.433,0.07,51.356,6.668,9.288,16.592,3.14,0.08,3.954,0.288,3.078,31.506,0,0.144,1.067,6.224,19.293,79.105,0,33.569,2.986,31.852,0,0.482,0,5.213,0,0,0,3.707,10.521,1.167,0.282,29.239,0.009,0.185,0,1.775,0
"Maldives",0,0,0,0,0,0,0,0,9.002,0,0,0,0,0,0.018,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,9.0958,9.0042,0,9,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0,9,0,9,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,9.003,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.243,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0.3,1.1,1.23,0,1.94,0,0,0.482,0,0,0.62,0,0,0,0.08,0,0,0,0.21,0,0,0,0,0
"Nepal",5.1,0,0,0,0,0,9.006,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0.5,9,0.1,1.1495,0.0505,1.6,0.7,0,9,0,0,0,0,0,0,9.9,0,0,0.17,0,9,0,0,0,9,10,9.04,0.69,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.339,0,9,0,9,0,0,9,0,0,0,0,0,0,9,0,5.679,9,0.59,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9.01,0,0,9,0,0,0,0,0,10.4,26.1,54.9,0,0.84,0.29,0,0,0,0,1.27,0,0,0,0.06,0.48,0.15,0,0.34,9,0.44,0,9,0
"Thailand",257.27,51.52,0.05,0,0,0.03,0.008,0.03,0.021,0,0.011,2.87,3.941,0,0.454,4.639,0.032,0.764,0.17,1.8,0.436,0.006,0.01,0.08,25.488,1.51,0.16,2.29,2.47,0.02,133.48,8.86,255.87,70.9241,3.1159,86.09,35.73,22.38,1.85,0,1.44,10.02,1.28,2.63,9.11,22.71,0.01,0,2.35,1.56,0.558,2.92,9.69,1.33,13.77,44.46,10.62,25.96,0.158,0,0,1.03,0,0,3.874,10.495,0.33,6.03,3.48,0.64,0,0,1.04,0.01,0.283,0.01,0.887,178.73,0.03,0,0.2,0.777,0.05,0.023,2.401,0.218,0,0.331,3.52,0.44,2.692,3.49,1.6,0.1091,0.2,0,23.39,0,0.1,0.74,0.26,0,1.495,0.6,0.4,0.33,2.39,0.3,7.26,12.85,1.56,20.6,2.16,3.33,1.21,2.19,1.69,236.86,0.326,19.03,63.9,8.44,234.78,35.42,6.84,1.93,10.31,9,127.94,2.65,36.61,796.0301,14.33,0,0.65,15.76,2.351,5.213,0.62,1.27,0,0,14.95,11.28,182.78,142.23,13.64,75.99,80.2,0.4,14.99,0,1.968,0
"Cambodia",0.2,9,0,0,0,0,0.022,0,0,0,0,9,0,0,0.003,0,9,9,0,9,0,0,0,9,9,0,0,0,0,0,0.1,0,0,0,0,1.3,0,0,9,0,0,0,0,0,0,0.1,0.01,0,2.82,0.14,9,0,0,0,0,9.2,0,0.2,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,0,0,9,0,0,9,0,0,9,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0.01,0,0,0,1.02,0.6,9,0,0,9,9,0,9,0,0,0,0,0,0,0.6,0,0,0.02,0,9,0,0,0,0,0,0,0,0,1.4,0,0,0.11,0,0.01,0,0.001,0
"Laos",0.2,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,9,0,0,9,9,0,9,0,2.9,9,10.5,3.3527,0.1473,3.6,0.8,9.03,9,0,0,0,9,0,0,1.4,0,0,0,9.12,9,0,0,0,9,13.3,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,0.01,0.1,9,0,0,9.03,0,0,0,0,0,0,0,0,0.2,0.5,9.13,0,0.22,0.01,9,0,0,0,14.95,0,0,0,0.55,6.63,0.04,9,0.05,9,9,0,0,0
"Vietnam",1.6,20.2,0,0,9,9,0,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,9,17.51,9,4.1,0.24,14.8,25.0016,1.0984,95.4,3.9,0.37,0,0,0,24.81,0.5,13.64,0,74.4,9,0,4.91,0.05,0,0,48.54,0,0.83,59.1,5.56,23.09,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0.001,0,0,0,9,0.077,0,0.009,0,9,0,0,0.0045,0,9,0,0,0,0,0,0,0,0,0.12,0,0.15,0,0,9,0,0,0.01,0,0,0,0,4.9,0,0,9,9,9,0,9,0,24.4,0,0,0,0.5,166.9,57.5,0,1.42,0,0,0,0,0,11.28,0,0,0,0.24,26.51,0.18,0.4,7.93,9,0.2,0,0,0
"Malaysia",771.76,0.18,0.05,0.5,9,0.09,0.458,0.67,3.12,0,9.104,0.78,0,0.056,0.046,0.028,0.004,0.214,1.07,2.52,0.31,0.426,1.49,0.22,33.671,1.01,0.17,4.82,4.89,2.02,49.13,7.83,156.72,55.3484,2.4316,184.09,16.53,86.95,10.02,0,11.06,31.69,28.26,20.4,19.94,115.85,0.02,0,12.58,9.57,1.194,23.06,10.15,132.18,2.93,21.63,6.24,13.8,0.221,0,0,0,0,9,0,0,0,0,0.18,0.59,0,0,0.39,0.04,1.1,0,0.403,5.16,0,0.05,0,0.054,2.46,0.687,4.945,5.4,0.003,2.516,0,0,0.219,0.04,2.4,1.9582,0,0.57,0.3,0,0,0.08,2.442,9,6.956,0.4,7.36,1,1,0.4,1.51,66.29,11.59,28.48,1.15,1.7,0.24,0.82,0,207.47,1.141,1.33,87.9,4.6,4.54,24.6,8.19,2.98,109.88,0,23.39,0.83,170.29,539.38,215.04,0,63.52,12.73,13.291,3.707,0.08,0.06,182.78,0,0.55,0.24,0,1167.21,13.82,25.03,218.81,2.03,28.03,0.1,6.548,0.09
"Singapore",545.51,33.56,0,2.55,0.448,0.11,0.505,1.27,0,0,0,21.78,0.212,0,0.528,0.156,0.023,1.517,6.43,4.35,0.252,0,0.53,6.6,15.987,0,0.25,6.35,5.32,0.393,265.02,1.78,8.36,13.6407,0.5993,73.61,94.47,2.37,0.42,0,10.31,23.12,9.43,1.57,0.11,65.39,1.57,9.01,0.16,2.27,1.598,1.29,12.63,90.83,6.9,31.42,26.54,17.29,0.268,0,0,9,0,9,9.038,0,9,0,0,0.67,9,0,92.89,0,2.99,0,0,35.52,0.897,0,0,0.023,0,0.283,37.771,4.132,0.023,0,6.226,0,3.415,0,26.51,1.1909,0,1.741,0,0,0,0,8.08,0,9.015,3.5,4.91,6.91,0.47,2.29,4.06,336.35,7.78,327.26,26.01,3.59,2.77,2.66,8.09,1531.05,50.342,11.35,128.92,84.83,48.19,84.23,20.08,2.38,295.8,0,169.48,28.02,86.49,1630.95,16.96,0,29.73,33.72,9.668,10.521,0,0.48,142.23,1.4,6.63,26.51,1167.21,0,11.99,798.2,38.51,57.17,5.51,0.333,19.533,3.237
"Philippines",261.79,0.59,1.58,0,0.006,1.44,0.066,0.33,0.052,0,9.03,2.01,0.686,0.04,0.176,1.454,0.212,1.011,0.18,2.1,0.007,0.109,0.01,3.2,69.497,0,0,3.06,3.53,0.646,62.38,0.26,36.86,2.9312,0.1288,15.85,29.15,17.82,6.4,0,6.56,3.49,10.36,0.75,0.24,1.56,0.14,1.18,0.83,3.22,0.348,9.32,17,34.19,0.3,0.8,8.24,13.1,0.187,0,0,0,0,0.02,0,0.13,0.03,0,0,1.76,0,0,7.3,0.21,0.4,0.03,0.352,0.1,0.06,0.2,0,0.033,1.4,0,0.66,0.22,0,0,0.015,0,0,0,1.2,0.0018,0,0,0.11,0,9,2.04,0.06,0,0.118,0.07,0.42,1.26,0.76,0.7,0.16,79.87,4.17,147.6,2.06,0.45,0.79,0.01,2.08,260.75,0.01,0.05,169.33,51.07,0.02,0.09,0.04,0.01,60.65,0,97.69,2.32,8.65,347.32,9.81,0,3.34,3.9,0.109,1.167,0,0.15,13.64,0,0.04,0.18,13.82,11.99,0,77.2,113.59,2.99,42.22,0,0.978,0
"Indonesia",3067.1999,53.4,142.84,22.8,0,0,0.869,275.82,0.04,0,9,2,0.357,0,0.377,0.778,0.024,0.179,0,4.8,0.072,0.118,0.81,0,39.3,0,0.9,0.2,6.77,0.01,143.6,0.75,40.7,5.1728,0.2273,17.2,15.4,44.89,27.8,0,4.3,20.7,0.6,6.2,8.9,157.3,3.73,0,41.29,6.85,0,1.4,9,36.9,13.76,17.8,5.78,12.5,0.114,0,9,0,0,9,0.2,0.3,9,0,0,0,0,0,0,0,1.78,0,1.702,0.5,0,2.7,0,0.008,0,0.016,2.753,3.198,9,9,0.026,9,0.1,0,5.4,3.2782,0,0,0.3,0,0,0,48.092,0,0.57,9,7.19,1.2,0.27,0.2,0.9,0.7,4.78,12.5,8.09,0.5,1.3,2.3,0.4,225.6,0.259,0,35.2,0.43,0,5.7,0.18,0.1,121.6,0,74.1,46.1,309.7,3267.1,87.83,0,5.01,0.54,50.828,0.282,0,0,75.99,0,9,0.4,25.03,798.2,77.2,0,85.11,0.1,20.22,0,0.034,9
"Australia",1607.2399,34.47,2.38,1.98,0.079,0.15,5.206,16.02,5.185,0.183,0.179,14.5,3.77,0.308,3.288,1.579,0.047,1.332,0.3,46.07,0.267,0.123,5.85,6.27,59.185,0.17,0.26,1.69,19.92,2.749,1078.8699,30.74,88.17,19.781,0.869,198.62,162.97,24.42,1.08,0,4.42,100.29,9.18,26.79,12.57,57.38,7.96,0,86.54,12.01,0.137,3.36,48,292.84,73.05,185.07,23.19,37.34,19.016,0,0,0,0,0,0.01,0.763,0.02,0.04,0.442,2.9,0,0.248,0.7,0.03,17.847,0.002,0.092,17.88,0.07,0,0.23,0.002,1.34,11.89,16.85,2.8,0.242,0.021,0.156,0.02,0.406,0.13,5.94,8.9309,0,4.695,8.25,0.02,0.01,0.52,0.37,0.4,26.781,2.3,1.63,5.84,0.79,18.2,2.84,76.84,5.7,101.23,137.18,0.52,0.52,1.74,16.36,303.04,41.049,19.92,93.11,54.21,7.05,12.15,18.09,0.19,561.65,0.02,99.74,9.28,303.31,2358.2202,31.67,0,48.82,3.8,4.229,29.239,0.21,0.34,80.2,0.11,0.05,7.93,218.81,38.51,113.59,85.11,0,208.88,242.62,12.48,94.012,7.658
"Papua New Guinea",41.7,3.1,9,0,0,0,0.01,0,0,0,0,0.686,9,9,0,0,0,0,0.04,0,0,0,0,0.04,1.33,9,0,0,0.02,9,27.4,1.92,7.3,11.1118,0.4882,6.6,0.2,47.29,0.01,0,9,0,1.1,9,9,1.1,0,9,0.39,0,0,9,0,9,0.25,0.2,0.05,0.38,0,0,0,9,0,9,0,9,0,9,0,0,9,0,0,0,0,9,0,0,9,0,0,9,9,0,0,0,9,9,9,0,0,0,0,0,9,0,9.017,9,9,0,9,0,0,0,0,9,0,0,0,9,0,9,0,9,9,0,0.008,0,9,0,0,9,9,0,0,0,17.768,0,9.629,9,2.7,108.1,0.36,0,0,0.08,0,0.009,0,9,0.4,0,9,9,2.03,57.17,2.99,0.1,208.88,0,16.15,0.974,0.137,0.031
"New Zealand",103.66,9.95,0.51,0,0.059,2.27,3.314,12.73,4.717,0.236,0.426,3.5,0.254,0,2.76,0.049,2.432,2.427,1.17,7.89,0.823,0.08,7.45,12.5,6.67,0,0,0.42,0.96,0.057,281.05,17.28,14.33,54.994,2.416,81,16.62,9.46,2.93,0,4.53,13.6,2.07,0.01,7.56,35.8,3.93,9,6.84,55.74,5.833,1.59,4.14,65.95,0.28,20.7,0.18,0.95,2.404,0,0,0,0,0.02,0,0.03,0,0.05,0,0.2,0,0,0.03,0,12.646,0,0.281,6.4,0,0.14,0,0,0.42,2.124,0.032,1.474,0,0,0,9,0.04,0,2.04,3.6236,0,0.741,3.75,9,9,0.02,0.14,0,10.107,0.2,2.36,0.18,0.74,0.47,0.01,44.32,1.2,0.54,5.32,1.13,0.13,1.7,2.23,66.43,0.35,0.07,20,50.35,0.36,7.6,1.75,0.06,42.93,9.02,9.66,9,57.97,185.14,14.01,0,3.91,1.9,1.118,0.185,0,0.44,14.99,0.01,9,0.2,28.03,5.51,42.22,20.22,242.62,16.15,0,2.09,34.425,12.891
"Solomon Islands",0.812,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3.774,0.8,1.086,0.5747,0.0253,0.255,0,0,0,0,0,0,0,0,0,0.1,0,0,9,0,0,0,0,0,0,0,2.193,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0.2,0,0.2,6.3,0.01,0,0,9,0,0,0,0,0,0,0,0,0.1,0.333,0,0,12.48,0.974,2.09,0,0.613,9
"Fiji",3.387,4.233,0.015,0.013,0,0,0.052,0.002,0,0,0,0.093,0,9,0,0,9,0,9,0,0,0,0,0.512,0.164,0,0,0,0.003,9,59.602,0.017,0.169,0.0671,0.0029,1.899,0.824,0.106,0.026,0,0.026,0.05,0.261,0.154,0.462,1.77,0.001,0,0.003,0.014,0.072,0,0.201,0.213,0.021,1.314,0.082,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.02,0.006,0,0,0,0,0,0,0.007,0.002,0,0.391,0.223,0,0,0,0.025,0,0,0,0.013,0,0,0,0,0.044,0,0.009,0.109,0,9.009,0,0.081,0.8,0.006,0,0,0.003,0,0,0,0,0,0,10.793,0.028,1.91,54.147,5.45,0,0.344,0.005,0.085,1.775,0,9,1.968,0.001,0,0,6.548,19.533,0.978,0.034,94.012,0.137,34.425,0.613,0,1.948
"Samoa",3.97,0.089,2.89,0,0,0,0,0,9,0,0,9,0,0,0,0,9,9,0,9,0,0,9,0,9,0,0,0,0,0,0.496,0.5,0.915,0.0192,0.0008,0.111,0.1,0,0,0,9,9,0,9,9,0,0,0,0,9,0,0,9,0,0,0.131,0.02,0.03,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.584,0,0.404,0,0.5,9.244,0.111,0,0.431,0,0,0,0,0,0,0,0,0,0.09,3.237,0,9,7.658,0.031,12.891,9,1.948,0
