"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"Yugoslavia",545.51001,59.669998,0.059999999,19.82,0,0,0,0,0,0,11.45,0.94999999,2.4000001,2.53,0,0.07,10.91,4.1799998,0,0,0.55000001,44.740002,40.209999,166.06,4.5999999,0.25,4.5300002,11.66,1,352.82001,7.5799999,174.89,116.0691,5.0009112,498.26001,187.91,27.32,2.1300001,0,311.01001,233.53,270.76999,232.03,356.72,1029.38,0.090000004,19.799999,0,81.669998,1.9299999,85.870003,194.32001,1301.01,8.6999998,136.5,40.84,50.990002,3,0,0,0.02,0.25,0,0,0.029999999,0,0,0,23.620001,0.46000001,2,2.6900001,0,20.42,14.17,1.5599999,2.54,3.22,3.6800001,0,0.28,0.28999999,9.7600002,15.03,8.0799999,0,0,0.050000001,0,9.9799995,2.8,0,15.33,0,4.0900002,0,0,7.77,3.6400001,8.9799995,0,0,0,32.799999,1.46,10.86,55.580002,37.869999,41.529999,11.43,472.34,22.629999,1.3,3.22,0.62,19.25,0.1,0,1.3099999,11.95,0.1,0,0,0,0.079999998,41.27,0.25,0,8.4099998,1.3,178.88,90.519997,0,2.04,3.4000001,2.96,5.0100002,0,0.0099999998,1.03,0,0,0,42.790001,1.5,5.2600002,1.5,103.66,0,17.84,0,0
"Greece",350.10001,27.57,0.059999999,0.12,0,0.1,0.02,0.079999998,0.015,0.0060000001,1.21,0.20999999,0.23,0.039999999,0.029999999,0.001,0.14,1.83,1.33,0.2,0,6.71,0.88999999,63.66,0.25999999,4.4099998,0.41999999,40,8.6700001,378,10.86,231,177.3584,7.6416011,415,94.580002,150,9.3999996,0,46.32,39.290001,91,44.240002,37.080002,616,0.68000001,4.5300002,129.88,0,5.1799998,52.630001,53.029999,113.64,36.91,163,121,48,1,0,0,0.032000002,0,0.12,0.68000001,1,0,0,0.30000001,19.290001,0.27000001,0.14,5.1700001,0.102,5.1100001,2.1700001,2.7,2.71,24.52,0,0.25,0.94999999,11.26,0.73000002,3.0999999,0.41999999,0,0.02,0.49000001,0,2.25,0,0.079999998,6.79,0.0099999998,0.38999999,28.709999,0,0,0,1.8,0,0.0020000001,0.2,11.64,0.47,92,52.630001,21.379999,147,1.78,44.77,40,56,0.98000002,0.2,28.85,337,0.039999999,0,51,0,0,0,0,3.49,2.3199999,0.039999999,15.67,0.12,6.4499998,1036,6.54,0,1.92,1.36,0,1.72,0,0,1.61,0.02,0.029999999,0,8.9399996,8.3199997,1.54,6.1799998,33.540001,0,55.970001,0.0099999998,0
"Cyprus",34.918999,2.7980001,0.0060000001,0.106,0,0,0.003,0.0020000001,0,0,2.5350001,0,0.013,0,0,0,0,0,0,0,0,0,0,6.3579998,0,0,1.1,7.0370002,0.078000002,117.944,2.1140001,13.819,11.75359,0.50641102,32.323002,6.4390001,12.73,2.1400001,0,1.624,2.6689999,10.095,1.99,8.658,57.807999,0.25799999,0,3.5840001,51.743999,0,1.852,2.6619999,31.955,1.825,8.967,1.876,4.5619998,0.001,0,0,0,0,0.0020000001,0,0,0,0,0.0060000001,0.63599998,0,0,0,0,0.833,0,0,0.015,0,0,0,0,0.0099999998,0.016000001,0.154,0.017000001,0,0,0,0,0.156,0,0,0.122,0.021,1.0369999,0.046,0,0.19499999,0,0.003,0,0,0,0.23,11.004,0.1,1.767,5.6739998,0.18099999,0.071000002,28.868999,1.5880001,0.12800001,2.3610001,0.0040000002,13.033,1.465,0,0,0.055,0.028999999,0,0.015,0.022,0.001,0.33000001,0,5.1719999,0,1.813,31.302999,3.6930001,0,0.53100002,0.32600001,0,0.208,0,0,0.214,0,0,0,0.82599998,1.007,0.704,0.003,0.30599999,0,5.177,0.0040000002,0
"Bulgaria",23.799999,4.1999998,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,5.9699998,42.279999,0,0,0,9.4099998,0,43.599998,1.05,27.6,28.56908,1.230917,123.4,45.799999,10.92,2.6600001,0,0,275.98999,49.700001,69.099998,0,99.300003,0,0,45.080002,41.709999,0.41499999,0,157.39999,0,7.9000001,24.9,3.6099999,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648,0,0.32600001,0,0,0.092,0,0.435,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,15.45,2.5599999,24.299999,0.048999999,0,14.09,0,14.57,2.1900001,0,0.81,1.65,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0.60000002,51.200001,9.54,0,6.3400002,5.9899998,0,0,0,0,0,0,0,0,12.08,3.3199999,0,0.30000001,3.71,0,1.58,0,0
"Romania",315.92001,10.31,0,13.88,0,0,0,0,0,0,1.39,1.413,0,0,6.2940001,9.3190002,0,7.7199998,0,0,0,0.66000003,20.690001,34.84,0,0,4.23,72.839996,0.99299997,217.96001,2.3199999,113.47,77.385788,3.3342161,262.98001,307.34,28.24,20.41,0,561.13,305.60999,217.83,253.14999,382.89999,184.06,0,16.219999,109.03,52.919998,0.15000001,231.53,0,1472.85,11.18,58.23,6.71,14.72,0.169,0,0,0,0,0,0,0,0,0,0,5.8699999,4.21,0,4.533,0,7.79,0,0,2.1700001,0,2.1600001,0,0,11.11,0,12.183,0.50999999,1.517,0.0040000002,0,0,0.287,0,0,0,0,0,0,0,0,0,0,0,0,0,24.35,9.2299995,4.0300002,103.63,3.74,324.56,21.360001,229.45,19.17,13.5,0,5.75,18.639999,0,0,0,100.57,0,0,0,0,0,300.5,4.7800002,0,8.5200005,0,277.51999,39.68,0,5.27,5.1100001,0,0.090000004,0,0,5.3800001,0,0,5.6399999,17.42,16.870001,7.0999999,1.33,57.189999,0,0.63999999,0,0
"Russia",1658.2,337.5,0,0,0,0,0.033,0,0.052999999,0,3.3,0,0,0,0,2.829,0,0.18000001,0,1.552,2.881,9.3800001,19.799999,288.17001,0,0,0,210.73,14.482,605.5,11.07,203.5,261.43591,11.26413,1496.4,238.39999,101.36,41.75,0,0,3882.8999,279.29999,1770.42,0,1231.1,0,0,1138.42,101.91,10.191,0,1345.4301,0,1484.79,256.5,75.949997,77.870003,36.058998,0,0,0.063000001,0,0,1.003,0,0,0,0,23.940001,0,0,0.035,0,98.538002,4.447,24.167,0,0,0,0,2.1340001,0,0,2.165,4.9910002,0,0.0080000004,2.21,0,0.030999999,0,0,0.58600003,0,0,0,0,0,0,1.747,0,0.56300002,0,50.259998,55.669998,4.1799998,0,22.823,0,80.410004,0,395.51001,106.67,0,0,0.02,0.1,0,0,0,0.14,0,0,0,116.004,0,0,0,0,0.40000001,1951,690.78003,0,30.49,21.940001,0.014,13.647,0,0,4.04,0,0,0,119.48,80.220001,145.35001,32.299999,332.45001,0,135.62,0,0
"Finland",357.56,20.950001,0.23,15.21,0,2.6199999,0.31999999,0.090000004,0.059999999,0,3.71,39.119999,1.84,5.9499998,2.6700001,55.380001,2.45,83.230003,0.11,0.0099999998,1.017,4.7800002,8.1099997,43.869999,0,0.18000001,0.12,13.11,0.44,660.48999,11.94,207.38,132.7408,5.7192221,203.58,153.77,103.4,27.59,0,43.849998,168.31,102.05,28.82,33.52,158.47,0.43000001,0.69,7.6900001,3.4000001,0.76999998,5.2800002,12.65,1492.9399,0,1020.46,277.81,200.14,11.29,0,0.70999998,0,0,0,0,8.3199997,0,0,0.0099999998,1.35,0.56,0,0,0.02,7.6399999,0.25999999,0.17,0.58999997,0.07,0.25,0,0.059999999,1.1900001,0.77999997,25.9,3.9300001,3.3099999,0.050000001,0,0,8.8299999,0,1.2,2.71,0,0.80000001,8.2299995,0,0,0.11,0.12,0,0.059999999,0,4.9899998,2.9400001,0.37,0,3.8699999,116.64,4.6500001,42.349998,4.5300002,0.15000001,0.15000001,0,22.91,212.66,0,0.37,0,0,0,0.02,0,0.68000001,12.01,0,3.49,0.15000001,22.870001,214.41,7.8600001,0,1.12,0.41999999,0.27000001,1.12,0,0,2.8,0,0,0,6.5700002,3.1500001,2.8800001,1.01,11.08,0.46000001,6.2399998,0,0
"Sweden",1438.2,113.9,19.6,5.5999999,0.30199999,14,15.5,0.5,0.001,0.003,14.6,20.5,9.6999998,2.5,2.5999999,33.200001,8.8000002,91.099998,141.2,1.5,0.333,3.5999999,9.1999998,205.2,1.4,0.30000001,15.7,29.799999,0.80000001,2150.3,52.599998,907.5,626.9859,27.01409,780.29999,419.10001,152.60001,153.3,0,140.89999,256.89999,341.20001,60.799999,71.199997,548.5,8,4,62.700001,27.1,4.5999999,6.3000002,120.3,487.10001,1178.7,0,1155.4,1367.6,14,0,0.1,0,0,0,1.2,0.60000002,0,0,0,7,0,0,2.4000001,0.057999998,20.6,0.1,2,141.8,0.89999998,0,0,0.2,2.7,2.4000001,32,12.3,1.9,2,0.001,0,3.9000001,1.1,4.0999999,18,0,0.69999999,28.5,0,0,0.69999999,0.5,0,0.69999999,0,19.6,93.300003,1.7,40,3,200.60001,27.5,0,5,3.5,1.9,0,47.900002,393.29999,0,0,0.1,0.30000001,96.5,193.89999,61.5,3.3,58.299999,0,58.799999,1.4,166,780.09998,39.599998,0,12.3,0.30000001,5.9000001,16.700001,0,0,19.9,0,0,0,40.599998,29.799999,33,17.9,62.5,2.2,12.1,0,0
"Norway",790.53003,190.11,0,0.2,1.45,0.0099999998,67.07,0.95999998,0,0.0099999998,13.71,8.3999996,3.4200001,10.57,3.02,9.0900002,15.77,16.42,16.120001,20.139999,50.09,1.29,0.47999999,126.61,0.28999999,0.74000001,0.98000002,22.200001,1.8200001,1578.35,14.25,419.57001,305.56461,13.16545,622.66998,215.37,62.599998,61.18,0,32.68,188.44,150.16,18.709999,30.51,225.58,1.63,0.0099999998,17.549999,10.92,0.63,2.01,6.4299998,117.13,438.82999,2315.3101,0,736.85999,10.2,0,0,0,0,0.0060000001,0,0.52999997,0,0,0,1.41,0.02,0,4.8000002,0,16.83,0.16,0.20999999,106.4,13.5,0,0,0.039999999,1.11,0.16,1.41,0.60000002,0.11,0.0020000001,0.090000004,0,0.18000001,0.22,0.5,0,0,2.0599999,31.959999,0,0,0.050000001,0.25999999,0,0.07,0,8.9200001,4.2399998,0.98000002,39.040001,1.21,273.54001,8.1000004,0.63,1.26,1,0.58999997,0,23.67,69.559998,0.017999999,0.059999999,0,0,0,0,118.77,0.89999998,11.01,0,10.75,0.38999999,27.99,921.19,19.440001,0,8.2299995,0.25,1.73,0.92000002,0,0,5.8800001,0.0099999998,0,0.079999998,15.03,56.23,11.18,8.6400003,65.029999,0.105,8.5900002,0,0
"Denmark",753.71997,63.52,25.92,4.96,1.78,0.5,0.31999999,0.12,0.17,0.0099999998,7.48,18.32,4.52,4.4499998,6.04,6.5599999,2.6500001,26.33,4.8800001,0.2,0.079999998,1.49,4.5900002,188.87,0.58999997,9.21,5.4499998,93.650002,2.0799999,1455.9399,53.52,728.81,488.63681,21.05323,556.56,230.57001,102.37,58.610001,0,58.049999,156.39999,181.08,31.57,45.419998,407.81,1.59,0.2,19.790001,23.16,3.23,6.0300002,9.8599997,282.39001,413.01001,1735.72,628.07001,0,11.32,0,0.13,0,0,0,2.29,1.95,0.27000001,0,0.11,10.71,0.99000001,1.89,8.7399998,0.079999998,8.4700003,1.72,3.3800001,49.939999,12.14,0.02,0.050000001,2.8900001,9.6400003,0.94999999,12.88,7.1799998,0.41,0.079999998,0.016000001,0,1.54,0.11,4.2600002,2.1700001,0,1.13,27.33,0,0,0.039999999,2.9400001,0,0.55000001,0,14.77,4.3000002,0.81999999,8.8400002,10.08,299.92999,18.4,0.12,3.99,2.76,1.05,0.0099999998,18.360001,100.35,0.25,0.0099999998,37.419998,3.72,0,0.0099999998,11.62,3.51,28.18,0.029999999,18.34,0.19,67.860001,407.39001,47.91,0,15.72,1.8,8.29,3.05,0,0.11,33.66,0,0,0.5,25.74,58.48,15.69,43.57,13.95,1.88,13.81,0.23,0
"Iceland",39.987999,1.752,7.8080001,0,0.56300002,0,0.0070000002,0.0060000001,0,0,0.059,0.021,0.257,0.001,0.0040000002,0.146,0.54900002,0.24600001,1.418,0,0,0.38699999,0.0020000001,8.7040005,0,0,0.029999999,0.045000002,0.001,66.787003,1.314,46.199001,15.3391,0.66089523,18.815001,5.7399998,2.6159999,1.726,0,1.6059999,13.838,3.0190001,0.152,4.2870002,13.709,0.142,0,0.15700001,0.068000004,0.068000004,0.071000002,0.242,54.620998,11.327,42.450001,59.673,61.530998,0,0,0,0,0,0,0,0.003,0,0,0,0.033,0,0,0.0049999999,0,0.061000001,0,0.017000001,0.046,0,0,0,0,0.012,0,0.017999999,0.059,0,0,0,0,0,0,0,0,0,0,1.321,0,0,0,0,0,0.025,0,0.38499999,0.0020000001,1.533,0,0.048999999,0.067000002,0.14,0.032000002,0.0099999998,0.0040000002,0.0049999999,0,0.67500001,0,0,0,0,0,0,0,0,0.033,0.83600003,0,1.319,0.0020000001,2.3180001,19.334999,0.98100001,0,0.090000004,0.045000002,0.086000003,0.061999999,0,0,0.132,0,0,0,0.164,0.206,0.098999999,0.061000001,18.544001,0,2.115,0,0
"Cape Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958694,0.0041306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sao Tome and Principe",0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0.69999999,0.28760821,0.0123918,1,0.1,0.30000001,5.3000002,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054000001,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0
"Guinea-Bissau",0.26899999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,1.054,0.0099999998,1.449,0.28760821,0.0123918,2.132,0.35600001,0.27000001,14.68,0,0.13500001,0,0,0,0,0.072999999,0,0,0.29100001,0,0,0,0,2.7880001,0.0060000001,2.984,0.034000002,0.114,0,0,0,0,0,0.292,0,0.38499999,0,0,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063000001,0.14,0,0,0,0,0,0,0,0.0099999998,0.79699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41499999,0,0,0,0,0.42899999,0.02,0,1.603,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0.02,0,0,0,0
"Equatorial Guinea",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.692,0,0.1,0,0,0.69999999,0,2.5220001,0,0,0,0,0,0,0,1.209,0,0,0,0,0,0,0,0.22,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",3.3310001,0.035999998,0,0,0,0,0,1.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,21.332001,0.0080000004,3.9449999,0.87241161,0.037588399,7.178,0.064000003,3.3,0.043000001,0,0.38600001,0.97399998,0,1.712,0.396,1.474,0,0,0.13,0,0.013,0,0.65600002,0.63499999,0.029999999,0.99000001,0.016000001,0.89099997,0,0,0,0.039999999,0,0,0,1.002,0,0,0,0,0,0,0.113,1.489,0.24699999,0,0.0040000002,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.649,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5439997,0,0.226,0,0.2,3.1010001,0.234,0,0,0.15000001,2.369,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.029999999,0,0
"Mali",2.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,3.3340001,0.02,7.1269999,1.859866,0.080133498,59.563999,0.80000001,1.64,0,0,0,0,0.30000001,0,0,2.4749999,0,0,0.63,0,0,0,0,0,0.16,0.2,0.2,0.63999999,0,0,0,0,0,0,0,13.284,0,0,0.28299999,29.495001,0,0.090000004,0.012,0.001,0.145,1.855,0,0.055,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.112,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,20.267,0,0,0,0,3.7920001,0.039999999,0,0,0.31999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",63.877998,3.3010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4100001,0,0,0,0,7.4289999,0,0,0,16.775,0,17.816999,0.419,15.154,16.269039,0.70096189,305.556,7.323,6.8260002,0.57999998,0,1.681,3.79,3.5,0,0.96499997,37.616001,0.090000004,0,0.050000001,0.44999999,0,0,0.63099998,0.76499999,1.905,6.8870001,1.1,4.7909999,0,0,0,0.926,0,0.248,0.068999998,0,0.26100001,0,0.111,26.593,0,0.024,0.027000001,0.012,3.2820001,0.0080000004,0.34999999,28.233,0.081,0.0020000001,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69199997,0,0.003,0,6.46,30.166,0.167,0,0,0,0,24.875,0.0099999998,0,0,0,0.029999999,0,0,0,0,0,0,4.3270001,0,0,14.922,0,0,0,10.8,4.9660001,0.19,0,8.0600004,0.28999999,0,0,0,0,17.426001,0,0,0,0,0,0.0099999998,0,0.27700001,0,0.23,0,0
"Benin",14.125,0.86900002,0,0,0,0,0,0.61000001,0,0,0,0,0,0,0,0,0,0,0.098999999,0,0,0,0,0.15000001,0,0,0,4.3899999,0,33.52,0.029999999,15.654,2.665169,0.1148305,61.985001,2.165,3.5380001,0,0,1.822,0.61699998,3.099,0.31400001,0.80599999,5.1869998,0,0,0,0,0,0,0,2.1010001,0.02,0.70499998,0.07,3.2349999,0,0,0,0,0,0,0,2.6340001,0,0,0.057,5.52,0,0.029999999,0.023,0,1.827,0.53399998,0.15800001,3.641,0.029999999,0.0080000004,0,0.052999999,0,0,0,0,0,0.090999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36899999,8.4110003,0.018999999,0,0,0.108,0,0,0.018999999,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,5.4689999,0,7.177,0,3.2,13.571,24.794001,0,1.406,0.30000001,0,0,0,0,24.6,0,0,0,0,0,0.02,0,0.109,0,0,0,0
"Mauritania",18,4.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999,0,0,0,0,0,7.5999999,0.0099999998,4.8000002,7.5736828,0.32631701,103.1,2.7,14.18,0.38999999,0,0,0,2.5,0,0,6.9000001,0,0,0.43000001,0,0,0,0,0,0.31,0.30000001,0.02,0.25,0,0,0,0,0,0,0,28.058001,0,0,0,4.02,0,0,0.189,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,8,1.76,0,0.88,0,0,0,0,0,2.9000001,0,0,0,0,0,0,0,0,0,0,0,0
"Niger",4.0619998,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0.0099999998,0,0,0,0.0099999998,0,2.23,0.041999999,7.0749998,3.8635371,0.166463,101.856,0.237,0.456,0.016000001,0,0,0.1,0.228,0.048999999,0.061999999,1.9680001,0.0099999998,0,0.090000004,0.0099999998,0.02,0,0,0.045000002,0.111,0.15899999,0.0040000002,0.294,0,0,0,0,0,0,0.31400001,3.1389999,1.243,0,0,17.98,0,1.992,0,0.046,0.19499999,2.089,0.18700001,10.83,0.116,0.0060000001,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061000001,1.494,0.079999998,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,2.8540001,0,0.054000001,0,0.1,8.4829998,0.1,0,0.19599999,0.68000001,0,0,0,0,0.54000002,0,0,0,0,0,0,0,0.0040000002,0,0.0099999998,0,0
"Ivory Coast",133.13,20.02,0,0,0.001,0,0,0,0,0,0.2,0,0,0,0,0,0,0.17,12.82,0,0,0,0,19.35,0,0,0,4.1900001,0.45500001,52.459999,2.26,73.309998,33.880249,1.459752,688.65002,29.93,36.75,4.6900001,0,0,0,8.8500004,1.02,0,59.18,0.30000001,0,0.27000001,0.28999999,0,0,1.09,8.7399998,1.49,9.96,8.0699997,3.3099999,0,0,0,0,0,0,6.1799998,19.59,0.07,0,0.44999999,0,0,0.66000003,1.722,0,0.62400001,0.1,7.8099999,65.75,0.23,0.090000004,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0.0049999999,0,6.0100002,8.0299997,3.24,0,0,20.860001,0,36.419998,0.090000004,0,0,0,3.4200001,14.1,0,0,0,0,0,0,0,0,0,0,26.639999,0,2.5999999,90.089996,0.5,0,8.0100002,1.88,0,0,0,0,6.8299999,0,0,0,0,1.78,0.12,0,0.36000001,0,0.18000001,0,0
"Guinea",15.5,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28200001,0,0,0,0,0,0,0,0.12,0,0,0,0.029999999,0,9.3999996,0,3.8,6.5191202,0.28088051,55.099998,5.5,8.1199999,0.12,0,0,0,0.1,0.91000003,0,15.1,0,0,0.12,0.0099999998,0,0,0.30000001,0,0,0.1,0.41999999,0.60000002,0,0,0,0,0,0,0,1.429,0,0,0,0,0,0,0.39500001,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6700001,0,0,0,0,0,0,0,0.82999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9.6000004,0.20999999,0,0.090000004,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0
"Burkina Faso",19.636,1.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093999997,0,0,0,0,0.079999998,0,0,0,0.02,0,3.3989999,0.0099999998,7.632,6.8067279,0.2932722,93.328003,0.74900001,0.19400001,0.02,0,0.47999999,0.106,0.244,0,0,4.4860001,0,0,0.050000001,0,0,0,0.090000004,0.033,0.0099999998,0,0.37,1.433,0,0,0,0,0,0,2.194,1.441,0.064999998,0,0.081,27.757,0,0,0.0060000001,0,1.319,1.189,0.064000003,0.21600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80199999,0,0,0,0,0,0,0,0.085000001,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,3.8710001,0,3.0810001,0,0.041000001,5.691,0.02,0,3.4230001,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0.052999999,0,0,0,0
"Liberia",121.862,2.112,0.001,0,0.0020000001,0,0.0070000002,0.082999997,0,0,0.0040000002,0,0,0,0,0,0,0,5.5749998,0.003,0,0,0,1.45,0,0,0,0.391,0,33.273998,0.092,39.911999,6.5958152,0.2841849,16.702999,5.4050002,21.224001,0.057999998,0,0.13600001,4.349,0.33000001,0.428,1.5700001,20.273001,0,0.0020000001,0.89700001,4.8559999,0.003,0.037999999,0.39700001,1.166,0.248,29.735001,10.015,5.2849998,0,0,0,0,0,0.0040000002,0.016000001,3.859,0.0080000004,0,0,3.154,0.48300001,0.001,0,1.553,2.631,0.131,0.0020000001,0.117,0.0040000002,0,0,0.003,0.003,0.001,0.061999999,0.0049999999,0,0,0,0,0.013,0,0,0,0,1.152,0,0,0,0,0,0,0.003,0,0.602,0,0,0,0.0080000004,0.0049999999,0.0020000001,0,0.18000001,0.001,0.34299999,0,0.147,0.001,0,0,0,0,0,0,0,0,15.93,0,2.677,0,78.699997,40.661999,1.133,0,0.26300001,0.13,0,0,0,0,0.029999999,0,0,0,0.052999999,1.242,2.9000001,0.0060000001,0.294,0,0.0080000004,0,0
