"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"Pakistan",306.17,41.19,0,0,0.059,0,0.255,0.1,0.251,9,0.29,0.073,0.648,0,0.005,0.033,0.24,0.08,0.42,0.225,0,0.05,0.38,8.553,0,0.022,0.05,0.24,0.043,98.49,2.77,16.71,6.7626,0.3074,21.93,14.49,27.12,30.41,0,2.12,1.04,2.01,0.39,3.35,10.61,2.42,0,8.1,11.37,8.656,3.2,3.91,23.83,1.23,6.48,0.03,2.92,0.091,0,0,0.598,9.05,0.004,0.201,10.239,0.336,0.25,0.15,0.73,0.35,9.946,0.035,0.231,4.724,0.723,2.412,2.4,0.023,0.004,9,0.009,0.04,0.014,14.11,1.542,0.19,0.02,2.301,0.728,0,0,0.7173,0,0.325,0.02,10.91,0.27,1.27,0.482,1.4,1.911,0.59,0.07,2.34,0.18,8.19,6.633,52.1,2.9,36.46,1.15,2.56,0.57,0.37,0,88.86,1.242,2.61,74.46,10.44,7.71,56.37,6.93,18.947,47.1,0,0,0.85,16,151.05,0.54,0,0,2.91,2.499,10.921,0.55,0.72,5.87,0.01,0.01,0.01,24.45,6.38,0.58,12.17,29.34,0,5.37,0.216,0.035
"Bangladesh",78.02,42.87,0,9,0,0.02,0.029,0.06,0,9,0.5,0,0,9,9,9,0.01,0.01,0,0.104,0,9,0.63,3.634,0.04,0,1.53,5.64,2.28,9.49,0.92,8.21,4.8305,0.2195,1.19,19.99,3.18,2.37,0,0.76,3.75,0.11,0.21,1.41,25.38,0.01,0.03,0.87,0.17,0.226,1.21,6.73,18.89,0.1,19.73,5.3,3.5,0.293,0,0,0,0,0.12,0.13,0.61,0.3,0,0.34,0.41,0.37,9.02,0.05,9.394,3.48,0.24,0.91,5.3,0,1.09,9,0.037,9.16,0.429,0.117,2.984,0,0.436,0.003,9.88,9.23,29.28,1.4682,0,0.01,9,9,9,0.02,0.55,9,0.008,0,0.05,0.14,1.27,0.19,6.805,36.01,6.04,2.92,14.83,6.33,9.02,0,0,3.66,0,0,4.95,2.2,0,17.92,27.64,0.61,2.72,9,0.27,0.21,0.71,50,52.9,0,2.91,0,0.671,1.356,0.06,0.09,6.65,0,0,0,3.96,13.39,2.71,0.22,29.56,0.27,1.79,0,0
"Myanmar",8.314,1.145,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0.01,0,0,0,0,0,0,0,9,0,0,9,3.477,0.02,11.169,6.3705,0.2895,0.189,0.155,0.128,0.055,0,0.059,0.25,0.517,0.001,4.977,0.79,0,0,1.246,0,0,0.001,0.435,0.813,0.169,2.736,1.722,5.575,0.16,0,0,0,0,3.582,9,0,9,0,0,0,0,9,0,0,0,9,0,0.314,0,0,0,9,9,0,0.216,0.168,0.158,0.085,0,0,0,0,0,0,0,0.289,0,0,0,0,9,7.018,0,2.93,0,0,0,3.299,0.3,0.002,6.2,0.18,9,0,0,0.246,0.5,0,9,3.7,0.03,9,1,0.36,0,9.266,9,0.043,0.087,6.68,35.48,6.346,0,2.499,0.671,0,27.157,0.591,0,1.137,9,9,23.095,11.428,7.965,0.001,89.281,3.528,0,0.01,0.219,0
"Sri Lanka",5.211,0.737,0,0,0,0,0.135,0.03,0.177,0,3.9,0.413,0.052,0,0.059,0.024,0.037,0.31,0,0,0,0.39,0,0.425,0,0,1.3,0.08,0.328,31.27,1.755,1.278,5.0409,0.2291,20.44,2.239,4.739,1.33,0,1.243,4.213,2.5,0.162,0.52,13.793,0.13,0,0.896,0.62,0.097,0,1.304,10.944,1.16,4.664,0.75,0.197,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0.001,0,0.158,0.018,0.015,0,0,0.001,0.309,0,0,0.16,0,0,16.069,0,0,0,0,0,0.174,0,0.24,0,8.19,6.2,1.737,45.12,0,24.871,10.047,9.86,0,1.96,0.49,57.1,5.767,0,9.568,2.35,0,1.7,0.02,1.74,50.273,0,0,0,4.258,7.796,21.095,0,10.921,1.356,27.157,0,0.315,0,19.934,0,0,0,0.565,2.569,1.486,0.273,15.34,0,4.239,0.75,0.01
"Maldives",0,0,0,0,0,0,0,0,9.032,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,9.0957,9.0043,0,9.1,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,9,0,9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.004,0,0,0,0,0,0,0,9.001,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.875,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,1.6,0.37,0,0.55,0.06,0.591,0.315,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0
"Nepal",1,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,1.9,9,0,1.5304,0.0696,1.3,0.3,0,9,0,0,0,0.1,0,0,9.4,0,0,0,0,9,0,0,0,9,9.3,9.02,0.21,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,9.0155,0,0,0,0,0,0,9,0,0.002,9,0.25,0,0,0,0,9.1,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.4,5.7,18.24,0,0.72,0.09,0,0,0,0,0.6,0,0,0,0,0.45,0.28,0,0.01,9,0.34,9,0
"Thailand",173.57,34.77,0,0,0,0,0.017,0.03,0.027,0,2.55,1.96,0,0.28,1.649,0.002,3.164,0.26,0.08,0,0.022,0.01,0,7.993,0.99,0.3,1.27,0.04,0,82.52,0.58,160.54,59.5247,2.7053,14.55,17.26,7.66,0.16,0,0.48,1.93,4.7,0.91,4.35,7.89,0.01,0,4.4,0.52,0.003,1.17,1.33,10.34,0.95,5.83,8.21,6.31,0.127,0,0,1.52,0,0.72,0.004,14.18,4.16,3.37,0,1.03,0,0,0.59,0.005,0.794,0.86,0.179,13.24,0.008,0,0,0.22,0.14,0,3.174,0.996,0,0.271,6.421,2.372,0,0.32,1.5045,0,0.01,16.42,0,0,0.32,8.419,0.4,9.716,0.3,22.34,1.36,0.84,0.1,12.321,19.28,10.5,2.8,0.3,5.7,0.18,1.63,4.03,232.43,4.315,0.5,69.62,8.64,203.78,54.4,0.03,0.948,10.3,9,5.43,0.12,4.64,309.89,37.88,0,5.87,6.65,1.137,19.934,0,0.6,0,0.15,16.12,0.77,140.3,119.15,19.84,204.41,43.45,0.21,11.4,1.463,0.019
"Cambodia",1,9,0,0,0,9,0.001,0,0,0,9,0,0,0,0.002,9,9,0,9,0,0,0,9,9,0,0,0,0,0,0.3,0,0,0,0,0.1,0,0.01,9,0,0,0,0,0,0,0,0,0,3.33,0,9,0,0,0,0,9,0,0.03,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,9,0,9,0.004,0,9,0,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0.1,9,0,0,0,9,0,9,0,0,0,0,0,0,0.2,0,0,0.01,0,9,0,0,0,0.15,0,0,0,0.04,0.01,0,0.1,0.2,0,0,0,0
"Laos",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,9,0,0,9,9,0,9,0,0.3,9,9.8,0,0,0.7,0.9,9,9,0,0,0,9,0,0,0.4,0,0,1.33,9,9,0,0,0,9,9.4,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9.001,9,0,9,0,0,0,0,0,9.004,0,0,0,0,9.0073,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,9.5,0,0,0,0,0,0,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,0.1,4.4,9.01,0,0.01,0,9,0,0,0,16.12,0,0,0,2.63,0.73,0.01,9,0.02,9,9.01,0,0
"Vietnam",0,0.2,0,0,9,9,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,9,9.08,9,0.5,0.06,16.3,1.6261,0.0739,26.7,1,0.04,0,0,0,17.63,0.2,15.8,0,2.9,9,0,4.68,0.07,0,0,2.58,0,1.05,29,2.85,3.31,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0.012,0,0,9,0,0.001,0,0,0,9,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0.001,0,0,7.04,0,0,6.412,9.5,0,0,0.05,0,0,0,0,3.9,0,0,9,0,11.18,0,9,0,0,0,0,0,1.6,118.5,0.76,0,0.01,0,23.095,0,0,0,0.77,0,0,0,0.08,9.56,0.13,4.9,35.68,9,0.35,0.014,0
"Malaysia",506.59,11.28,0.02,0.2,9,0,0.623,0.84,0.368,9,2.51,0.061,0.522,0,0.09,0.51,0.053,0.47,1.3,0.208,0.858,3.63,4.03,11.817,0,0,1.85,6.62,2.212,1.32,7.55,150.32,34.4445,1.5655,177.66,9.19,66.05,7.89,0,8.25,42.53,15.85,14.76,1.05,121.84,0.03,0,27.35,6.24,0.202,17.78,12.44,108.98,4.23,13.51,6.14,7.11,0.101,0,0,0,0,9,0,0,0,0,0,0,0,0,0.152,0.129,6.975,0,0.302,2.6,0,0.042,0,1.051,0,0.348,3.199,5.247,0.035,1.104,0,0.421,0,0.29,1.0518,0,0.151,11.02,0,0,0,2.356,9,3.265,0,2.98,4.73,0.18,1.63,1.385,20.24,9.44,13.76,5.15,1.35,0.08,0.02,0.01,81.77,5.007,0.36,160.79,10.37,1.1,25.6,1.84,0.747,89.62,0,20.21,6.1,160.4,551.18,31.31,0,24.45,3.96,11.428,0.565,0,0,140.3,0.04,2.63,0.08,0,965.34,76.69,23.85,131.43,0.36,13.43,7.056,0.023
"Singapore",470.14,43.6,24.06,1.5,0.433,0.6,0.33,1.09,0,0,9.39,0,0,0.416,0.018,0.004,10.994,7.16,3.6,0.632,0,0.34,0.45,19.733,0,0.18,0.96,11.39,0.155,174.42,0.06,26.61,4.7444,0.2156,12.09,57.36,0.39,0.67,0,0.71,19.07,5.67,0.14,4.38,38.71,1.07,9.02,0.19,0.29,0.831,0.57,30.97,44.8,0.52,13.66,16.94,6.77,0.109,0,0,9,0,9,9,0,9,0,0,1.98,9,0,0.646,0.864,1.44,0,0,12.66,0.059,0,0,0.127,0,0.524,26.484,7.225,0.041,0,1.154,3.812,0.05,1.93,1.8455,0,1.082,0,0,0,0,4.63,0,5.082,2.1,1.16,6.47,1.89,1.9,6.023,285.5,7.95,112.04,9,1.59,1.68,1.7,4.68,1356.6199,18.194,3.55,113.45,73.93,5.87,47.93,1.02,3.607,228.01,0,149.85,2.44,64.86,805.82,60.02,0,6.38,13.39,7.965,2.569,0,0.45,119.15,0.01,0.73,9.56,965.34,0,15.35,93.8,4.11,51.41,57.73,16.281,1.451
"Philippines",118.46,14.12,1.11,0,0,1.48,1.182,0.51,0.032,9,1.79,1.479,0.078,0.188,2.691,0.698,0.131,0.21,8.03,0,0.07,3.12,3.63,26.3,0,0.88,7.09,1.54,0.097,58.94,2.66,30.31,9.9479,0.4521,14.4,12.35,7.28,12.58,0,0.12,0.66,4.19,0,3.41,10.29,0.03,0,6.1,0.7,0.054,9.05,15.01,85,1.36,4.82,5.79,2.88,0.024,0,0,0,0,0,0,0,0,0.46,0,0.41,0,0,0.42,0.417,2.17,0,0.04,0.43,0,0,0,0.23,0,0,1.47,0.44,0,0,0,0.02,0,2.29,0.0673,0.02,0,0,0,9,2.27,0,0,0.066,0,0.36,0.85,0,0.3,1.584,10.01,2.65,58.79,1.47,0.33,0.04,0.07,2.06,295.56,0,0,233.16,25.88,0.11,4.6,1.8,0,16.98,0,35.83,4.58,21.58,277.88,24.53,0,0.58,2.71,0.001,1.486,0,0.28,19.84,0,0.01,0.13,76.69,15.35,0,100.13,93.33,0.95,30.6,0.718,0.003
"Indonesia",2300.2,34.2,7.62,0,0,0,0.59,323.3,0.009,9,2.1,0.876,0.005,0,0.137,0.006,0.359,0.2,3.2,0.426,0.109,2.28,0,6.2,0,0.1,0.1,4.3,0.066,135.7,1.72,34.9,41.6089,1.8911,103.7,13.6,39.55,17.72,0,3.4,4.3,2.2,2.2,3.6,49.4,1.96,0,9.05,2.75,0,0.5,6.5,20,1.4,9.2,1.73,25.89,0.029,0,9,0,0,9,0,0,9,0,0,0,0,0,0.002,0.013,0.789,0,0.02,0.1,0,0,0,0.001,0,0.2,0.416,39.453,9,9,0.011,0,0,0,0.8285,0,0,0.3,0,0,0,4.417,0,0.3,9,2.43,0.73,2.62,0,3.8,0.2,2.35,4.5,0.01,0,0,0.4,0,1.2,0,0,7.8,9.35,0,0.2,0,1.8,131.8,0,76.9,2.8,191.1,2610.9998,119.81,0,12.17,0.22,89.281,0.273,0,0,204.41,0.1,9,4.9,23.85,93.8,100.13,0,145.16,1.049,19.08,0.076,9
"Australia",1156.3,36.44,0.32,0.56,0.051,0.88,4.838,6.76,1.726,0.07,9.58,0.927,0.108,1.487,0.285,0.443,1.246,0.19,4.9,0.309,0.044,4.52,19.27,29.939,0.14,0.87,0.03,34.69,1.48,695.1399,15.98,57.62,96.4466,4.3834,266.72,110.5,130.62,1,0,2.98,53.29,10.93,15.55,3.3,106.51,4.61,0,35.66,15.26,0.216,0.21,15.46,478.13,56.24,148.87,50.34,33.16,20.279,0,0,0.01,0,0,0.01,1.04,0.152,0.01,0.003,3.51,0,0.03,0.28,0.13,6.864,0.024,0.024,9.13,0.006,0,0.67,0.094,0.68,7.341,0.441,4.186,0.139,0.02,0.226,3.501,0.62,2.33,9.2345,0,1.565,44.94,0.02,0,0.12,0.15,0.68,16.497,1.95,0.38,8.41,2.45,3.4,1.366,42.82,9.47,50.59,148.87,0.98,0.03,8.33,15.29,305.58,27.172,3.22,163.94,64.47,15.17,49.2,13.95,0.413,154.07,0.02,91.41,26.01,104.63,2789.1699,157.88,0,29.34,29.56,3.528,15.34,0.51,0.01,43.45,0.2,0.02,35.68,131.43,4.11,93.33,145.16,0,148.12,218.37,61.766,5.491
"Papua New Guinea",67,6.209,9,0,0,0,0,0,0.001,0,0,9,9,0,0,0.02,0,0,0,0,0,0,0,0.12,9,0.004,0,0.01,9,14.9,1.32,0.2,3.3478,0.1522,1.9,0.1,38.254,0,0,9.014,0,0.4,9,9,0.7,0,9,0.61,0,0,12.736,0,9,7.82,1.6,0.375,3.49,0,0,9,9,0,9,0,9,0,9,0,0,9,0,0,0,0,9,0,0.001,9,0,0,9,9,0,0,0,9,9,9,0,0,0,0,9,0,9.038,9,9,0,9,0,0,0,0,9,0,0,0,9,0,9,0,9,9,0,0,0.3,9,0,0,0.06,9,0,0.01,0,15.157,0,11.312,9.245,2.4,102.4,0.45,0,0,0.27,0,0,0,9,0.21,0,9,9,0.36,51.41,0.95,1.049,148.12,0,6.12,0.304,0.007
"New Zealand",77.34,7.72,0.59,15.72,0.062,1.31,18.575,13.25,6.637,0.211,6.99,0.203,0.017,2.65,0.188,1.453,1.677,0.22,5.5,0.84,0.026,6.18,21.14,5.919,0,0,0.07,0.24,0.049,41.71,12.72,25.17,33.555,1.525,104.91,17.9,10.16,6.22,0,2.72,25.89,1.22,3.6,0.19,13.81,6.14,9,13.43,50.33,4.589,0.05,2.39,94.38,1.68,25.68,0.16,4.09,0.727,0,0,0.03,0,0,0,0.45,0,0,0,0.21,0,0,0.001,0.153,4.483,0,0.294,4.59,0.01,0.13,0,0.001,0.01,2.38,1.144,1.971,0,0,0,0.12,0,2.54,0.5473,0,1.215,3.78,9,9.2,0.04,0.01,0,4.641,0.07,2.71,3.51,1.86,0.01,0.02,109.72,0.82,7.36,6.64,3.76,0.09,0.29,0.85,44.32,0.633,2.1,43.45,42.52,8.94,3.5,0.31,0.04,8.96,9.01,13.01,9,7.7,55.96,27.44,0,5.37,1.79,0.01,4.239,0,0.34,11.4,0,9.01,0.35,13.43,57.73,30.6,19.08,218.37,6.12,0,21.499,4.699
"Fiji",5.267,0.82,0.055,0.02,0,0,0.092,0,0,0,0.03,0,9,0,0,9,0,9,0,0,0,0,0,0.153,0,0,0,0.009,9,16.913,0.039,1.968,0.3157,0.0143,1.095,0.788,0.025,0.07,0,0.016,0.039,0.304,0.078,0.327,0.55,0.003,0,0.006,0.004,0.002,0,0.008,0.086,0.021,1.034,0.099,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0.007,0.001,0,0,0,0,0,0,0.004,0,0.075,0.488,0,0,0,0.015,0,0,0,0.074,0,0,0,0,0.504,0.002,0.211,0.021,0,9,0,0.075,0.098,0,0.001,0,0.001,0,0,0,0.007,3.92,0,2.709,0.021,0.544,47.04,3.645,0,0.216,0,0.219,0.75,0,9,1.463,0,0,0.014,7.056,16.281,0.718,0.076,61.766,0.304,21.499,0,2.167
"Samoa",2.338,0.114,0,0,0,0,0,0,9,0,9,0,0,0,0,9,9,0,9,0,0,9.33,0,9.002,0,0,0,0,0,0.786,0.009,0.018,0.0191,0.0009,0.013,0.5,0,0,0,9,9,0.001,9.003,9,0.07,0,0,0,9,0,0,9,0,0.01,0.087,0.017,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0,0.086,0,0.8,4.222,0.074,0,0.035,0,0,0.01,0,0,0.019,0,0,0,0.023,1.451,0.003,9,5.491,0.007,4.699,2.167,0
