"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Costa Rica",0,0,0.2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.1,0,0,0,0.05,0,0,0.0032,0,0,0,0,9.0015,9,9,0,0,0.01,0.0068,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0.02,0.0003,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,5.05,0,0,0,2.33,0,0,0.14,0.0024,0,0,0,9,9.0003,9,0,0,0.29,0.06,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0
"Venezuela",0,0,0.22,0.0012,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,7.25,0,0,0,1.58,0,0,9.0035,9.01,0,0,0,9.0019,9.0022,9,0,0,0.01,0.31,0,0,0,0,0,0.0014,0,0,0,0,0,3.12,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.6,0,0,0,0.39,0,0,9,9,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0.11,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,2.53,0,0,0,0.16,0,0,0.01,0.02,0,0,0,9.0016,9.0012,9.0034,0,0,0.04,0.37,0,0,0,0,0,0.002,0,0,0,0,0,3,0,0,0,0
"Brazil",0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,1.29,0,0,15.01,0,0,0,9.53,0,0,0.04,0.05,0,0,0,9.0069,9,9,0,0,0.13,2.77,0,0,0,0,0,0.01,0,0,0,0,0,8.6,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.08,0,0,0,0.53,0,0,9,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.65,0.05,0,0,0,0,0,0,0,9,0.0001,0,0,0,0,0,0.04,0,0,0,1.94,9.15,1.8,9,9,0,0,0.2,0.13,0,0.02,0.18,9,0.06,9,9,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,9,0,0,0,0,0.0044,0.0009
"Chile",0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,21.75,0,0,0,0.18,0,0,0.0002,0.0031,0,0,0,9.0004,9,9,0,0,0.09,0.1,0,0,0,0,0,0.0001,0,0,0,0,0,9.59,0,0,0,0
"Argentina",0,0,0.36,0.0029,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,50.34,0,4.08,0,0,24.6417,0,0,0,1.8,0,0,1.04,1.61,0,0,0,9.0097,9.11,9.0014,0,0,2.97,5.94,0,0,0,0,0,0.0017,0,0,0,0,0,4.6228,0,0,0,0
