"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"Algeria",4922.3299,161.25,32.24,38.03,0.23,2.04,0.013,12.69,0,0,0,0,0,38.03,0,0,0,0,0.079,0.02,35.09,1.36,0,0,0.01,7.7,37.642,1.12,53.166,0,59.64,0,75.22,29.61,39.07,430.5636,19.2665,433.21,38.86,249.02,7.79,0,42.35,38.42,2.9,34.24,26.27,524.99,1.53,2.73,42.16,71.18,0.542,17.02,11.13,17.26,48.31,35.97,26.33,35.14,1.244,0,0,0.1,0,0,0.299,27.19,14.103,0,7.896,69.32,0,0,0.01,9,5.002,0.082,0.101,6.39,0.807,0.164,0,0.167,3.53,0.015,0.96,5.9,0,0,0,9,0.45,58.67,0,0.85,0,0.21,0,0,1.44,0,8.249,0,0.012,0,0,0,19.68,7.9,0.52,0,15.22,0.06,0.69,24.25,2.57,0,0,3,0.001,0,0,0,0.03,0,0,0,34.96,0.01,0.11,0.66,0.29,368.91,6.04,0,3.3,1.53,0,0.13,0.03,0,17.44,0,0,23.92,5.38,8.21,2.21,0.57,6.56,9,1.49,0,0.42,0
"Tunisia",70.51,33.52,27.85,0.09,0.03,0.36,0.163,0,0,0,0,0,0,0.89,0.3,0,0,0,0.07,0.05,5.93,0,0,0,0,0,20.722,0,2.23,0.89,15.28,3.958,24.39,1.77,7.24,10.4906,0.4694,410.97,4.96,101.64,4.03,0,3.49,12.48,71.24,14.86,10.83,38.99,0.01,0,7.12,13.23,0.255,13.23,0.8,16.77,17.35,22.49,0.58,6.04,1.744,0,0,0,0,0.01,0.05,1.525,0.12,0,0.086,4.87,0,0.1,0.37,0.01,7.903,0.21,0.16,2.7,0.143,0.005,0,3.2032,2.73,0,0.052,0.12,0,0,0,0,0.39,0.04,0.47,1.29,0,0,9,0,0,0.34,1.69,0.02,0,0,5.98,19.68,0,31.23,2.33,1.61,19.21,69.68,4.22,4.08,0.51,0.06,0,124.29,0.193,0.02,0.26,0.1,0.03,0.3,0,0,11.38,0,1.56,0,0.49,18.88,5.03,0,0.08,5.65,3.42,12.25,0,0,1,0.47,0,0.09,1.25,0.55,0.35,1.47,0.29,0,1.96,0,0,0
"Libya",6064.9001,7.3,663.09,22.5,0,0,0,7.58,0.001,0,9,0,0,0.2,0,0.9,0,0,2.69,3.2,5.3,0,0,0,0,0,25.311,0,0,1.6,1,1.362,232.9,53.69,148.2,31.0123,1.3877,169.8,15.4,650.22,0.9,0,10.9,53.38,85,36.85,9.5,1186.4,25.96,11.4,65.4,27.37,21.753,32.9,248.6,130.4,9.07,59.5,44.14,15.09,0,0,0,0,0,0,0,0.001,0,0,0.785,0.2,0,0,0,0,15.206,0,0.1,0.1,0,0,0.9,0.5,0,3.778,0.003,0.007,0.008,0.001,0.4,9,0.1,0,0,0,0,0,9,9,9,0,0.3,0,0.004,0,9.25,7.9,31.23,0,0.9,0.8,156.54,0,0.64,0.94,12.9,0.52,0,0.2,0.042,0,0,0,0,0.4,0,0,31.8,0,16.7,0,31.1,375,34.3,0,8.71,0,0,0.15,0,0,0.1,0,0,0,0.36,2.53,2.91,0.2,51.9,0,1.01,0,0,0
"Sudan",54.451,11.849,0,0,0,9,0.011,0,0,0,9,0,9,0,0,0,0,0,0,0,0.05,0,0,0,0,0,24.808,0,0,0,0.018,0.008,105.443,0.093,33.58,44.8721,2.0079,10.564,25.272,4.776,14.127,0,11.845,0.712,0.844,10.101,0.159,43.284,0.495,0,39.918,2.184,6.458,1.48,8.948,32.204,2.348,0.279,0.321,4.084,0.105,0,0,0,0,0,9,0.001,9,0,0,0,0,0,9.01,0,0,0,0,0,9,0.175,0,0,0,0.665,19.942,0.368,0,0,0.275,0,0.005,0,0,0,0,0,0,9,0,0,0.93,0,0.002,0,0.005,0.52,2.33,0.9,0,0.01,1.399,0.013,8.223,3.334,2.64,0.548,0,85.254,2.095,3.581,12.304,0.25,0.031,0.746,0.01,0,46.94,0,0,0,78.5,1.478,21.112,0,19.7,18.35,0,0.246,0,0,11.03,0,0,0,0.64,4.73,0.31,0.8,0.2,0,0.99,0,0.035,0
"Iran",2938,265.4,265.95,9,0,0.01,0.002,3.3,0.004,0,9,0,9,3.8,0,0.109,0,0,0.014,0,0.01,2.7,0,0,0,9.94,900.367,0,9,321.8,21.46,0.998,148,18.43,649.2,126.5378,5.6622,478.1,51.7,612.4,151.53,0,24,62.41,82.4,12.95,73,135.6,0.04,9,37.46,96,0.298,93,233.85,191,145.61,139.8,58.58,2.53,2.13,0,0,0,0,9,0,0.038,0,9,0.003,37.88,9,9,0,9,0.007,0.11,0.005,0.4,0,0,0,0.0005,0,0.028,68.025,0.232,12.338,17.862,9,9,1.887,9,32,0.2345,9,3.204,9,0,0,0,0.331,0,9.107,9,2.4,0,1.61,0.8,0.01,0,158.4,9,0.31,31.36,13,1.62,2.1,24.1,0,0,96.1,24.31,4.35,98.7,0.03,0,27.6,9,32,13,177.8,2896.2002,313.22,0,16.74,35.77,0.035,14.516,0,9,22.69,9,9,9,25.32,195.99,41.08,1,109.76,9,4.63,0,0.006,0
"Turkey",157.17,20.77,0,0.01,0,0.01,0.016,0.07,0.008,0,9,9,0,0.01,0.029,0,0,0,0,0,0.18,32.93,0,0.016,0,0.06,26.212,0.03,0.004,0.19,6.71,2.066,84.44,9.26,4.85,23.2784,1.0416,130.58,145.51,52.76,35.96,0,21.43,8.05,46.3,29.83,25.01,174.14,2.69,2.98,30.36,6.26,0.02,74.37,183.73,18.46,32.23,3.5,20.36,8.33,0.167,0,0,9,0,9,0,0.099,0,0,0.005,0,0,0,0,0,1.262,0,0.229,0.6,0.009,0,0,0.0066,0.27,0.022,0.688,0.055,0,0,0,0,0.076,0,0,0.0032,0,0,5.95,9,9,9,2.266,9,0.717,9,5.08,15.22,19.21,156.54,1.399,158.4,0,467.99,43.25,48.04,19.9,27.26,36.57,47.05,0.177,0,28.51,9.8,1.72,16.7,0.25,0.27,9.17,0,3.59,0,54.45,186.47,0.97,0,14.43,8.44,0.003,2.324,9,0,6.13,0,0,0,5.16,10.08,0.66,2.19,3.45,0,0.24,9,0.003,0
"Iraq",278.9,45.9,0,0,9,0,0.003,9.04,9.017,0,9,0,0,11.2,9,9,0.001,0,0.061,0,0.05,9,9,0,9,0,2866.484,0,9,0,2.86,93.187,411.2,30.71,25,74.5635,3.3365,2571.7,75.3,772.73,423.52,0,0,184.12,337.7,22.41,0,2210.8001,0.03,0,609.75,194.38,58.071,0,956.53,0,87.99,292,5.08,87.74,0.018,0,0,0,0,0,0,60.055,0,0,0,54.17,0,9,0,0,0.001,0.394,0.002,0.1,0,0,0,0,0,0,1.475,34.73,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,41.145,0,0.003,0,339.68,0.06,69.68,0,0.013,9,467.99,0,3.1,419.75,0,36.01,0,0.8,0.479,0,220.5,9.49,0.54,7.9,0.01,0,86.1,0,0,0,51.8,199.7,924.97,0,26.15,32.61,0,15.378,0,0,57.77,0,0,0,58.56,562.72,173.03,33.3,62.21,9,33.38,0,0.012,0
"Egypt",271.81,70.71,0,12.41,0,0,0.014,0,0,0,0,0,0,2.23,0.24,0.03,0,0,0.56,0.288,0.26,0,0.103,0,0,0,19.09,0,0,0,28.69,0.83,281.62,1.78,42.82,28.1982,1.2618,230.33,64.89,13.35,2.47,0,8.13,7.28,59.35,13.48,11.85,753.17,2.3,0.72,20.47,282.9,1.51,45.2,48.79,68.99,47.88,55.39,4.06,8.64,0.116,0,0,0,0,0,0.07,0.023,0.04,5.73,0.43,0.01,0,0.009,0,0.11,0.958,0,0.891,1.8,0,0.01,0,0.0202,0,3.131,9.227,0.539,0.136,0,0.15,0,0.631,0,0,3.9164,0,1.67,0,0,0,0,0,0,0.005,0,16.89,0.69,4.22,0.64,8.223,0.31,43.25,3.1,0,1.51,0.22,28.17,0,27.58,3.42,2.46,6.74,0.88,0.62,62.7,2.26,0.11,22.11,0,28.51,0.99,15.14,92.18,46.77,0,1.36,5.03,0.759,24.58,0,0.12,2.54,0,0.11,0,1.87,21.58,1.78,3.96,54.55,0,3.22,0,0.015,0
"Syria",40.05,3.91,0,23.08,0.004,9,0.001,0,0,0,0,0,9.003,9,0,1.365,0,0,1.438,0.142,3.78,0,0,0,0,0,16.23,0,9,0,5.55,9,97.65,5.58,52.8,66.9827,2.9973,87.56,11.5,69.59,8.74,0,43.59,27.08,54.53,35.08,30.02,29.48,0.07,0,9.7,72.42,30.37,28.61,89.94,2.56,18.55,44.25,5.3,12.19,0.004,0,0,0,0,0,0,9.019,9,0,0,0,9,0,0.001,9,0.001,9,0,0,0,0,0,0,0,0,1.66,0.677,0,9,0,0,0.084,0,0,0,0,0,9,0,0,0,0.27,0,0,0,0.85,24.25,4.08,0.94,3.334,31.36,48.04,419.75,1.51,0,64.81,5.49,9,58.47,0.918,0.11,1.88,0.28,13.38,4.47,0.21,9,23.91,0,0,0,11.6,98.87,25.89,0,12.92,9.69,9,14.831,0,0,9.9,0,0,0,5.78,5.56,0.63,0,2.49,9,3.34,0,0,0
"Lebanon",212.2,31.6,0,0,0,0,0,9,9.005,0,9,0,0,1.5,9,0.002,0,0,0.733,9.011,0.07,0,0,0,0,0,26.96,0,9,0,14.64,9.147,118.9,4.3,52.6,81.838,3.662,269.3,68.7,56.73,7.43,0,0,24.7,43.3,30.28,0,335.1,0.43,0,22.16,74.5,39.469,0,148.96,0,16.56,22.8,11.19,9.91,0.516,0,0,9,0,0,0,0.466,0,0,0.028,1.7,0,0.019,0.546,9,0.369,1.448,0.001,9.3,3.462,0,0,0,0,0,0.426,0.001,0,9.008,0,0,0.993,0,0,0.016,0,9,0,0,0,0,0.016,0,0.359,0,0.76,2.57,0.51,12.9,2.64,13,19.9,0,0.22,64.81,0,62.38,0,82.4,7.395,0,44,4.67,10.65,28.3,3.2,0,0,0,0,0,10.9,91.4,4.63,0,2.07,9.01,0,0.056,0,0,2.54,0,0,0,0.25,4.93,0.67,0,4.14,9,0.07,0,9.049,0
"Jordan",140.83,9.05,0,0.01,0,0,0,0,9,0,9.003,0,0,0,0.83,0.002,0,0,0.302,0.001,0.11,0,0,0,0,0,14.75,0.13,0,0,13.4,0.06,133.22,3.53,39.01,48.2988,2.1612,88.71,3,57.26,2.11,0,3.32,12.46,14.73,7.66,12.05,123.35,0.17,0,8.46,34.96,7.027,23.51,36.07,20.33,13.86,23.6,2.45,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,4.058,0.637,9,0,0.03,0,2.176,0,32.37,1.9,0,9,0,0,9,0,0,0,0,0,1.14,0,0.06,0.52,0.548,1.62,27.26,36.01,28.17,5.49,62.38,0,0,158.53,1.977,0.29,11.22,0.33,4.52,14.22,0.5,0,25.12,0,22.65,0,13.83,107.72,11.59,0,5.25,1.15,0,7.966,0,0,3.74,0,0,0,1.58,2.95,0.2,0.1,4.57,0,0.37,0,0,0
"Israel",736.8,27.8,0.02,0,0.001,0.11,0.124,0.23,0.226,0,0,0,9.003,0.6,0.446,0.035,0.57,0.045,0.194,18.979,2.4,3.4,0.273,0,3.2,0.37,16.843,0.9,0.3,2,70.06,6.817,203.7,15.71,54.3,52.07,2.33,69.5,115.2,20.33,22.25,0,0,0,11.4,5.46,4.2,131.3,2.59,0,7.6,13.28,16.371,3.7,25.95,0,26.88,40,3.57,2.87,0.886,0,0,0,0,9,0,1.037,0,0,0.271,1.53,0.1,0,0.168,0,2.864,0.9,0.506,23.4,4.937,9.023,0,0.4457,1.6,0,16.494,5.606,0.513,0.1,9,0,5.893,0,0,2.3701,0,2.215,104.7,0,0,0,0,9,2.857,0,9,0,0,0,0,2.1,36.57,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0.5,0,6.9,0,30.1,30.1,6.81,0,0,0,0.084,0.4,0,0,7.89,0,0,0,0,26.17,0.89,0.5,4.75,0.004,2.96,0,0.019,0
"Saudi Arabia",4018.9004,1025.1,1290.2101,5.9,9.007,0.1,0.5,425.52,1.899,9.3,9,0,9,1.1,14.4,0.6,0.3,0.296,1.8,88.705,0.6,1.7,0.5,0.2,3.2,0.6,2102.5121,1.3,0.7,36.3,1.58,12.735,400.7,120.72,1700.9,1509.4563,67.5438,4634.7001,126.7,1876.46,274.4,0,8.8,35.5,11.9,43.7,60.7,2271.8,2.99,4.9,31.58,315,41.557,40.4,107.2,38.9,264.36,216.2,76.49,68.47,2.4,0,0,0,0,0.1,0,2.386,0,0.2,0.096,16.7,0.1,0,48.967,0,0,9.842,0.094,0.9,0.3,0.7,0,0.1887,21.7,0.292,136.882,16.282,0.1,0.786,82.8,1.3,27.73,0,17.9,113.7673,0.2,0.4,1.1,0,5.1,20.4,0.098,0.1,0.199,9,114.09,3,124.29,0.2,85.254,24.1,47.05,0.8,27.58,58.47,82.4,158.53,0,0,279.923,31.5,127.6,1205.6,63.69,46.6,4.38,5.5,128.1,1.8,283.5,266.8,1113.9,8194,135.59,0,99.15,86.13,0.2,64.918,9,0,375.93,3.1,0.8,3.6,214.68,1577.89,358.01,342.6,282.23,0.4,111.94,0,2.2,0.5
"Yemen Arab Republic",26.779,0.072,9,12.51,9.031,0,0,9,0,0,9,0,9.001,9,0,9.677,9,9.219,9.125,0.002,9.119,9,0,0,0,0,1.225,9,0,9,0.172,9,110.374,0.105,56.885,12.8165,0.5735,144.175,3.301,7.118,0.11,0,1.795,11.707,7.97,9.018,3.058,80.988,0.083,9,0.81,48.32,2.104,9.476,2.838,13.744,4.96,11.646,1.102,7.004,0,0,0,9,0,9,9,9,9,0,0,9.466,9.039,0,9,9,9.043,0,0,9.019,9,9.934,0,0.029,0,9,2.857,9.206,0,0.322,8.414,13.355,1.491,0,9.349,0.2772,9,9,9,0,0,15.185,9,0,1.881,8.3,9.14,0.001,0.193,0.042,2.095,0,0.177,0.479,3.42,0.918,7.395,1.977,0,279.923,0,2.269,8.326,0.83,0.157,9.481,2.817,9,67.486,0,20.979,9.741,26.655,150.065,50.052,0,1.035,0,0,7.58,0,0,0.563,9.002,9.003,0,3.34,67.482,6.096,0.088,23.902,9,0.119,0,0,0
"Yemen People's Republic",9.7,16.5,0,0,0,9,0.002,0,0,0,9,0,9,0,9,0,0,0,9.261,0,0,9,0,0,0,0,0,0,0,9,1.25,0,34.4,1.19,35.4,5.743,0.257,8.2,0.4,0.9,0.34,0,0,0,0.3,0,0,24.7,1.16,0,0.66,4.98,1.606,0,8.12,0,0.05,4.8,1.84,6.96,0,0,9,0,0,0,9,0.003,9,9,0,0,0,0,9,0,0.004,9,0,0.1,0,0,0,0,0,0,6.297,1.718,0,0,0,0,4.382,0,0,0,0,9,0,9,0,0,0,9,14.862,0,0,0,0.02,0,3.581,0,0,0,2.46,0.11,0,0.29,9,31.5,2.269,0,105.9,2.34,57.93,45.2,0,9,0,0,0,0,10.9,18.2,34.59,0,21.84,0,9,1.455,9,0,8.74,0,0,0,2.8,6.82,0,0,13.93,0,0.06,0,0,0
"Kuwait",542.8,41.8,0,9,9,9,0.012,0,0,0,0,0,0,0.3,0,0.003,0,0,0.012,0.299,0.08,0,0,0,0,0.01,302.956,0,0,10.7,3.91,31.473,1041.7,19.2,1338.6,123.5706,5.5294,464.6,21.3,134.88,0.95,0,9.6,27.4,8.6,18.24,20.1,1218.9,0.82,0,21.69,12.27,15.404,19.8,24.6,12,16.35,56.3,0.13,1.14,0,0,0,0,0,0,9,0.008,9,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,15.485,2.488,9,0,0,0,87.688,0,9,0,0,0,0,0,0,9.7,10.622,0,1.029,0,36.66,0,0.26,0,12.304,96.1,28.51,220.5,6.74,1.88,44,11.22,0,127.6,8.326,105.9,0,2.04,17.32,81.6,2.47,0,92.9,0,988.5,0,985.2,3331.2001,8.32,0,299.32,18.78,2.5,18.366,0,0,58.88,0,0,9,285.58,722.78,299.6,1,168.91,0,61.42,0,0,0
"Bahrain",189.64,3.82,0,0.05,0,0,0.03,0,0.002,0,0,0,9,0.02,2.35,0.004,0,0,0,0,0,0,0,0.02,0.02,0.06,1.26,0,0.17,1.26,0,0,168.35,1.87,10.98,6.8916,0.3084,45.28,8.83,5.99,0.53,0,0.25,1.24,3.64,0.26,0.41,50.05,0.26,9.01,0.36,4.86,6.132,0.73,0.21,0.02,1.97,6.67,1.55,2.38,0.03,0,0,0,0.01,0,0,0,9,0,0,0,0.02,9,0,0,0.009,0.01,0,0,9,0,0,0,9,0,17.822,28.281,0,9,0.36,13.32,2.32,0.03,3.98,47.28,0,5.11,0,0,1.2,9,0.02,9,47.293,5.9,0.03,0,0.1,0,0.25,24.31,9.8,9.49,0.88,0.28,4.67,0.33,0,1205.6,0.83,2.34,2.04,0,3.8,442.56,27.65,0.15,15.82,9,15.32,11.11,14.27,179.54,6.34,0,4.04,0,0.15,2.576,9,0.01,18.02,0,0.01,0,3.4,157.05,88.35,1.26,55.58,0.01,68.94,0,0,0
"Qatar",167.45,0.98,26.79,0,0,9,0.001,0,0,0,0,0,0,0,10.83,9,0,0,0.202,9,0.08,0,0,0,10.91,0,123.305,9,9,0,0.15,9,134.5,3.6,158.07,152.8217,6.8383,377.7,15.66,211.12,0.21,0,9,10.46,4.13,9,9,42.85,0.12,9,1.91,9.75,3.31,9,10.09,9,2.23,24.26,1.52,13.97,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,78.644,0.88,9,9,0,9,0,9,10.01,0.015,0,0,0,0,10.7,9,0,0,0.76,9,0.17,0.03,0.03,0,0.031,4.35,1.72,0.54,0.62,13.38,10.65,4.52,0,63.69,0.157,57.93,17.32,3.8,0,0.67,0.99,9,5.09,0,4.69,9,10.32,702.37,23.93,0,5,0.14,9,0,0,0,319.65,9,0,9,2.84,37.23,1.73,0,28.15,9,0.9,0,0,0
"United Arab Emirates",1608.6,17.3,81.6,0.1,0,0,2,13.9,0,0,0,0,0,0.1,2.3,0,0,0,9,0.002,0.01,0,0,0,8.7,0,154.132,0,0,16.9,1.4,0.563,603.4,6.25,459.1,183.8723,8.2277,865,13.5,616.19,50.78,0,3.8,13.4,25.9,3.5,11.6,31.1,1.5,0,6.8,15.3,11.583,6.4,12.9,2.5,8.61,98.7,13.9,127.15,0,0,0,0,0,0,9,6.374,0,0,0,3.3,0,0,9,0,0,0,0,0,0,0,0,9,0,0,3.339,32,0,0,2.6,0,3.6,0,4.2,0,0,0,0,0,3.5,10,0.1,9,0,0,33.61,0,0.3,0.4,0.746,98.7,16.7,7.9,62.7,4.47,28.3,14.22,0,46.6,9.481,45.2,81.6,442.56,0.67,0,187.8,0,111,0,112.7,0,119.9,2441.6,40.71,0,19.65,71.35,1.8,4.947,0,0.1,36.14,0,0,0,37.4,175.91,15.3,5.4,34.78,0,8.9,0,0.1,0
"Oman",245.87,1.3,9,0,0,0,0.01,0,0,0,9,0,0,9,9.1,9,9,0,9,9,0.01,0,0,0,0,0,23.88,9,0,9.18,0,9,141.49,2.61,11.5,12.2422,0.5478,40.26,5.65,1.95,0.06,0,9.18,9.1,1.61,0.05,9.68,26.86,0.08,0,1,5.82,4.147,9.95,5.62,9,0.58,16.66,130.91,0.69,0,0,0,9.02,0,0,0,0.003,0,0,0,0,0,0,0.11,0,9,9,0.072,0,9,9,0,0,0,0,4.347,0.02,0,0,0.14,0,0,9,0.51,0.45,0,9,0,9,2.8,0.14,0.02,0,0,9,0,0,0,0,0.01,0.03,0.25,0.01,2.26,0.21,3.2,0.5,0,4.38,2.817,0,2.47,27.65,0.99,187.8,0,9,15.02,0,9.3,9.05,7.76,1138.13,43,0,9.88,0,0.59,0.65,0,9,4.26,9,0,9,8.37,32.43,4.19,0.27,30.08,0,2.62,0,0,0
"Afghanistan",7.107,0.1,0.04,0,0,0,0,0,0,0,9,0,9.001,0,9,0,0,0,9,0,9,0,9,0,0,0,0.08,9,0,0,0,9,32.05,1.42,3.1,2.2972,0.1028,3,0.1,0.4,0.06,0,0,0,0.7,0,3.483,8.4,0.38,0,1.51,0.5,0,0,9,115.277,0.06,1.4,4.62,0.13,0.029,0,0,0,0,0,0,9,0,0,0,9,0,9,0,9,0,9,0,0,0,9,0,9,9,0,9,0,9,9.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.11,9,0,0,0,5.5,9,9,0,0.15,9,0,9,0,0,0,0,0,9.5,74.171,3.032,0,40.61,0.92,0,1.534,0,0,2.34,0,0,0,3.08,6.39,0,0,0.79,0,0.05,0,0,0
"China",1200.2,465.3,0,24.2,5.325,0.16,0.574,5.13,0.528,0,0.019,0,9.112,59.1,83.865,3.818,0.094,87.344,0.515,1.739,3.43,33.1,2.459,15.357,3.96,59.03,18.45,0,0,60.1,259.5,1.21,208,6.54,43.6,28.428,1.2721,79.2,89,40.91,2.47,0,0.3,54.59,45.7,19.25,49,87.3,5.48,0,4.95,6.09,2.46,0,54,8.2,14.57,33.9,18.57,20.4,1.254,0,9,0.048,0,18.846,36.695,10.952,17.63,0,5.561,0,0,1.829,16.209,0,6.623,10.867,24.137,244.7,5.692,0.334,0,2.3735,0.2,0,7.612,49.242,5.818,12.034,0,0,6.452,0,3,56.6191,0,0,0,0,0,0,30.329,0,8.496,1.1,27.3,34.96,11.38,31.8,46.94,27.6,9.17,86.1,22.11,23.91,0,25.12,0.5,128.1,67.486,0,92.9,15.82,5.09,111,15.02,0,0,0,0,13.2,0,1011,12.22,0,93.04,48.4,12.136,4.347,0,0,158.5,0,0,0,33.47,306.52,80.01,131.6,802.28,18.607,52.5,2.027,7.465,1.348
"Mongolia",3.9,0,0,0,0,9,0,0,0,0,0,0,0,0,9,9,0,0,9,0,9,0,0,9,0,0,9,0,0,0,0,9,4.3,0,1.5,9.2872,9.0128,2,0.6,0,0,0,0,0,0.9,1.51,0,2.2,0,0,0.34,0.04,0,0,3.38,0,9.32,0,0.15,0.25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,9,0,0,0,0,0,0,0,1.8,0,0,0,9,0,0,0,0,0,0,0,0,0,13,9,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,9.01,0,0,0
"Taiwan",3160.9998,399.4,0.24,0,0,16.71,5.866,18.86,3.427,0,0.28,0,0.144,0,4.031,7.651,11.156,14.881,7.995,15.361,11.79,42.6,0,0,15.31,13.44,22.198,0,4.576,4.4,9.63,3.313,243.9,5.19,171.9,25.8436,1.1564,203.7,7.3,50.64,3.65,0,0,0,36.6,0,0,124.1,3.28,0,0,35.26,9.174,0,0,0,1.43,61.3,11.13,23.53,2.479,0,0,0,0,0.177,0,2.505,6.963,0,4.11,27.04,0,2.092,3.798,9,3.979,1.036,23.886,0,0,0,0,7.5728,0,0,11.933,3.384,0.238,0,0,0,6.439,0,0,1.87,0,0,0,0,0,0,0,0,6.359,0.2,26.85,0.11,1.56,16.7,0,32,3.59,0,28.51,0,0,22.65,6.9,283.5,20.979,0,988.5,15.32,4.69,112.7,9.3,0,0,0,0,0,103.3,1879.4001,3.42,0,0.25,4.59,0,1.935,0,0,130.4,0,0,0,1.14,245.69,112.4,118.6,113.03,10.937,7.73,0.223,7.209,0.598
"North Korea",9,1.1,0,0,0,0.04,0,9.12,9.004,0,9,0,9,9,0,0.049,0,0,0,0,0.73,8.6,0,1.971,9,0,3.4,0,9,0,1.38,0,0.3,0.03,3.7,2.1058,0.0942,21.3,1.6,8.05,0.02,0,0,9.19,5.2,6.77,0,0.8,9.02,0,3.56,0.4,0,0,2.62,0,0.1,1.2,1.09,0.5,0.001,0,0,9,0,0,0.008,0.003,9,0,9,0,0,0,9,0,0,0,0.097,0,0.16,0,0,0.0282,0,0,9.14,7.643,0.13,0.353,0,0,0.411,0,0,9.0127,0,9,0,0,0,0,1.538,0,0,9,9,0.66,0,0,0,13,0,0,0.99,0,0,0,0,266.8,9.741,0,0,11.11,9,0,9.05,0,13.2,0,0,0,0,130.4,45.46,0,2.46,0.21,2.455,3.611,0,0,9.21,0,0,0,3.4,29.37,0.31,21.5,21.08,9,9,0,0.153,0
"South Korea",253.8003,107.9,0.99,0,1.984,2.58,2.817,1.48,0.532,0,0.049,0,0.031,1.6,0.935,4.469,1.529,0.175,3.211,23.834,0.54,19.5,0.617,1.4,10.4,40.95,55.181,2.7,0.586,37.3,25.74,1.552,74,22.64,173.1,45.8484,2.0516,63.8,6.7,45.62,1.12,0,1.8,0.8,43.6,3.3,5.2,48.9,0.43,0,3.22,8.88,3.169,1.2,13.8,5.3,38,53.9,1.83,37.7,2.224,0,9,0,0,0.8,0,1.623,0.9,0.9,0.364,4,0,0.118,41.975,0.6,5.969,2.5,0.662,133.6,0.578,0.129,0,0.2332,0.3,6.756,0.883,0.234,0.048,0.418,0.1,0.8,7.196,0.6,1,14.9382,0,0.7,42.1,0,0.1,11.6,0.028,0,2.065,0.2,7.5,0.29,0.49,31.1,78.5,177.8,54.45,51.8,15.14,11.6,10.9,13.83,30.1,1113.9,26.655,10.9,985.2,14.27,10.32,119.9,7.76,9.5,0,0,103.3,0,0,3298.9998,18.91,0,60.6,16.89,3.412,21.754,0,4.1,45.71,0,0.3,12.6,269.67,78.54,44.67,474.9,426.96,5.7,62.12,0.3,0.775,0.8
