"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Netherlands",0.35,3.23,0.08,0.1,0.56,1.48,0.71,0.31,0.2658,0.02,0.067,1.77,0.79,0.02,3.58,1.59,1.24,0.04,0.38,17.21,0.4,18.03,1.96,0,12.67,0,11.18,5.55,2.52,1.45,97.14,2.3,0.35,0.02,0.0309,0.4932,0.0082,0.21,0.5,0.69,9.21,11.73,0.05,0.44,0.09,2.32,2.94,2.16,6.34,0.02,0.0045,2.12,0.26,0.19,0.19,0,0,0.94,3.22,0,2.59,0,0.03,0.51,0.3
"Belgium",20.21,2.61,0.48,0.13,2.33,0.1,0.038,0.06,0,0.1449,9.06,0.57,0.84,0.31,0.52,0.19,0,0.05,1.24,16.87,0.84,6.8,2.65,12.67,0,0,15.88,9.02,2.48,4.15,55.17,2.58,0.08,0.52,0.74,7.73,0,1.55,3,1.76,2.89,15.53,0.07,0.64,0.3,4.09,0.72,0.36,1.85,0,0,0.78,0.57,1.39,0,0,0,0,7.64,0,2.16,0,0.04,10.58,0.37
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",61.18,6.37,2.15,1.88,0.14,0.32,0,0.58,0.51,0.08,0.4,1.95,0.24,1.37,1.49,12.53,0.7,0.1,4.21,1.86,2.29,24.01,0.31,11.18,15.88,0,0,35.96,19.9,1.81,74.92,0.15,0.06,0.07,4.6589,2.04,0.05,0.83,0.45,0.03,4.12,17.36,0.84,0.18,0.22,4.24,6.95,2.57,4.2,9,9,9.54,2.99,0.62,0.42,9,0,0.0099,2.28,0,0.83,0,0.17,23.03,0.45
"Switzerland",7.35,6.46,0.01,0,10.23,0,9.02,0,0,0,0,9.38,0,0,0,0,0,0.04,0.0478,8.7,0,6.13,0.25,5.55,9.02,0,35.96,0,5.84,0.87,94.75,0.08,3.63,4.74,4.78,15.97,0,1.73,0.39,0.03,2.63,1.49,0.06,0.08,0.02,0.3,0.6,0.03,0.74,0,0,0,0,0.33,0,0,0,0,2.23,0,1.24,0,0.29,0.97,0
"Spain",0.72,0.7,1.6,0.2079,0.68,0.03,0,0.16,0.13,0.05,9.09,0.43,0.11,0.2,0.16,0.56,0.0182,0.16,0.77,8.17,0.51,26.99,0.07,2.52,2.48,0,19.9,5.84,0,2.11,12.7104,0.63,0.19,0,1.4,2.84,0,0.51,0.02,0,0,1.88,0.02,0.0004,0.0394,0.42,0.24,1.84,0.38,0,0.0004,0,0,1.13,0,0,0,0,0.2,0,0.8,0,0,0.26,0
"Portugal",5.69,0.04,0.0024,0.0056,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0.0065,0,0.39,0.01,22.09,0,1.45,4.15,0,1.81,0.87,2.11,0,6.82,0.05,0.1,0,0.35,1.14,0,0.0181,0.0095,0,0,0,0.01,0.0197,0.0099,0,0.51,0.57,0.28,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0
"Germany",36.95,10.14,1.08,0.09,0.53,2.46,1.01,1.11,0.41,2.16,0.48,4.41,1.15,0.23,1.33,5.09,0.71,0.37,3.17,40.4855,2.08,40.16,5.473,97.14,55.17,0,74.92,94.75,12.7104,6.82,0,7.67,16.29,5.66,15.2788,30.21,0.17,1.42,0.38,1.85,6.18,21.56,0.23,0.25,0.12,11.41,43.34,12.5,29.97,0.18,0.23,1.18,1.31,0.1,0,0,0,0,6.3055,0,20.82,0,0.34,18.3,1.16
"Poland",13.54,0.03,0.0008,0,0.09,0.0035,0,0,0,0,0,0.45,0.079,0.0591,0.31,1.62,0.0038,0.05,0.0992,2.16,0.1691,9.87,2.02,2.3,2.58,0,0.15,0.08,0.63,0.05,7.67,0,5.14,0.14,0.53,1.48,0.0002,0.16,0.27,0.25,1.66,3.39,0.22,0.21,0.03,2.32,5.94,2.85,3.31,0.0028,0.0095,0.04,0.02,0.13,0,0,9,0.0004,0.59,0,0.11,0,0.2086,3.32,0.2
"Austria",6.02,1.68,0.0052,0.0095,0.04,0.1748,0.0006,0.038,0.0295,0.08,0.0024,0.07,0.0098,0.0172,0.03,0.84,0.0011,0.0094,0.06,1.12,0.05,0.19,0.0049,0.35,0.08,0,0.06,3.63,0.19,0.1,16.29,5.14,0,4.92,12.98,4.36,0.0766,6.68,0.76,0.86,1.02,0.38,0.0017,0.05,0.01,0.11,0.56,0.49,0.7,0,0.0011,0.33,0.22,0.1,0.0053,0.0085,0,0,0.42,0,0.39,0,0.0271,2.78,0.01
