"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Democratic Republic","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",94.800003,8,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,9.8999996,0,0,0.60000002,1.8,0.40000001,23.799999,0,8.6000004,6.9079919,0.29200789,19.1,6.8000002,0,0.1,0.2,0,0.89999998,1.1,22.6,0,0,3,0.60000002,0.1,1.1,1,3.4000001,0.89999998,3.2,0,0,0.1,1.1,0,0,17.9,7.8000002,2.8,0.30000001,0,0,1.7,0,0,0,0,0,0,0,0,0,0.89999998,0.30000001,0,0,0,0,0,0,0,0,0,0.1,1.6,0.1
"Greece",45.900002,1.7,3.7,0,0,0.60000002,0,0,0,0,0,0.69999999,0,0.1,0,0,6.0999999,0.1,0.1,1.8,0.80000001,0.40000001,36.599998,0.1,10.8,15.83082,0.66918492,21.700001,4.6999998,0.2,1,2.0999999,0.80000001,0.60000002,1.6,51.299999,0,5.5,0,0.69999999,2.0999999,1.5,2.9000001,13.4,1.2,3.3,1.1,0,1.2,0.69999999,0,0.1,2.2,0,1.3,0.30000001,0.30000001,0,0.60000002,0.30000001,0.1,0,0,0,0,0,0,0.60000002,0.5,1.7,0,0.40000001,0,0.2,0,0,0,0,0,0.5,1.4,1
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0.40000001,1.055388,0.0446123,0.69999999,1,0,0,0,0,0,0,0.80000001,0,0,0.5,0,0,0,0.5,0.5,0.1,0.2,0,0,0,0,0,0,3.0999999,0,0.30000001,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.8000002,0,7.3000002,0,3.8,1.439165,0.060835,1,2.3,0,0.1,0,0,0,0,3.7,0,0,0.30000001,0,0,0,2.3,0,1.5,0.69999999,0,0,0,0,0,0,6.1999998,0,7.6999998,0,0.2,0,0.30000001,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0
"Russia",0,5,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.599998,19.9,41.200001,0,32.799999,23.31447,0.98552668,30.9,3.5999999,0,4.8000002,0,0,0,0,26,0,1.5,3.7,0,0,0,146.60001,22.6,24.299999,18.299999,7.9000001,0,0,5.4000001,0,0,5.1999998,0.1,5.4000001,0,0,0,3.0999999,0,0,0,0,0,0,0,0,0,5.3000002,3.5999999,0,0,0,0,0,0,0,0,0,0,30.6,8.1999998
"Finland",32.400002,2.3,0.30000001,0,0,1.8,0.1,0,0.1,0,0.1,0,1.1,0,0,0,42.599998,0,0,0.69999999,14.2,0.89999998,104.4,0.30000001,41.200001,18.51726,0.78274351,37.700001,6.5,6.6999998,0.5,19.9,28.1,5,18.1,7.6999998,0,0.89999998,3,1.2,26.5,88.400002,0,29,9.3999996,16.200001,2.8,0,0,1.7,0,0,5.8000002,0,1.8,0,0,0,7.6999998,0,0,0,2.8,0,0,0,0,4.9000001,0.89999998,0.30000001,1.4,0.60000002,0,0,0,0,0,0,0,1.1,3.5999999,1.9
"Sweden",140.60001,3.8,0.2,1.4,0.40000001,5.4000001,4.0999999,0.5,1,1.2,0.60000002,0.60000002,12.5,21.9,1.1,1.3,62.599998,0,1.1,6.6999998,11.3,5.4000001,282.89999,1.5,123.7,84.239128,3.5608749,90.300003,41.5,17,6.3000002,14.3,18.6,2.5,6,54.200001,0,2.0999999,1.9,0.30000001,1.6,27.299999,15.5,0,64,63.099998,1.2,0,0.89999998,8.6999998,0,2.4000001,5.1999998,1.9,1.7,0.30000001,0.2,0,3.3,10.5,0.30000001,0,1.7,0,0,0,0.1,9.3000002,3.9000001,3.9000001,0.2,3.5999999,0,1.3,0,0,0,0,0.40000001,9.1999998,11.1,3
"Norway",85.900002,39.200001,0.60000002,1.2,0.1,1.5,1.5,1,0,0,0,0,0.30000001,6.4000001,0.5,0,23.1,0,0,0.30000001,3.2,0.69999999,206.3,0.1,60.099998,35.499401,1.500596,33,11.8,12.3,3.5,11.1,6.5999999,0.89999998,7.5,14.8,0,1,0.80000001,0.1,2.0999999,13.3,9.3000002,160.10001,0,35.299999,2.9000001,0,1.2,1.7,0,0.2,2,0.1,0.69999999,0,0,0,3.0999999,0.5,0,0,2.4000001,0,0,0,0,1.5,1.3,0.2,0,0.40000001,0,0.60000002,0,0,0,0,5.9000001,2.9000001,2.4000001,0.40000001
"Denmark",57.299999,1.1,0.1,0,0,0.60000002,0,0,0,0,0,0,1.3,2.5,0.1,3,34.400002,0,0,1.3,22.1,1.9,306.10001,0.2,71.5,57.182819,2.417177,52.900002,25.6,8.6999998,4.4000001,13.5,9.6000004,1.7,3.2,19.4,0,0.80000001,0.40000001,0,0.69999999,15.6,25.299999,107.7,40.400002,0,1.2,0,0,1.1,0,0.60000002,1.9,0.5,2.5,3.4000001,0.69999999,0,2,0,0.30000001,0,0.30000001,0,0,0,0,0.89999998,1.6,0.1,0.1,0.69999999,0,1.2,0,0,0,0,5.9000001,0.60000002,0.60000002,0.80000001
