"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United Kingdom",2648.8,1554.3,13.6,0.1,0.69999999,84,50.599998,15.9,17.4,2.5999999,0.80000001,0.5,1.1,0.89999998,7.6999998,13.6,187.39999,39.400002,1.7,40,174,39,4.3000002,118.7,138.8,16,0,1236.9,1271.9,520.79437,25.105579,1084.4,548,373.89999,256.70001,0,47.700001,146.3,224.89999,22.799999,62.900002,689.79999,18,0,45,39.799999,55.5,19.9,51.799999,512.29999,524,992.20001,453.29999,733.29999,22.6,0,11.1,1.6,7.0999999,2.2,23.5,0.1,22.200001,0.89999998,0.1,15.1,65.599998,77.900002,1.1,6.1999998,340.79999,3.8,1,0.2,6.4000001,43.200001,47,73.300003,60,7.6999998,1.4,0.30000001,4,138.3,0.1,31.700001,642.29999,0,6.5999999,22.9,2.4000001,42.599998,38.099998,41.299999,4.8000002,467.79999,15.9,266.39999,36.700001,89.5,38.400002,1.8,9.3999996,0.69999999,132.2,418.79999,0.1,14.4,483.60001,9.8999996,100.7,115.3,9.8000002,19.299999,77.199997,0.1,30.799999,0.5,13.7,490.60001,271.39999,0,82.599998,0,10.4,71.199997,0,0.89999998,16.299999,0,0,0.5,0,104.4,91.599998,14.1,17.6,655.20001,550.40002,23.200001
"Ireland",157.53999,24.6,0.74000001,0.0099999998,0,0.14,0.07,0.039999999,1.1799999,0.02,0.0099999998,0.079999998,0.029999999,0.050000001,0,3.1500001,0,3.74,1.76,1.1,5.9099998,0.02,0.02,0.63,12.89,0.18000001,907.73999,0,52.029999,23.53544,1.134557,53.939999,11.92,13.39,5.6999998,0,2.5699999,18.18,4.7399998,0.81999999,4.2600002,37.450001,0.2,0,0.28999999,0.77999997,1.41,0.79000002,0.76999998,7.21,24.18,36.34,10.58,17.299999,0.18000001,0,0,0,0.64999998,0,0,0,0.63999999,0.0099999998,0,0.0020000001,0.40000001,4.3099999,0,0.0099999998,3.4200001,0.039999999,0,0,0.27000001,0.11,0.94999999,1.6799999,1.9,0,0.0099999998,0.050000001,0.0099999998,1.3099999,0,4,6.6100001,0,0,0.18000001,0.02,0.07,6.5599999,0.79000002,0.56999999,0,0.23999999,17.629999,1.84,0,0.23,0.02,2.72,0,5.8400002,10.92,0,1.21,39.900002,0,0,0,0,0.0099999998,2.7,0.02,0.69,0.28,3.25,22.280001,9.2200003,0,2.3800001,0,0.059999999,2.3599999,0,0,0.54000002,0,0,0,0,3.8599999,0.31,1.24,0.89999998,10.77,5.8000002,0.059999999
"Netherlands",1462.4,198.10001,12,0.2,0.5,0.69999999,0.69999999,0.032000002,12.6,4.6999998,2.0999999,3,2.7,7.0999999,3.5,35.599998,14.3,0.89999998,3,39.400002,127.9,0.89999998,3.7,11,116.9,10.1,849.59998,20.1,0,2430.2471,117.1532,1169.3,187.10001,127.8,27.9,0,49.5,36,97.099998,33.299999,43.099998,650.40002,1.5,0.1,29,26.799999,4.4000001,6.0999999,21.9,65.300003,103.7,320.70001,84.800003,101.5,1,0.30000001,0.2,0.60000002,4.1999998,1,0.38499999,0.352,21.6,0.2,0.0049999999,18.5,12.1,13.2,11.4,49.099998,199.10001,9.3999996,0.152,0.0040000002,4,20.5,1.8,8.5,5.3000002,0.1,0.30000001,0,2.0999999,7,0,2.4000001,36.900002,0,0,0,1.6,0.80000001,16.1,24.299999,1.6,130.89999,2.4000001,278.29999,25,12,31.799999,50.799999,46.700001,0.1,22.1,388,0,5.6999998,368,9.5,31.299999,0,42.900002,4.0999999,35.299999,0,29,2.4000001,7.0999999,212,20,0,12.4,0,2.5,6,0,0,45.099998,0.1,0,0.2,0,27.4,15.3,22.700001,50,30.799999,13.5,0.018999999
"Belgium",786.20007,130.9857,3.3390369,3.434438,8.3952942,0.28620321,0.095401101,0,7.1550798,3.52984,1.908021,0.28620321,3.7206421,4.5792508,3.2436359,11.44813,38.92363,0.66780752,3.7206421,37.206421,70.78759,10.01711,3.434438,24.327271,81.281708,7.536685,760.0603,13.45155,2020.976,0,0,2178.77,148.0625,71.360001,34.439789,3090.613,27.57091,29.765129,38.92363,10.97112,21.46524,483.77881,1.526417,0,21.083639,24.51807,0.28620321,6.2010689,11.82973,98.549301,43.121281,256.24731,66.971542,45.697109,3.1482351,0,0.095401101,0.4770053,0.4770053,0.76320851,14.78717,0,10.58952,0.28620321,0.095401101,19.74802,0.095401101,4.1022458,2.957433,6.2010689,27.38011,7.536685,3.625241,1.908021,4.2930479,271.9884,0.38160431,1.526417,7.7274871,0.85860962,4.3884492,1.335615,1.240214,2.3850269,0.095401101,0.66780752,124.403,0,0,0,1.049412,0,29.28813,45.220112,2.957433,80.613899,3.2436359,72.791023,22.896259,40.068451,9.3493042,0.95401073,9.444705,0,33.104172,112.3825,0,3.9114439,91.394234,1.049412,12.68834,0,16.21818,0.1908021,15.74118,0.095401101,10.33193,2.6712301,1.6218179,133.9431,33.19957,0,22.037649,0,2.7666309,0.95401073,0,1.717219,6.4872732,0.28620321,0,0,0,10.78032,6.868876,5.8194652,26.807699,46.841919,24.42267,0
"Luxembourg",37.899811,6.3143368,0.1609627,0.1655616,0.40470621,0.0137968,0.0045989002,0,0.3449201,0.17016061,0.091978699,0.0137968,0.17935839,0.2207489,0.1563638,0.55187207,1.8763649,0.032192498,0.17935839,1.793584,3.4124091,0.4828881,0.1655616,1.1727279,3.918292,0.36331579,36.639709,0.64844972,97.42382,0,0,105.0305,7.1375461,3.4400029,1.660215,148.98711,1.329092,1.434868,1.8763649,0.52887738,1.03476,23.321199,0.073582903,0,1.016364,1.181926,0.0137968,0.2989307,0.5702678,4.750699,2.0787179,12.35274,3.228452,2.202889,0.1517648,0,0.0045989002,0.022994701,0.022994701,0.0367915,0.71283478,0,0.51048172,0.0137968,0.0045989002,0.9519794,0.0045989002,0.1977542,0.1425669,0.2989307,1.319894,0.36331579,0.17475951,0.091978699,0.20695201,13.11156,0.0183957,0.073582903,0.37251371,0.0413904,0.211551,0.064385101,0.0597861,0.1149734,0.0045989002,0.032192498,5.9970102,0,0,0,0.050588299,0,1.411873,2.1798949,0.1425669,3.8860991,0.1563638,3.5089869,1.103744,1.9315521,0.4506956,0.045989301,0.45529449,0,1.59583,5.4175448,0,0.1885563,4.4057789,0.050588299,0.61165828,0,0.78181881,0.0091979001,0.75882423,0.0045989002,0.49806461,0.1287702,0.0781819,6.456903,1.6004291,0,1.062354,0,0.1333691,0.045989301,0,0.082780801,0.31272751,0.0137968,0,0,0,0.51967949,0.33112329,0.28053501,1.2923011,2.2580769,1.177327,0
"France",1798.1,214.10001,13.4,4.5,3.7,0.40000001,1.3,0.013,19,1.8,2.0999999,0.69999999,1.1,3.9000001,1.5,11.3,50.099998,2.8,7.0999999,26.799999,158.5,4,5.5999999,53.900002,108.8,14.2,1086.5,37.400002,1358.1,2221.1279,107.0724,0,539.70001,364.20001,52.700001,0,56.700001,99.199997,79.800003,29.6,46.400002,2104.8999,0.40000001,0.5,59.099998,63.299999,6.1999998,21.4,62.299999,259.60001,114.4,437.29999,105.6,93.800003,1.3,0,0.2,8.5,82.5,19.9,25.200001,30.299999,185.3,0.89999998,4.0999999,19.5,0.80000001,3.9000001,22.9,66.699997,279,97.800003,20.200001,11,11.7,59.900002,2.4000001,2.7,4.8000002,0.40000001,0.40000001,0.69999999,4.9000001,59.599998,17.299999,1,79.199997,0,0,0,57.700001,0.40000001,219.2,232.89999,45.099998,320.20001,14.6,149.2,65.699997,306.79999,30.5,8.1000004,3.7,0.2,50.400002,365.5,0.2,0.1,212.89999,0.1,59.299999,0,203.2,2.3,70.800003,0.5,9.1999998,13.6,4.6999998,275.39999,47.700001,0,19.1,0,2.3,7.6999998,0,1.1,13.1,0.30000001,0,6.6999998,0,73.300003,7,10.8,20.799999,172.10001,62.5,0.017000001
"Switzerland",516.40002,52.700001,2.3,2.7,0.89999998,0.2,0.60000002,0.001,9.3999996,8.8999996,3.8,4.1999998,2,8.3000002,8.6000004,7.4000001,1.1,0.011,4.3000002,14,36.200001,0.1,1.6,6,27,3.8,569.59998,11,255.5,229.535,11.06504,907.70001,0,66.300003,30.6,0,14.1,18,349,26.700001,40.599998,713,0.40000001,0.1,25.9,9.1999998,0.40000001,3.8,12.4,27.6,54.900002,235.89999,30.9,102.6,0.89999998,0,3.9000001,0.60000002,0.5,0.2,0.89999998,0.80000001,2.5999999,4.5999999,0,0.30000001,1.876,8,0.40000001,2,13.1,1,0.1,0,1.5,2.0999999,1.4,3.3,2.4000001,0,0,0,1.2,9.8999996,4.5,0.40000001,9.8999996,0,1.1,0.1,0.60000002,0.30000001,3.3,21.5,9.3000002,60.299999,5.5,12.8,18.700001,0.2,5.5999999,0.80000001,2.0999999,0,20.799999,8.5,0.1,0,16.9,0,0,21.200001,0,2.8,16.700001,0.30000001,9.6999998,1,2.0999999,185.5,13.1,0,3.2,0,0.69999999,1.8,0,0.1,4.5999999,0.1,0,0,0,6.0999999,1.2,3.8,10.2,14.7,5.1999998,0.003
"Spain",772.15002,70.610001,27.75,0.050000001,15.03,4.79,0.12,0.035,17.200001,4.9499998,1.67,0.02,0.55000001,0.62,4.4200001,40.029999,28.02,3.4200001,0.68000001,18.41,119.03,1.76,3.0899999,26.969999,148.61,7.4899998,390.04001,14.67,140.02,115.5688,5.5711489,488.16,134.57001,0,18.450001,0,3.6600001,22.040001,25.85,5.52,7.29,271.62,0.28999999,0,7.3299999,21.440001,3.22,2.4000001,8.9899998,13.04,26.540001,118.71,31.110001,32.759998,6.5100002,21.9,0.0099999998,0.12,1.0599999,0.0099999998,11.34,0.34,19.219999,9.71,0.07,7.5100002,0.74000001,8.0100002,0,6.3699999,37.400002,4.2259998,0.58499998,0.36000001,1.193,6.0500002,4.3000002,1.7,2.2,0.36000001,0,0.17,0.92000002,7.8299999,0,1.39,33.830002,0,0.059999999,0.75,0.56999999,0,28.790001,38.990002,8.1199999,123.84,4.8099999,65.550003,14.76,30.809999,24.809999,2.51,2.05,0,12.08,250.42999,0,2.9100001,52.48,33.98,0,0,0,0.029999999,1.97,0,0.95999998,0.41999999,1.33,111.03,4.3899999,0,4.9200001,0,1.22,2.4400001,0,0,3.98,0.029999999,0,0.029999999,0,30.620001,0.93000001,8.7600002,7.21,16.290001,4.4000001,0.011
"Portugal",121.56,15.37,0,0,0,0.030999999,0.37,0.052000001,2.3,0.11,0,0.98699999,0.0099999998,0.02,11.53,0,0.17,0,0,1.1799999,25.219999,0,0,0.090000004,7.7199998,2.1700001,241.75,1,45.490002,46.775139,2.2548571,117.26,72.82,83.82,0,0,0.2,15.23,24.98,0.059999999,2.4200001,92.139999,0.029999999,0,2.4200001,2.55,0.059,0,3.25,0.47999999,6.1100001,47.09,20.440001,18.969999,7.5700002,0,0.73000002,0.0099999998,0.44999999,0,0,0.85000002,0.44999999,0,0.029999999,0,0,0.0099999998,0,0.029999999,8.6999998,0.039999999,0.001,0.36000001,0.5,0.81999999,0.31999999,0,0,0.079999998,0,0,0.039999999,1.3,0,0.56,5.2399998,0,0,0,0.31,0,5.0700002,0,0,0,1.21,7.6500001,9.3599997,46.799999,1.58,0.0099999998,0.51999998,0,1.16,22.379999,0,0,0,16.219999,0,0,0,0,0.23,0,0.1,0,0.14,48.950001,0.28999999,0,6.04,0,0.0099999998,0.25,0,0,2.6500001,0,0,0.0099999998,0,3.8299999,0.12,0.16,0.70999998,4.3899999,2.7,0
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3183.533,153.4664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",25,0.69999999,0,0,0,0.0049999999,0,0.0020000001,1.7,0,0,0,0,0.25,0,6.9299998,0,0,1.66,18.969999,19.73,0,0,0,3.0899999,1.848,42,0.0099999998,47.299999,14.69176,0.70823592,94.400002,26.299999,10.36,0.31,0,0,309.63,34,178.92,0,25,0,0,68.470001,13.48,1.311,0,130.21001,0,16.290001,69.199997,9.8400002,21.25,0.486,0,0,0.0070000002,0.186,0,0,0,0,0,0,0,0,0.034000002,0,0.028999999,0,0.046,0,0,0.33700001,0,0.145,0.178,1.222,0,0,0,0,0,0,0,0,0,0,0,0,0.001,2.8199999,5.27,0.75999999,0,3.286,0,5.77,0.40000001,25.860001,3.4300001,1.87,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,29.4,0,0.0099999998,0,1.0089999,2.0280001,0,0,0.039999999,0,0,0,0,0.07,0.0099999998,0,0,13.77,0,0
"Poland",89.019997,11.87,0,0.017000001,0,4.8280001,0,0,2,0,0.31200001,0,0,0.42699999,0,6.3299999,0,0,3.2,9.4899998,21.950001,0,0,3,16.440001,0.92799997,214.55,3.3599999,63.119999,39.152599,1.887403,81.32,54.830002,15.5,1.27,0,503.92001,0,73,202.36,392.87,89.949997,0.27000001,0,96.75,9.8400002,0.565,82.769997,87.620003,1567.79,24.49,59.830002,20.27,65.169998,2.45,0,0,0,0.077,0.34099999,0.87400001,0,1.65,0,0,0,0,1.206,0.82200003,0.054000001,0.40000001,0.97899997,0,0,0.829,0,1.896,2.7249999,1.33,0,0,0,0,1.785,0,0,0,0,0,0,0,0,12.96,7.04,6.6399999,0,6.0640001,0,9.8100004,0.30000001,31.02,3.3900001,0.64999998,0,0,0,0,0,0,0,0,0,0,0.001,22.959999,0,0,0,0,42.830002,32.450001,0,20.52,0,0,3.2390001,0,0,1.17,0,0,0,0,11.7,7.8899999,0,0,16.23,4.3600001,0
"Austria",155.5,15.5,0,0.001,0,0.001,0,0,4.4000001,2.9000001,2.8,2.3,1,4.0999999,3.3,4.4000001,0,0,3.5999999,9.8000002,38.599998,0,0.5,5.9000001,6,5.0999999,277.20001,2.0999999,118.2,67.734756,3.2652431,153.7,311.20001,16.700001,16.9,0,25.799999,54.799999,0,62.200001,85.300003,280.39999,0.1,1.1,47.5,11.1,1.5,12,33.700001,106.5,22.9,118.7,19.1,56.900002,0.89999998,0,0,0,0,0,0.30000001,0,2.2,0.2,0,0.0089999996,0.003,5.9000001,0,0,5.0999999,0.5,0,0.66000003,0.043000001,0,2,1.6,0.89999998,0,0,0,0.89999998,8,0,0,20.6,0,0,0,0,0.0060000001,1.4,4.8000002,3.3,10.2,0.5,6.9000001,22.700001,44.599998,5,2.4000001,3.9000001,0,10.9,1.4,0,0,0,0,2,0,0,0.40000001,11.1,0,2.3,0,3.3,56.099998,3.7,0,1.2,0,0.30000001,1.4,0,0,3.0999999,0,0,0,0,6.0999999,0.17,4.5999999,1.5,7.0999999,1.8,0
"Hungary",49.509998,9.0200005,13.93,0,0,0,0,0,0.60000002,0,0,0,0,0.285,0,2.3900001,0,0,4.8299999,7.7399998,15.38,0,0,0,5.1599998,0.48300001,59.639999,1.62,39.599998,22.104429,1.065573,75.629997,30.35,11.16,0.69,0,291.51999,137.36,86.089996,0,225.17,104.38,0,6.5799999,58.279999,8.7200003,0.033,44.98,73.120003,916.20001,8.8999996,23.23,5.0900002,11.18,0.82599998,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0,0,0.69999999,0.12800001,0,0,0.25600001,0,2.0079999,0.21600001,0.0049999999,0,0,0,0.012,0,0,0,0,0,0,0,0,0,3.46,2.3099999,0.090000004,0,5.0500002,5.96,14.48,9.7399998,13.84,2.9400001,1.59,0,3.0599999,0,0,0,0,0,0,0,0,0,15.03,3.3599999,0,3.8199999,0,17.969999,23.75,0,6.96,0,0,0.53799999,0,0,0,0,0,1.33,0,6.98,0.18000001,0,0,7.52,0,0
"Czechoslovakia",39,6,0,0.014,0,0,0,0,0.30000001,0,0.0049999999,0.068999998,0,0.205,0,0.88999999,0,0,1.0700001,11.57,9.7600002,0,0,0.15000001,7.7600002,4.6609998,48.299999,0.60000002,42.400002,23.46866,1.131338,63.599998,41.400002,10.4,2.4300001,0,0,273.35999,69.800003,146.52,0,76.699997,0.059999999,0,115.14,14.3,1.647,0,122.49,0,15.84,35.700001,7.5,14.62,0.30000001,0,0,0.0070000002,0,0,0,0,0,0,0,0.285,0,0.25,0,0.65399998,0.80000001,0.071000002,0,0,0.35699999,0,0,0.389,0.26899999,0,0,0,0.458,0.0060000001,0,0,0,0,0,0,0,0,5.3400002,2.5,2.8499999,0,2.9760001,0,11.83,0.1,40.599998,2.4200001,2.6900001,0.34,0.93000001,0,0,0,0,0,0,0,0,1.326,0,0,0,0,0,14.8,39.330002,0,11.53,0,0,0.52600002,0,0,0.23999999,0,0,0,0,5.1900001,1.26,0,0,5.6700001,2.1900001,0.001
"Italy",1431.7,245.8,11.1,3.5,1.7,0.059999999,3.5999999,0.0080000004,23.4,16.200001,5.5999999,0.60000002,2,8.1999998,7.9000001,6.1999998,57.700001,1.3,6.9000001,28.299999,202.60001,0.69999999,1.7,73.800003,307,24.5,579.20001,11.1,715.90002,557.42841,26.871571,2247.8999,340.89999,201.60001,28.299999,0,38.599998,166.60001,282.60001,140,73,0,2.8,8.3999996,266.79999,67.599998,3.5999999,54.5,118.3,297.10001,55.599998,210.8,67.800003,117.8,6.4000001,0.1,1.1,1.3,5.5,2.0999999,12.6,2.3,56,1.4,2.7,47.599998,1.1,13.7,1.4,6,74.800003,2,0.80000001,2.0999999,10.9,86.599998,2.0999999,4.5,7,1.5,0.5,8.1999998,8.1999998,70.300003,0,0.178,70.5,0,0,0,2.7,0.015,27.200001,71.300003,46,591.79999,27.799999,238.89999,61,346.70001,48.099998,33.400002,9.6999998,0.40000001,43.299999,428.29999,0.5,2.2,307.79999,0.2,34.200001,0,27.6,0.69999999,64.099998,0,17.299999,2.9000001,13.5,199.2,32,0,22.700001,0,1.7,7.0999999,0,0,14,0.1,0,0.69999999,0,67.300003,4.4000001,12.5,23.9,115.4,28.1,0.0060000001
"Malta",7.3200002,1.9400001,0.62,0,0,0.02,0.0099999998,0,0.079999998,0,0,0,0,0,0,0,0,0,0.090000004,0.090000004,0.38999999,0,0,0,0.14,0,57.619999,0.58999997,5.5300002,3.167315,0.1526846,5.2199998,1.09,2.02,0.059999999,0,0.75999999,0.19,1.91,0.69999999,0.81999999,26.77,0,0,0.13,2.1900001,0.16,1.16,1.34,2.9400001,0.46000001,1.38,0.56999999,1.92,0,0,0,0,0.015,0,0,0,0.18000001,0,0,0,0,0.2,0,0.14,0.0099999998,0,0,0,0,0,0.0099999998,0.0099999998,0,0,0,0,0,0.001,0,0.0099999998,0.20999999,0,0,0,0.02,0,0.07,0,0.18000001,0.059999999,0,0.02,0.43000001,0.0099999998,0.0099999998,0.2,0.11,0,1.39,0.0099999998,0.028000001,0.13,0,0,0,0,0,0,1.08,0,0.15000001,0,0.02,4.2199998,0.38999999,0,0.17,0,0,0.15000001,0,0,0,0,0,0,0,0.0099999998,0.56999999,0.0099999998,0.039999999,5.0100002,0.25,0
"Albania",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,1.9,0.095401101,0.0045989002,1.3,1.7,0.12,0,0,0,0,0.40000001,2.05,0,8.3999996,0,0,4.1199999,0.27000001,0,0,4.48,0,0.059999999,0.69999999,0.029999999,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56999999,0,0,0,0,0,0,0,0.44999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",195.64999,21.65,8.3999996,0,0,0.02,0,0.001,0.039999999,0.061000001,3.3,0,0,0.31799999,1.33,3.5699999,2.99,0.38999999,3.21,13.41,23.129999,0,0.18000001,9.4499998,7.2600002,1.0599999,196.23,0.31999999,46.57,36.281021,1.748975,127.47,142.17999,8.7299995,0.33000001,0,91.879997,76.370003,152.49001,74.68,153.17,395.98001,0.0099999998,4.6500001,0,38.25,0.91000003,42.549999,50.119999,280.89999,2.46,46.57,7.7199998,12.78,0.12,0,0,0.0049999999,0.050000001,0.41999999,0,0,3.49,1.27,0,0.57999998,0,4.8499999,0.029999999,0.36000001,1.7,0.86000001,1.3099999,1.64,0.029999999,0.63999999,2.0799999,1.42,2.8699999,0,0,0.36000001,2.6400001,28.17,0,0,0,0.029999999,1.85,0.0099999998,0.079999998,0,9.3900003,3.8699999,1.83,0.41,2.1300001,30.059999,5.4299998,44.529999,12.31,2,3.1400001,2.1400001,8.2700005,0,0,0,0,0,0,0,0,0,2.9000001,0.02,0,0,0,44,51.09,0,12.94,0,3.1099999,0.99000001,0,0,1.8200001,0.0099999998,0,0,0,10.76,0.1,0.07,0.22,31.57,4.0300002,0
"Greece",139.08,65.440002,0,0.0099999998,0,0.0070000002,0,0,0.34,0.003,0.02,0,0,0.11,5.7600002,0.49000001,0.15000001,0,0.55000001,0.83999997,13.8,0,0.58999997,0.40000001,14.38,13.41,153.89999,3.8,74.160004,63.184132,3.0458741,154.67,39.07,23.59,2.4400001,0,7.0900002,11.51,31.629999,7.6900001,18.389999,192.7,0.28999999,0.40000001,35.41,0,1.8,12.98,14.49,31.23,31.26,37.310001,17.299999,12.81,1.73,0,0,0.88,0.47,0.153,0.25999999,0,3.2,0.050000001,0.039999999,3.1800001,0.0089999996,6.1199999,0.07,1.7,2.0999999,3.0599999,0.025,0.0099999998,1.61,3.22,0.25,0.38,0.41999999,0,0.19,0.80000001,1.5,6.3590002,0.0099999998,0.22,20.700001,0,0,0,0.63999999,0,4.3499999,0.07,5.3299999,0.77999997,0.85000002,0.039999999,5.5700002,37.25,5.8499999,28.790001,2.78,0.0099999998,8.9899998,4.52,0.22,0.13,0.0099999998,0,0,0,0,0.14,1.03,0,1.36,0,0.63,221.05,1.75,0,1.3,0,0.029999999,0.44,0,0,0.88999999,0,0,0,0,2.8299999,0.34,0.029999999,0.61000001,30.440001,25.370001,0
"Cyprus",14.541,2.3299999,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0.02,1.184,0,0,0,0.84100002,0.186,74.708,1.327,11.17,3.854203,0.1857969,14.11,2.2420001,3.7980001,1.595,0,1.225,0.46000001,2.395,0.83099997,3.539,26.507,0.235,0,1.931,15.68,0,0.926,1.817,9.3660002,2.4089999,5.2740002,0.80299997,3.3540001,0.017999999,0,0,0,0,0,0,0,0.126,0,0,0,0,0.12800001,0.123,0,0,0,0,0,0,0,0,0.037,0.059,0,0,0,0.022,0.0080000004,0,0.001,0,0,0,0,0,0,0.1,0,0,0.027000001,0.093000002,0.15899999,1.989,0.055,1.151,0.13,2.711,0.0020000001,5.1350002,29.299999,0,0,0.032000002,0.001,0,0,0,0,0.113,0,0.20200001,0,0.081,11.475,1.711,0,1.1849999,0,0,0.085000001,0,0,0.18700001,0,0,0,0,0.206,0.33199999,0,0,0.426,1.971,0
"Bulgaria",4,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74000001,0,0,0.44999999,3.7,6.71,0,0,0,1.58,0.28200001,24.700001,0.02,9.5,7.7274871,0.37251371,48.200001,14.3,6.6100001,0.17,0,0,87.43,30.299999,34.669998,0,52.900002,0,0,28.219999,8.7200003,0.83600003,0,27.34,0,2.8499999,9.1999998,1.59,2.6600001,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.037,5.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3899999,13.2,6.0599999,0.69999999,0.47999999,0,4.5799999,2.2,9.9700003,8.6000004,1.8200001,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,18.370001,0,6.8600001,0,0.207,0.102,0,0,0,0,0,0,0,1.08,3.45,0,0,0,0,0
"Romania",69.220001,8.7700005,16.23,0,0,0,0,0,0.2,0,0,0,0,0,0,1.58,0,0,0.34,4,6.6399999,0,0,0,6.8000002,0,126.42,0.31,34.529999,28.98284,1.397156,147.96001,44.599998,7.5,2,0,168.63,79.029999,66.860001,74.959999,164.3,117.69,0,5.5700002,47.07,9.5200005,1.63,43.59,0,533.21997,10.89,25.34,0.79000002,7.1700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50999999,0,0,0,0,0,0,0,0,1.557,0.77499998,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86000001,10.82,2.25,2.3800001,6.1599998,34.130001,5.0599999,10.8,16.65,1.28,1.65,0.13,11.41,0,0,0,0,0,0,0,0,0,98.360001,2.1300001,0,11.75,0,39.389999,20.809999,0,4.4200001,0,0,1.05,0,0,0.62,0,0,0,0,0.2,9.7700005,0,0,2.27,0,0
"Russia",166,125.4,0,0,0,3.9560001,0,0,0.60000002,0,0,0,0,2.2539999,0,5.9099998,0,1.549,2.3299999,0.18000001,44.790001,0,0,0,30.35,1.602,216.60001,0.52999997,46,59.625671,2.8743341,256.20001,47.200001,10.1,0,0,0,1387.21,69.599998,645.19,0,294.79999,0,0,268.23001,20.360001,5.3109999,0,566.59998,0,254.10001,87.300003,19.120001,25.389999,12.216,0,0,0.60299999,0.003,1.165,0,0,10.5,0,0,0.0020000001,0,7.7309999,7.1690001,4.0110002,48.900002,0.0020000001,0.075000003,0,0.63200003,0,0,1.098,0.616,0,0,2.174,2.7290001,0,0,0,0,0,0,0,0,0,17.59,56.25,7.1399999,0,52.705002,0,34.25,3.4000001,313.35001,29.43,2.9000001,0,0,0,0.34999999,0,0,0,0,0,0,38.604,0,0,0,0,0,377.70001,287.48001,0,36.52,0,1.53,16.323,0,0,6.0300002,0,0,0,0,49.759998,37.77,0,10.2,68.059998,27.4,0.0020000001
