"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Cambodia",2.6400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0.11,0.1048454,0.0051545999,1.54,0,0.098999999,0,0,0,0,0,0,0.91791701,0.11,0,0,0,0,0,0,0,0,0,0,0.044,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66000003,0,0,0,0,3.6300001,0.021784555,0,0,0,0,0.0033,0,0,0.20900001,0,0,0,0,38.862999,0,0.22,0,0,0,0,0,0,0
"Laos",1.2387892,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18670553,0,0.035889398,0.095314004,0.0046859998,1.9339951,0.12016901,0.07,0,0,0,0,0,0,0.0028227619,0.59842551,0,0,0,0,0,0,0,0.0064520268,0,0.028227618,0,0.035486147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063713767,0,0,0,0,0,0,0,0,0,0,0,0,0.078230828,0,0,0,0.028227618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9366074,0.16291368,0,0.0048390203,0,0,0,0,0,12.689121,0,0,0.084279604,0.013307306,0.17662424,0.11129747,0.01693657,0.087505616,0,0.020162584,0,0,0,0
"Vietnam",22.77,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,3.8499999,3.1453631,0.1546367,35.75,2.0899999,0.22,0,0,0,18.26,0,12.386,21.9594,12.87,0,0,0,1.617,0,0,5.2909999,0,1.331,12.76,0.088,1.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,131.34,12.787534,0,0,0,1.8448792,0,0,0,0.99000001,0,0,0,1.012,49.533001,0,0.44,2.3099999,0,0.89099997,0,0,0.0572,0
"Malaysia",2127.29,121.82,0.1,7.9699998,0,0.02,0.13,0.02,0.0049999999,0,0,0,0,0,0,7,0,0,0,0,0.24699999,0.077,4.8400002,0.029999999,0.0099999998,0.07,0,0.02,5.4400001,32.880001,66.93,0.31999999,3.3599999,32.630001,0.23,469.14999,11.26,114.34,89.042374,4.377624,339.94,75.510002,40.119999,2.4000001,0,3.6900001,24.66,16.200001,1.05,6.1799998,127.12,0.0099999998,0,9.8900003,0.23999999,0.20999999,0.74000001,7.8000002,16.59,17.780001,124.58,29.959999,23.52,1.59,0,0,0,0,0,0,0,0,0,0,7.6700001,0,0.123,0,0.050000001,3.3399999,0.17,0.85799998,0.029999999,0,0,0,0,3.03,0.36000001,5,9.5500002,0,0,0,0.0099999998,0.02,0.0099999998,5.8800001,25.860001,0.87,0.12,0,0,0,0.039999999,0.67000002,0,0.0099999998,0,1.5,0,0,1.95,1,96.360001,2.3599999,0.82999998,2.3699999,0.0099999998,0,5.79,0,569.64001,0.13,0.050000001,0.0099999998,10.78,54.810001,0.40000001,0.029999999,0,269.51001,0,353.32001,1.45,238.92999,3361.6499,94.629997,0,22.969999,5.5999999,28.52,5.1399999,0.02,0.0099999998,397.70001,0,13.01,8.3900003,0,1844.53,158.7,97.309998,541.76001,0.28999999,103.6,0,0.050000001,10.48,0
"Singapore",4261.3198,103.74,0,0.27000001,0.066138051,0,0.154,0.28999999,0,0.0099999998,0,0,0,0,0,7.7600002,0,0.139,0,0.227,0,0.30899999,21.85,1.26,8.2600002,0.018999999,0,0.18000001,0.98000002,70.099998,0.0020000001,0.44,5.6500001,37.169998,0.43000001,778.25,20.030001,239.78999,112.28,5.520061,495.82999,205.06,58.959999,15.52,0,20.08,12.09,38.709999,5.7800002,13.08,362.82999,0.13,0,3.3599999,4.8400002,8.7299995,2.6099999,68.93,46.740002,32.5,114.1,55.630001,111.32,0.22,0,0,0,0,0,0,0,0,0,0,22.67,0,0,70.309998,0,6.8000002,0,0,0.059999999,3.825,0,0,0,0,9.0600004,55.369999,23.440001,0,0,0,0,3.092,0,19.02,0.38999999,5.1399999,0.059999999,0,0,0,0,10.6,0,0.93000001,0,1.3099999,0.11,0.059999999,8.5600004,1.38,578,4.7800002,3.8399999,34.610001,18.15,0.02,17.129999,38.779999,3076.6201,0.17,31.84,728.90002,236.00999,48.66,670.21997,371.14001,0.15000001,827.04999,0,757.39001,4.77,428.09,5074.6401,348.47,0,57.27,8.1000004,70.300003,74.339996,4.5799999,0.73000002,505.54001,0.68000001,1.45,33.400002,4087.98,0,128.34,3127.8999,531.01001,17.15,85.540001,1.4402372,0.41299999,10.48,0.079999998
"Philippines",1831.25,62.490002,1.1,0,0,0.63,0.001,0,0.0040000002,0,0,0,0,0,0,80.290001,0,0.31999999,0,0.029999999,0.93000001,0.28,0.029999999,2.72,1.99,0,0,0,4.23,103.86,0,0.02,0.22,0.61000001,0.029999999,177.8,9.7700005,82.800003,58.41798,2.872025,93.760002,45.75,26.01,1.5,0,3.23,1.77,12.76,0,7.5700002,56.450001,0,0,2.46,0.14,0.0099999998,4.46,1.95,17.27,7.8499999,34.73,5.9699998,61.799999,2.05,0,0,0,0,0,0,0,0,0,0,0.76999998,0,0,0,0,0.029999999,0,0.62,0.0099999998,0,0,0,0,0.49000001,0,0.86000001,0,0,0,0.0060000001,0,0,0,20.059999,0,4.0599999,0,0,0,0,0.54000002,0,0,0,0,0.029999999,0,0.0099999998,0,1.53,34.700001,0.039999999,12.89,0.28,6.9699998,0,0,5.23,840.53003,0,0,292.95001,0.039999999,36.040001,259.29999,8.46,0,79.599998,0,224.8,0,161.33,1342.14,9.2600002,0,4.6199999,0.050000001,0.0033899199,49.889999,0,0.059999999,50.369999,0.19,0,0,158.92,289.84,0,176.75,199.02,7.98,69.699997,0.02,0,0.021,0
"Indonesia",2533.7,186,0.60000002,0,0.20708799,0,0,0,0.249,0,0,0,0,0,0,9,0,0.2,0,0,0.1,0.039000001,0.40000001,0,2.0999999,0,0,0.1,9.8000002,64.400002,0,0.30000001,18.4,23.4,0.2,364.39999,8,257.29999,117.9988,5.801219,591.09998,84.199997,220.2,1.1,0,9,13.5,97.5,4.4000001,6,124.7,0,0.1,10.5,2.9000001,0,4.5999999,30.6,24.9,22.9,106.7,27.200001,20.5,0.041000001,0,0,0,0,0,0.40000001,1,0,0,0.2,22.59,0,0,0,0,0.89999998,0,0.0049999999,0,0,0,0,0,0,0,2.5,2.2,0,0,0,0,0,0,17.4,14,2.3099999,0,1.1,0,0,0,0.1,0,0,0,54.200001,3.0999999,23.9,0,1.2,0.60000002,12,1.1,4,0,0.1,13.1,1.6,905.40002,0,0,36.5,4.21,0,0.087143287,0,0,204,0,510.5,7.4000001,387.5,3793.1001,55.099998,0,38.299999,6.5,53.799999,1.174,0,0,208.7,0,0,1.8,60,3464.5,181.60001,0,402.29999,0.1,72.300003,0,0,0.0099999998,0
"Australia",4691.3301,415.88,3.4100001,0.63,0.47,0.18000001,1.41,0.23,0.15000001,0.1,0,0.02,0,0,0,29.84,0,0.95999998,0.25,0.039999999,0.43000001,0.99000001,0.029999999,7.0700002,0.23,0.003,0,4.4899998,3.5599999,144.89999,0.16,0.0099999998,2.0899999,10.81,0.44999999,1448.15,95.970001,304.76001,125.2427,6.157351,464.67001,205.28999,69.860001,18.01,0,6.77,9.8699999,50.490002,4.3499999,16.51,670.65002,1.25,0.0099999998,16.17,17.959999,0.75999999,3.1900001,45.299999,11.43,124.66,282.20999,52.580002,86.400002,0.86000001,0,0,0,0,0,0,0,0,0.0099999998,0,7.8099999,0,0,0,0.07,4.79,1.14,0.092,0.49000001,0,0,0,0.091585524,0.17,8.79,2.3299999,2.8699999,0.19,0.050000001,0,0,0.72000003,0,0.38,0.07,4.0300002,4.8800001,94.029999,0.18000001,0,1.7,1.17,0,0.63999999,0.0099999998,0.31999999,0,0.1,0,0.27000001,2.3699999,4.9699998,2.8800001,0.14,0.0099999998,0.31,1.17,53.310001,811.56,0,0,324.94,34.630001,54.240002,350.47,35.810001,30.59,253.09,0,697.20001,0.19,306.12,4690.6899,127.26,0,34.950001,17.33,1.5,9.7799997,0,0.12,102.09,0,0,4.4299998,184.99001,455.41,82.519997,251.5,0,73.269997,753.52002,0.12,1,26.15,1.85
"Papua New Guinea",106.313,4.6810002,0,0,0,0,0.0089999996,0,0,0,0,0,0,0,0,0.037999999,0,0,0,0.001,0,0,0,0.02,0,0.013,0,0.013,0.60799998,4.072,0,0,0,0.0040000002,0,41.465,0.21699999,2.6689999,1.305802,0.064197697,3.918,4.6680002,0.90499997,0.046,0,0.108,0.061999999,2.8069999,4.8119998,0.17399999,1.826,0,0,1.0089999,0.0080000004,0,0,0.0070000002,0.089000002,0.19599999,2.507,1.638,1.443,0.001,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0.014,1.608,0.022,0,0,0.046999998,0,0,0,0,0.001,0,0,0,0,0.026000001,0.025,0.0040000002,0,0,0,0.0049999999,0.30500001,0,0,0,0,0,0,0,0,0.001,17.118,0,8.7390003,0.057999998,4.678,164.886,0.71799999,0,0.037,0.47,3.757,0.054000001,0,0,2.457,0,0,0,4.0560002,143.66901,4.3330002,1.659,424.255,0,53.347,0,0.046999998,0.27599999,0
"New Zealand",829.81,120,2.25,0.0099999998,0.02,0,3.47,0.059999999,0.090000004,0,0,0,0,0,0,5.5599999,0.003,0.090000004,0,0.090000004,0.079999998,0.23999999,0.039999999,0.17,10.1,0.33000001,0,10.12,0.25999999,27.23,0,0,0.75,2.5,0.1,457.69,11.67,104.36,29.061251,1.428749,74.449997,45.470001,13.91,3.3,0,0.94999999,1.15,12.52,0.83999997,2.6199999,89.849998,0.22,0,9.9300003,1.76,0.02,0.059999999,0.38999999,5.5500002,8.0900002,43.639999,16.870001,48.799999,0.16,0,0,0,0,0,0,0,0,0,0,0.77999997,0,0,0,0,6.0799999,0,0.050000001,0.02,0,0,0,0,0.059999999,0.69,1.21,1.96,0,0,0.0020000001,0,0.11,0,0,0.079999998,1.95,0.62,11.66,0,0,0,0.22,0,0.18000001,0,0.11,0,0,0,0.059999999,21.98,0.44,1.76,0.050000001,0,0,2.24,7.29,115.78,0,0,24.200001,19.889999,0.13,0.07,0.0099999998,0.050000001,35.049999,0.0099999998,64.580002,0,51.130001,969.59003,21.540001,0,3.71,3.74,0.1,5.0700002,0,0.050000001,16.969999,0,0,0.07,27.690001,221.2,9.1099997,236.07001,1028.79,6.46,0,0,0.72000003,11.21,5.23
"Vanuatu",0.523,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.385,0.029999999,0.15099999,0.1143768,0.0056232,4.8099999,0.050000001,0.111,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0.18099999,0.081,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71499997,0,0.292,0,0,6.2389998,0.0099999998,0,0.0099999998,0.039999999,0,0,0,0,0.050000001,0,0,0,0.039999999,2.4349999,0.050000001,0.0099999998,17.771999,0.493,6.0079999,0,0.76499999,3.895,0
"Solomon Islands",2.7279999,0.116,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.987,0.02,0.30000001,0.1906281,0.0093719,0,0,0.07,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093000002,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.874,0,0.32800001,0,0.5,12.912,0,0,0,0,0,0,0,0,0,0,0,0,0.17,12.47,0,0,22.049,1.359,4.5929999,0,0,0.53799999,0
"Fiji",18.784,2.7179999,0,0,0,0,0.0080000004,0.0020000001,0,0,0,0,0,0,0,0.063000001,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25099999,0.36399999,0,0,0.0020000001,0.077,0,24.476,0.044,2.2160001,1.448773,0.071226597,2.7060001,1.36,0.18799999,0.050000001,0,0.052999999,0.061999999,1.158,0.094999999,0.32300001,1.554,0.0080000004,0,0.001,0.0020000001,0.003,0,0.022,0.023,0.0040000002,0.79000002,0.18099999,1.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0.064999998,0.064000003,0,0,0,0,0,0,0,0.001,0.016000001,0.19400001,0.138,0,0,0,0.046999998,0,0,0,0.046999998,0,0,0,0,0.0070000002,0.013,0.028000001,0.052000001,0,0.057999998,0,0.0070000002,0.014,0,0,0,0,0,0.087143287,0,0,10.471,0,9.96,1.183,3.8499999,81.472,4.9070001,0,0.40599999,0.0060000001,0.016000001,1.277,0,0,1.9630001,0,0,0.013,0.861,20.037001,5.8610001,0.84500003,185.554,0.07,79.144997,0.048999999,0.026000001,0,0.26899999
"Samoa",4.8562217,0.03836957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79500258,0,0.017077077,0.047657002,0.0023429999,0.025311762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9874148,0,0.66874659,0,0.60000002,6.1851301,0.069388837,0,0.016273223,0,0,0,0,0,0.059999999,0,0,0,0,2.8105562,0,0,11.737644,0.0049999999,15.81405,0.016172264,0,2.8691094,0
