"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","India","Pakistan","Nepal","Thailand","Philippines","Australia","New Zealand"
"Costa Rica",0,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0077,0,0,0,0,0,0,0,0.0001,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,1.87,0.08,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2.42,0,0,0.4827,0,0,0,0.0003,0,0.35,0,0,0,0,0,0,0,0,0,0.5988,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.8243,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0.66,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7777,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0.3151,0.001,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897,0,0,0,0,0,0.53,0,0,15.6819,0,0,0,0.02,0,0.01,0,0,0.0004,0,0,0,0,0,0,0.59,0.11,0,0,9,0,0,0,0,0.0013,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,26.67,0,0,131.7547,0,0,0,1.99,0,11.92,0,9,0,0.51,0,0,0,0,0,0.73,11.51,0,0,0,0,0,0,0,0.5,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3034,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",5.48,0.07,0,0,0,9.0011,0,0,0,9,0,0,0.01,0,0,0.0897,0.03,0,0,0,2.52,11.58,2.18,9,0,0,0,4.9637,1.03,0.1972,0.0796,0,0,0.115,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.0322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0011
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.177,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.56,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
