"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Burundi",6.206,0.134,0,0,0,0,0,9,9,0,0,9,9,0,0,9,0,0,0,9,0,0,0,0,9,0,0,9,0.119,0.023,0.546,8.2726,0.4474,2.061,0.401,1.652,1.21,0,0.468,0,0.1,0,0.356,1.008,0,9,0.1,0.171,0.002,0,0.536,0.597,0.01,0.549,0.15,0.09,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,9,0,1.131,0.02,1.334,0.645,0,0.501,0,0.037,0.0045,0,0,0,9,0,0,9,0,9,0,0,0,0,2.517,0,0,0,0,0.008,9.038,0,0,0,0,9,0,9,0,0,9,1.549,0,0.222,0.008,0,1.855,0.093,0,0.136,0.05,0,0,0,9,0,0,0,0,0,0.042,0,0,9,0.055,0.03,0
"Rwanda",19.127,0.051,0,9,9,0,9,0,0,0,9.01,0,0,9,0,0,9,9.006,0,0,9,9,0,0,0,9,0,0,0.94,0.451,0.386,2.9884,0.1616,2.622,0.377,0.159,0,0,0.888,0.408,0.031,0.012,0.164,3.576,0,9,0.013,0.005,0,9,0.079,0.946,0.007,0.243,0.005,0.485,0,9,9,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0.317,4.699,0.435,0.501,0,0,0.852,0,0,0.05,9,9,0,0,0.003,0,0,0,0,0,0,3.925,0,0,0,9,9.002,0,0.04,0.266,0.031,0.015,0,9.002,9,0,0,9,2.307,0,0,0,0,5.124,0.105,0,0.33,0.04,0,0,9,0,0,0,9,0,0,0.19,0,0,9,0.503,0,0
"Somalia",3.128,0.7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0.03,0,0,0,0.17,9,1.138,0.02,1.2,0.0949,0.0051,2.2,3.2,0.05,0,0,0,0,0.4,0,0.337,27.17,0,0,0.25,0.39,0.015,0,0,12.317,0.11,1.8,35.3,0.4,0,9,0,0,0,0.001,0,0,0,0,0,0,0.003,0,0.001,9,0,0,0,0,0,0,0,0.647,6.175,0.411,0,0,0,1.808,0.001,0,0,0,0,0,0,0,4.899,0,0,0,0,0.017,1.476,0,1.581,0.364,0,0,0.85,9,24.647,1.062,0.583,2.3,0.12,10.7,2.5,0.82,0,6.584,0,0,9,0,2.029,0.522,0,6.02,0,0,0.022,0,9,4.847,0,0,0,0,0,1.996,0,0.4,0,0,0
"Ethiopia",53.479,0.108,0,0,9,9,0.026,0,0,0,0.349,0.187,9.001,0,0.002,0.004,0.671,0,0,0,0,0,0.956,0,0,0,0.111,9,9.955,0.035,0.307,1.5938,0.0862,9.724,4.754,4.295,1.494,0,0.012,2.861,0.498,1.142,1.542,21.596,0.02,0.03,9.12,4.081,0.155,0.14,0.34,2.308,3.097,3.236,0.391,1.016,0.001,9.006,0,0,9.004,0.02,0,0.034,0.002,0.009,9,9,0.017,9,0.32,0,0.004,0.007,0,0,0,0,0,0,6.537,0.314,0.037,0.852,1.808,0,0.5875,0,0.513,9,0,9,0,0.011,0.872,0.015,0,0.083,0.198,0.761,23.218,0.371,3.019,5.231,0.067,1,2.213,0.111,7.198,9.103,1.565,0.191,0,0,0.244,0,0,3.494,0.204,2.254,0.046,0.917,8.309,2.756,0,0.265,9.14,0.001,1.416,0,9,2.135,9,0,9,0,0.382,1.483,0.008,0.003,0.181,0.09,0
"Zambia",55.6227,12.6089,0.0073,0.0018,0,0,0.6942,0.0118,0,0,0.0255,0,0,0,0,0,0,0.0655,0,0.0045,0,1.27,70.6081,0,9,0,0.9273,0,21.8691,1.7982,17.6545,9.8759,0.5341,134.6145,2.9318,18.8682,1.8118,0,0.08,0.0427,5.4091,0.1527,2.0664,143.9864,0.0036,0,37.5327,13.3318,0.0543,9.0018,1.1064,0.3442,2.69,5.4118,3.5591,4.3445,0.0018,0,0,0.0073,0,0.0082,0,0,0,0.1691,0,0,0.004,0.0255,0.0017,9,0.827,0.0544,0.1082,9.211,0,0.809,9.1264,0.154,12.8088,3.5777,0.0045,0,0.001,0.5875,0,0.4291,0.7775,54.8642,0,4.1847,3.3708,0.0891,0.1826,0.0036,0,1.05,0,0.0009,10.7339,0.0073,0.4645,1.7955,0,0.2973,0,5.7318,56.9383,0,0,0.2755,0,0,0,0,0,3.7468,0,1.8273,9.0391,0.0109,246.0164,29.7636,0,0.2309,2.0973,0,0.1245,0,9,0.6273,0,0,0,0,1.8855,3.7055,0.0682,0.04,19.5542,2.1727,0
"Zimbabwe",20,0,0,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,9,0,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,9,0,30.2,0,0,0,0,0,0,0,0.4291,0,15.365,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
"Malawi",5.269,0.467,0,0,0,9,0.093,0,0,9,9,0,0,0,0,9,0,9,2.3,0,9.1,0,0.03,0,0,0,0.01,9,5.752,5.894,0.498,2.0397,0.1103,0.302,0.371,0.613,0.355,0,9,0.006,0.554,9,9.019,1.355,0.02,0,0.147,0.04,0.001,0,9,0,0.06,0.565,1.156,0.806,0,0.476,0,0.378,0,0.014,9.06,0,0,0,9,0,0.568,1.424,0.005,0.116,0.115,0,0.072,0,0,0.09,1.846,0.002,1.153,1.213,0,0.05,0,0.513,0.7775,15.365,0,39.159,9,0,0,0,0.014,0,0,0.04,0,0,5.764,0,0,0.84,0,9,9,0.097,0.269,9,9,0,0.01,0,0,9,0,0,0,0,9,0,6.635,2.34,0,1.632,0.04,0,0,0,0,0,0,0,9,0,0.55,1.348,0,0,1.647,0.858,0.104
"South Africa",507,56,5.23,0,0,9,0.059,0.5,0,0.014,1,0.243,0.358,0.204,0.146,0.257,0.58,0.62,0,0,0.6,3.11,8.967,0,0.48,3.35,9.41,3.638,64,2.87,160.9,98.0949,5.3051,99.1,144.6,28.35,19.12,0,0,0,10.5,0,0,77,0.13,0,0.08,26.12,0.032,0,0,0,29.6,108,16.21,26.62,0.471,0.083,0,9,0,0,9,9,9,0,0,0,0.005,0,0,0,0,0,0,1.292,0,6.23,35.8,0,0,0,0,9,0,9,54.8642,0,39.159,0,0,0,0,0,24.134,0,0,9,9,0,64.7,0.35,9,0,9,0,0,14.6,0,9,0,0,2.46,9.37,17.9,0,0.15,0,0,0,0,4.6,188.2,0,0,0.05,9,0,9.141,0,0,10,0,0.07,0,0,12.48,0,3.3,0.1,72.68,4.82,0.891
"Lesotho",13,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0.6,9,9.6,1.1384,0.0616,0.2,0,0.02,9,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.003,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,9,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0.23,0,10.07,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9.01,0
"Botswana",1,0,0,0,0,9,0,0,0,0,0.6,0,0,0,0,0,0,9,0,0,0,9.24,9,9,0,0,0,0,2.7,0.02,9.1,9,9,0.4,0.2,0.16,0.05,0,0,0,9,0,0,10,0.02,0,5.18,0,9.001,0,0,0,9.1,9,9,0.72,0,0,0,0,0,9.337,0,0,0,0,0,0,9,9,2.35,0,0,0,2.767,0,0,0,0,0,0,0,0,0,0,9,4.1847,0,0,0,0,0,0,9,0.038,0,0,0,9.9,0,0,9,10.9,0,0,0,9,0,0,0,0,0,0,9,9,0.03,0,0,0,0,0,0,3.6,0.19,0,0.06,9,0,0,0,0,0.13,0,0,0,0,0,0,9,0,0,9,0
"Swaziland",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.04,0,36.6,0.06,0,0.3795,0.0205,0.9,0,0.2,9.07,0,0,0,9,0,0,11.8,9,0,0.04,9,0,0,0,0,2.94,0.6,0.06,0.01,0.011,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.205,0,0,9,0,0,0,0,0,9.091,0.667,0.002,0,0,0,0,3.3708,0,0,0,0,0,0,9,9.052,0,0,0,0,0,0,9,9.1,0.02,0,0,0,0,0.3,9,0,19.2,9,9,9,0,0,0,0,0,0,0,35.3,1.48,0,0.15,0.02,0,0,0,0,3.45,0,9,0,0,0,0,2.9,0,0,0.63,0
"Madagascar",45.362,0.5,0,9,0.008,9,0,0,0,9,9,0.008,0.002,0,0,0.003,9,0,0,0,9,1.23,0.009,9,0,0,0.04,0.006,2.819,0.01,2.699,2.4381,0.1319,8.46,0.73,1.193,0.39,0,0,0,0.2,0.13,0,1.328,0,0,0.743,1.14,0.007,0,0,0,0.14,0.973,0.05,0.78,0.003,0,9,9,0,0.211,0.03,0,0.052,1.332,0,0,0.001,9,0.005,0.002,0.004,0.1,0.001,0.002,9,0.001,0,0,1.341,1.379,9,0.003,0,0.011,0.0891,0,0,0,0,9,9,0,1.247,0.319,0.557,0.38,0,0,0.819,0,0,0,0,0,0,0.11,6.6,9,0,3.1,0.02,0,0,0,0,0,0,0,0,0,6.572,0.307,0,0,0.07,0,0,0,9,6.79,9,9,0,0,0.268,5.5,0,8,0,0.38,0.013
"Mauritius",18.451,83.566,0.004,9,0,0.001,0.024,0.001,0.02,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.068,0,0,0,0.01,0,64.727,0.493,1.429,5.9957,0.3243,16.92,0.958,0.107,0.191,0,0.525,0.337,3.318,0.178,0.309,1.688,0.002,9,0.05,0.013,0.014,0.01,0.05,0.188,0.028,1.001,0.087,2.608,0,0,0,0,0,0.002,0,0,0.003,0.07,0,0,0,0,0.001,0.105,0,0.014,0.03,0,0,0.005,0.005,0.005,3.482,0.007,0,0,4.899,0.872,0.1826,0,0.014,24.134,9,0.038,9.052,1.247,0,0.188,0,0,0,5.448,4.76,0.009,7.9,0.022,0,0.002,0,1.97,1.3,0,1.481,0.284,0,0,0,0,0,3.379,0,26.199,0,0.505,15.105,4.509,0,1.044,0.37,6.986,0.116,9,0.004,13.381,0,9.229,0.014,0,1.547,5.456,0.036,0.989,14.208,3.938,0.006
"Morocco",148.2,3.77,0,8.29,0,32.13,0.002,0,0,9,9.83,0,0.291,0.092,0.709,2.509,0.01,1.23,0.07,12.131,1.87,0,5.011,0,0.41,0.04,12.78,1.695,70.81,23.24,3.99,63.5909,3.4391,74.96,1.22,23.78,13.69,0,7.16,62.8,3.99,8.07,4.08,71.99,0.22,3.61,65.06,5.96,0.105,8.99,39.04,26.94,0.71,9.12,7.5,3.47,0.063,0,0,0,0.006,1.674,1.011,0.56,0.315,17.36,1.08,0.035,0.407,0.087,0.213,0.187,0.774,4.1,4.111,0.087,0,0.077,3.16,0,0.18,0,9,0,0,0.015,0.0036,0,0,0,0,0,0,0.319,0.188,0,16.7,9.19,1.06,0,6.7,11.78,58.75,0.93,0.19,2.99,0.36,9,28.44,9,0,16.83,0,0,0,0,0,4.62,0,7.24,9,0.34,28.53,8.33,0,0.3,1.3,0,0.29,0,0,0.26,0,9,0,0,4.34,0.64,1.48,1.08,2.49,0.23,0.109
"Algeria",659.5,109.71,0,5.73,0,15.74,0.008,0,0.989,0,2.96,0.026,0,0,0,0,0,2.01,0.09,0,0,2.66,60.645,0,8.898,3.05,10.33,0,67.58,0.28,42.19,75.1555,4.0645,226.9301,18.34,138.44,0.25,0,13.87,9.27,28.16,2.98,2.91,80.1,0.16,0,4.49,14.21,0,7.76,48.4,36.62,18.05,30.75,31.14,12.37,0.133,0,0,0,0.137,0.5,3.98,2.95,3.174,23.54,1.21,0.152,0.001,0,11.887,0.02,1.501,0.7,0.748,0.249,0,0.312,7.9,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0,16.7,0,12.21,0.4,1.19,2.92,6.8,1.09,1.61,0.48,3.33,0,0,0.1,0,0,0.05,0,0,0,0,0,11.57,0,0,0.33,0,93.21,1.47,0,2.45,0.68,0,0,0,0,0.16,0,0,0,0,10.39,5.26,5.86,4.12,2.63,0.41,0
"Tunisia",68.48,16.11,4.09,0.45,0,9.42,0,0,2.724,0,4.97,0,0,1.67,0.25,0,0,0.22,0,10.394,0,0,33.921,0,5.736,6.15,9.31,6.281,26.46,4.36,9.2,16.8014,0.9086,161.72,28.58,15.79,1.82,0,2.43,2.78,3.77,3.64,6.38,52.37,0.84,0,8.22,39.82,0.321,8.48,13.83,5.7,5.29,18.5,4.08,3.43,1.844,0,0,0,0.037,0.139,0.069,0,0.019,3.33,0,0.227,0.003,0,0.005,0.098,0.811,0.12,0.17,0.267,0.01,0.585,1.53,0,0,0,0,0,0,0.083,1.05,0,0.04,9,0,0,0,0.38,0,9.19,12.21,0,22.75,2.747,1.78,0.51,38.61,0.82,0.84,0.77,0,0,38.2,0.01,0,0.08,0.05,9,0,0,0,3.25,0,0.45,0,0,5.39,2.16,0,3.41,0.46,1.085,3.24,0,0,0.35,0.01,0,0,0,0.69,1.15,0.44,1.33,0.3,0.4,0
"Libya",102.6,31.9,146.8,9.2,0,0,0,0,0,9,0.5,0.012,2,0.1,0,2.7,0.3,1.5,0,0,1.4,0.76,367.127,0,0,0,224.27,0,777.8,1.2,36.6,101.0359,5.4641,100.7,65.8,196.94,0.1,0,4.1,22.1,74.4,14.6,11.1,1679.2,5.99,10,41.39,66.64,6.496,5.9,29.67,36.2,5.67,29.8,7.02,20.51,0,0,0,0,0.091,0.172,0.004,0,0.473,0.38,0,0.007,0,0.1,22.299,0.096,0.18,1.4,0,0,5.7,0,9.5,2.098,2.1,0,0,0,0,0.198,0,0,0,9,9,9.9,0,0,0,1.06,0.4,22.75,0,4.689,0.8,3.81,0,19.22,3.13,98.9,0,0,0,0,0,0,0,9,0,0,0,56.7,0,20.2,0,0,170.7,7.7,0,5.75,0,0,18.1,0,0,0.03,0,0,0,0,0.84,1.5,0.1,0,5,0,0
"Sudan",33.557,0.83,0,0,0,9,0.006,0,0.001,9,0.2,0,0.007,0,0,0.033,0,0,0.1,0,0,0.01,2.543,0,0,0,0.07,0,62.507,0.096,6.704,7.2575,0.3925,31.149,1.553,6.578,5.54,0,0.43,0.827,1.717,7.775,0.086,12.996,0,0,8.602,3.077,0.049,1.468,7.243,2.234,2.82,2.629,0.295,3.144,0.06,0,0,0,9.008,0.001,9,0,0,0,0,0,9,0.001,0.001,0,0.004,0.1,9,0.071,0.034,0,1.493,8.179,2.556,0.089,0,0,0.017,0.761,0.0009,0,0,0,9,0,0,0,5.448,0,1.19,2.747,4.689,0,91.157,0.115,2.664,1.977,0.21,7.162,0.266,0,14.493,3.247,5.62,16.032,0.05,0.006,0.563,2.381,0,30.956,0,3.483,4.388,0.19,10.34,47.38,0,7.347,7.862,0,0.436,0,0,8.056,0,0,0,0,1.132,2.086,0.063,0.3,2.147,0.06,0.001
"Iran",2153.5,653.1,279.83,9.2,0,9,0.002,165,0,9,2.5,0.043,0.104,0,0,0.005,0.28,1.09,0.3,0.1,3.24,0.01,43.306,0,0,10.82,38.1,9.121,752.8,50.8,2870.1001,177.1211,9.5789,499.3,71.6,226.17,151.29,0,10.8,16.6,3.8,2.5,34.4,944.2,0.16,9,274.32,99.27,1.581,25,101.99,221.3,134.47,56.8,143.35,326.06,3.944,0,0,9,0.087,0.935,0.721,0,0.678,14.29,0,9.011,0,0,0.004,0.333,1.414,10.1,0.005,0.015,9,0.037,23.3,0.457,100.25,57.607,2.517,3.925,1.476,23.218,10.7339,9,5.764,64.7,0,0,0,0.819,4.76,6.7,2.92,1.78,0.8,91.157,0,25.45,3.2,3.01,3.71,22.6,6.04,29.79,4.4,0.097,0.1,1.8,4.08,0.18,56.2,4.54,11.733,119.8,9.1,13.3,9.2,0.8,3916.9002,510.17,0,12.91,3.57,0,15.912,0,9.1,12.32,9.1,0,9.1,0,5.77,420.6,41,1.2,13.31,41.6,1.399
"Turkey",199.36,46.28,0,0,0.041,0,0,0,0.001,9,1.79,0.008,0.006,0,0,0,0.048,0.04,3.71,0,0,0.02,5.859,0,0,0,0.36,1.378,184.8,3.68,64.3,57.358,3.102,143.77,175.24,9.98,14.36,0,0.42,19.67,20.5,6.92,0.53,135.38,0.27,1.92,4.46,8.64,3.764,7.52,73.07,17.55,1.89,4.25,7.87,11.46,0.25,9,0,9,0.002,0.131,0,0,0,0.31,0,0.03,1.107,0.006,0.845,0,0.07,1.1,0,0,0,0.035,0.02,0,0.022,0.29,0,0,0,0.371,0.0073,0,0,0.35,9,9,9,0,0.009,11.78,6.8,0.51,3.81,0.115,25.45,0,295.92,1.29,28.08,79.19,2.96,2.03,251.47,0.001,0,25.37,6.53,0,0,0,0.01,11.92,0,2.16,0,2.16,165.1,6.68,0,1.69,0.74,0.02,0.01,9,0,2.37,0,0,0,0,13.4,7.03,0.04,1.8,11.34,0.2,0
"Iraq",187.2,19.1,0,41.7,9,9,0,0,0.001,9,0.8,9,9,0,0,0,0,0,9,9,9,1.1,634.249,0,9,7.6,17.8,22.522,122.4,2.17,9.7,16.2227,0.8773,1067.1,26.9,251.34,137.21,0,36.9,35.6,310,23.75,65.7,1086.6,0.03,9,187.38,103.63,15.015,30,12.15,117.4,5.45,0.8,2.29,9,0.008,0,0,0,0.029,16.684,0,0,0.575,58.55,9,9.104,0,9,0,0.478,0,0.1,0,0,9,0,0,0.041,19.024,1.659,0,0,1.581,3.019,0.4645,9,0,9,0,10.9,9.1,0,7.9,58.75,1.09,38.61,0,2.664,3.2,295.92,0,7.05,30.01,55.1,3.51,0,2.7,1.058,0,8.8,0.73,0.22,0.5,1.43,0.6,59.4,0,9,10.2,0.2,67.9,213.02,0,15.99,7.15,1.3,8.994,0,0,75.4,0,9,0,0,44.49,71.72,0,0.9,30.4,8.44,0.023
"Egypt",314.03,4.52,0,0.56,0,4.29,0.024,0,0.017,0,0.3,5.365,0.005,0,0.001,0.008,4.419,0.06,0.1,0.237,0.06,0,3.59,0,0.01,0,14.81,0.49,22.83,0.07,42.73,0.5503,0.0298,305.66,39.07,3.3,4.58,0,0.03,9.01,3.21,11.47,52.86,5.99,0.02,0.47,15.44,17.56,0.761,13.27,74.16,291.34,0.07,6.15,1.19,0.73,0.045,0.17,0,0,2.78,0.013,0.16,1.55,0,0.41,0.46,0.021,0.005,1.201,1.069,0,0.766,2.04,0,0.023,0.03,0.021,0.05,0.426,0.086,1.609,0,0,0.364,5.231,1.7955,0,0.84,0,0,0,0.02,0,0.022,0.93,1.61,0.82,19.22,1.977,3.01,1.29,7.05,0,6.98,68.61,17.63,0,4.02,3.924,0.25,0.86,0.14,0.32,1.46,0.07,0.007,15.91,0,0,2.16,4.54,143.37,0.49,0,2.17,1.41,0,1.072,0,0,1.72,0,0,0,0,0.49,7.92,0.29,0.09,211.77,0.07,0.001
"Syria",33.88,17.04,0,4.76,0.007,9,0.039,0,0,0,9.4,0.238,0,0,0.001,0.101,0.098,0,0,0,0.17,0,27.499,0,9,0.01,3.94,9,10.1,0.46,25.01,34.0486,1.8414,63.36,20.77,12.56,0.08,0,4.72,24.25,28.72,4.96,20.27,38.76,0.01,0,4.94,174.08,0.242,8.08,12.69,63.43,4.55,10.72,0.8,6.46,0.002,0,0,0,0,9.022,9,0,0,1.24,9,0,0.001,9,0.003,9,0,0.1,0,0,0,9,0,0.018,0.102,0.034,0,9,0,0.067,0,0,0,9,0,0,0,0,0,0.19,0.48,0.84,3.13,0.21,3.71,28.08,30.01,6.98,0,43.73,7.79,9,91.78,0.043,0.17,5.71,0.28,1.26,1.1,0,9.118,8.55,0,0,0,0,38.77,11.23,0,0.2,0.67,9,6.53,0,0,0.04,0,9,0,0,0.42,1.3,0,0,0,1.84,0
"Lebanon",254,29.9,0,0,0,9,0.022,9,9,9,3.6,9.383,0.052,0,0,0.519,9.054,0.03,2.4,0,0.2,0.07,9.03,0,9.01,2.45,4.33,9.051,75.2,1.08,51.3,47.2449,2.5551,74.6,41,38.4,4.38,0,0,0,32,1.64,0,187.5,0.23,0,11.35,41.37,1.893,0,29.96,0,14.56,17.9,9.65,14.88,0.036,9.039,0,0,0.083,4.283,0.003,0,0.152,2.31,0,0.02,1.13,0.542,2.097,6.814,0.35,6.2,1.39,0.163,0,0.154,7,0.35,0.078,0.013,0.008,9.002,0,1,0.2973,0,9,0,0,0,0,0,0.002,2.99,3.33,0.77,98.9,7.162,22.6,79.19,55.1,68.61,43.73,0,13.23,0,385.1,0.443,0,50.1,5.93,26.1,45.4,7.14,5.175,0,0,0,0,0,90.8,3.73,0,2.49,9.46,0.27,0,0,0,5.96,0,9,0,0,0.42,3.25,0.4,0.1,10.03,0.78,9.001
"Jordan",54.48,3.22,0,0,0,0,0,0,9,9,0,0.586,0.031,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.02,0,33.23,0.18,13.82,11.5836,0.6264,11.27,3.54,4.64,0.37,0,1.29,1.45,4.42,3.3,4.78,17.82,0.04,0,3.41,1.23,0.535,4.08,8.84,12.02,2.38,3.93,0.62,2.9,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0.478,0.797,5.678,9.038,0,0.85,2.213,0,0,9,0,0,9,0,0,0,0.36,0,0,0,0.266,6.04,2.96,3.51,17.63,7.79,13.23,0,0,16.62,1.158,0.03,9.82,0.05,1.13,1.6,0.07,0,13.37,0,0,0,0,8.36,19.01,0,0.06,0,0,1.15,0,0,1.56,0,0,0,0,0.45,0.34,0,0.1,0,6.33,0
"Israel",453.2,5.32,0.05,0,0.059,0.22,0.241,0.01,0.059,0,0.04,0.237,0.071,5.6,0.363,0.118,0.091,0.36,0.75,0.024,0,0.19,11.649,0.18,0.05,0.52,20.96,7.26,359.12,0.7,175.32,69.3401,3.75,49.64,81.61,3.54,3.05,0,0.19,0,8.75,0.09,1.8,162.05,1.63,0,4.45,19.28,5.949,1.07,17.84,0.05,19.81,39.6,2.06,5.98,0.424,0,0,9,0.002,0.473,0.04,0,0.01,0.52,0,0.024,3.366,0.005,3.478,0.04,0.259,6.94,0.949,4.63,0.01,0.093,1.3,0.014,4.443,1.896,0,0.04,9,0.111,5.7318,0,0.097,14.6,0,0,0,0.11,1.97,9,0,0,0,0,29.79,2.03,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,1.01,0,9.77,0,0.2,65.18,3.81,0,0.04,0,0,4.48,0,0.02,2.43,0.03,0.03,0.03,0,0,6.73,1.53,0.31,15.59,1.49,0.027
"Saudi Arabia",1399.3,344.8,489.73,0.3,9,0.5,0,658.81,0.1,9,2.6,1.7,0.4,0,0,0,65.532,0,0,0,0.8,0.01,1502.248,0,0,87.19,70.16,0,2622.7,97.08,297.9,1103.8999,59.7,2976.5,18.1,1900.71,0.69,0,0.4,3.7,3.9,1.8,23,2966.6001,0.7,0,8.5,170.88,15.814,0.4,6.5,2.9,69.15,105.3,44.92,87.78,0.2,0,9,0,0.021,0.013,0,0,0.069,0.01,0.1,0.003,53.184,0.3,0,0.032,0.004,0.3,0,0,0,0,4.4,0.624,66.053,59.928,0,0.266,24.647,7.198,56.9383,0,0.269,0,0,0,0.3,6.6,1.3,28.44,0.1,38.2,0,14.493,4.4,251.47,2.7,4.02,91.78,385.1,16.62,0,0,8.235,0.3,118.3,620.2,4.22,1.9,0.36,1.153,3.5,0.2,226.1,5.1,661.4,4781.8998,289.41,0,76.1,10.03,0.1,57.931,9,0,120.07,0.2,0,0.8,0,128.16,449.93,365.7,40.8,138.93,17.76,1.5
"Yemen Arab Republic",3.433,3.649,9,9.002,9,0,0.001,9,0.001,9,9,0,9,9,9,9,0.174,9,9,0,0,0.04,3.16,9,0,9,0,9,4.449,0.099,8.336,4.6012,0.2488,9.146,0.172,0.129,0.24,0,0,9.703,0.037,9.019,3.263,1.699,0.015,9,0.038,0.034,0.015,9,0.109,8.799,0.08,0.355,0.36,0.086,0,9,0,9,9,9,9,0,0,9,9,0,9,9,9,0,0,9,9,9,0,9,0,9,2.14,9.047,0,0.031,1.062,9.103,0,9,9,9,0,0,9,9,0,9,0,0.01,0,3.247,0.097,0.001,1.058,3.924,0.043,0.443,1.158,0,8.235,0,8.306,0.165,0,0.047,0.083,0,9,10.323,0,1.356,9.018,0.067,27.259,3.635,0,1.874,0,0,2.254,0,0,1.751,9,9,0,0,0.041,5.035,0,0,0.04,2.86,1.005
"Yemen People's Republic",6,111.8,0,0,0,9,0.005,0,0.005,9,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,5.1,0.28,6,0.8538,0.0462,4.3,0.5,0.03,0.53,0,0,0,0.2,0,0,3.1,0,0,0.14,0.21,0.099,0,0,0,0.01,0.3,0,1.34,0,0,0,0,9,0.056,9,9,0,0,0,0,9,0,0.181,9,0,0.2,0,0.015,0,0,2.8,0.586,2.753,1.704,0,0.015,0.583,1.565,0,0,9,0,9,0,0,0,1.481,0,0,0,0,5.62,0.1,0,0,0.25,0.17,0,0.03,9,0.3,8.306,0,97.5,0.01,0,0,0,9,0,0,0,0,0,0.1,21.31,0,0.81,0.14,9,0,9,0,0.93,0,0,0,0,0,3.32,0,0,33.06,3.41,0
