"ID","Time","milper","irst"
"United.Kingdom",1900-11-05 01:39:49,487,4980
"United.Kingdom",1901-11-05 01:39:49,521,4983
"United.Kingdom",1902-11-05 01:39:49,489,4988
"United.Kingdom",1903-11-05 01:39:49,416,5115
"United.Kingdom",1904-11-05 01:39:49,409,5108
"United.Kingdom",1905-11-05 01:39:49,394,5905
"United.Kingdom",1906-11-05 01:39:49,384,6566
"United.Kingdom",1907-11-05 01:39:49,369,6628
"United.Kingdom",1908-11-05 01:39:49,364,5381
"United.Kingdom",1909-11-05 01:39:49,381,5976
"United.Kingdom",1910-11-05 01:39:49,372,6476
"United.Kingdom",1911-11-05 01:39:49,376,6566
"United.Kingdom",1912-11-05 01:39:49,523,6905
"United.Kingdom",1913-11-05 01:39:49,533,7787
"United.States.of.America",1871-11-05 01:39:49,42,1735
"United.States.of.America",1872-11-05 01:39:49,42,2590
"United.States.of.America",1873-11-05 01:39:49,43,2602
"United.States.of.America",1874-11-05 01:39:49,44,2439
"United.States.of.America",1875-11-05 01:39:49,38,2057
"United.States.of.America",1876-11-05 01:39:49,41,1899
"United.States.of.America",1877-11-05 01:39:49,34,2100
"United.States.of.America",1878-11-05 01:39:49,36,2338
"United.States.of.America",1879-11-05 01:39:49,38,2786
"United.States.of.America",1880-11-05 01:39:49,38,3896
"United.States.of.America",1881-11-05 01:39:49,38,4211
"United.States.of.America",1882-11-05 01:39:49,38,4697
"United.States.of.America",1883-11-05 01:39:49,37,4669
"United.States.of.America",1884-11-05 01:39:49,39,4164
"United.States.of.America",1885-11-05 01:39:49,39,4110
"United.States.of.America",1886-11-05 01:39:49,39,5774
"United.States.of.America",1887-11-05 01:39:49,39,6520
"United.States.of.America",1888-11-05 01:39:49,39,6594
"United.States.of.America",1889-11-05 01:39:49,39,7726
"United.States.of.America",1890-11-05 01:39:49,39,9350
"United.States.of.America",1891-11-05 01:39:49,38,8412
"United.States.of.America",1892-11-05 01:39:49,39,9304
"United.States.of.America",1893-11-05 01:39:49,39,7238
"United.States.of.America",1894-11-05 01:39:49,42,6764
"United.States.of.America",1895-11-05 01:39:49,42,9598
"United.States.of.America",1896-11-05 01:39:49,42,8762
"United.States.of.America",1897-11-05 01:39:49,44,9808
"United.States.of.America",1898-11-05 01:39:49,236,11963
"United.States.of.America",1899-11-05 01:39:49,100,13839
"United.States.of.America",1900-11-05 01:39:49,126,10352
"United.States.of.America",1901-11-05 01:39:49,112,13690
"United.States.of.America",1902-11-05 01:39:49,111,15187
"United.States.of.America",1903-11-05 01:39:49,106,14768
"United.States.of.America",1904-11-05 01:39:49,110,14082
"United.States.of.America",1905-11-05 01:39:49,108,20345
"United.States.of.America",1906-11-05 01:39:49,112,23774
"United.States.of.America",1907-11-05 01:39:49,108,23737
"United.States.of.America",1908-11-05 01:39:49,129,14248
"United.States.of.America",1909-11-05 01:39:49,142,24339
"United.States.of.America",1910-11-05 01:39:49,139,26512
"United.States.of.America",1911-11-05 01:39:49,145,24056
"United.States.of.America",1912-11-05 01:39:49,153,31753
"United.States.of.America",1913-11-05 01:39:49,155,31803
